region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,dist_to_coast
o3405,13,3405,17.369,8283692.747,101.334,34751.234
o3877,13,3877,32.314,5620180.088,101.883,88098.24
o3878,13,3878,89.64,2819557.838,101.883,78303.18
o3879,13,3879,196.135,1802653.048,101.334,69072.76
o4355,13,4355,293.818,1821828.687,101.883,86693.05
o4356,13,4356,397.119,1587411.439,101.883,77183.06
o4357,13,4357,276.535,1578033.958,101.883,68129.57
o4834,13,4834,340.05,1686061.186,101.883,76507.83
o4835,13,4835,335.829,1483264.585,101.883,65205.473
o5312,13,5312,382.83,1615091.42,101.883,74986.33
o5313,13,5313,397.119,1407479.839,101.883,64409.65
o5314,13,5314,77.119,2794141.034,101.883,57298.58
o5790,13,5790,397.119,1623510.322,101.883,73788.6
o5791,13,5791,397.119,1511338.939,101.883,63201.406
o5792,13,5792,354.766,1481059.623,101.883,53016.805
o5793,13,5793,59.18,3278258.602,101.883,45136.53
o6267,13,6267,397.119,1675315.399,103.109,83766.13
o6268,13,6268,397.119,1600369.332,103.109,73158.875
o6269,13,6269,397.119,1514236.115,103.109,62552.996
o6270,13,6270,397.119,1405033.032,103.109,51948.64
o6271,13,6271,356.306,1306087.735,103.109,41744.215
o6272,13,6272,33.825,4631836.245,103.109,34949.742
o6746,13,6746,397.119,1619255.165,103.109,73475.52
o6747,13,6747,397.119,1535539.449,103.109,62928.99
o6748,13,6748,397.119,1445447.332,103.109,52401.945
o6749,13,6749,387.85,1309901.578,103.109,41997.414
o6750,13,6750,16.428,8665266.037,103.109,35621.188
o7224,13,7224,397.119,1625602.465,103.109,75127.77
o7225,13,7225,397.119,1524105.515,103.109,64752.812
o7226,13,7226,397.119,1434937.415,103.109,54455.55
o7227,13,7227,330.809,1353876.449,103.109,45134.863
o7703,13,7703,397.119,1568869.149,103.109,67847.94
o7704,13,7704,397.119,1425863.815,103.109,57971.883
o7705,13,7705,372.05,1317092.994,103.109,48402.645
o8181,13,8181,397.119,1549467.306,92.788,68960.66
o8182,13,8182,397.119,1388800.856,92.788,58520.6
o8183,13,8183,287.943,1458465.931,92.788,49515.3
o8659,13,8659,397.119,1494907.109,78.019,67124.28
o8661,13,8661,179.736,1647699.418,78.019,49070.24
