"","","dupvsc1","dupvsc2","dupvsc3","dupvsc4","dupvsc5"
"p1","class1",2178.0576,2649.8016,2282.256,3149.0208,1078.7904
"p1","class2",3.888,1.8144,9.3312,4.1472,9.3312
"p1","class3",6.48,5.184,43.5456,407.9808,318.816
"p10","class5",4614.5376,2367.2736,1679.8752,1340.3232,1665.6192
"p10","class6",8561.376,6411.0528,3975.0912,6065.5392,1581.6384
"p10","class7",31.104,14.7744,69.984,25.1424,528.5088
"p100","class3",15.0336,88.128,60.1344,342.9216,473.5584
"p101","class4",1860.0192,878.4288,396.576,1749.0816,7058.5344
"p101","class5",12410.496,7016.0256,16257.2832,7510.0608,3049.488
"p101","class6",4.4064,10.6272,0,0,0
"p102","class5",2493.7632,4495.5648,3019.68,1543.0176,1496.3616
"p103","class2",11671.776,6780.672,7300.6272,12978.6624,5253.4656
"p103","class3",1889.568,2231.9712,1761.0048,947.1168,784.08
"p104","class2",126.7488,136.3392,508.2912,1202.4288,863.136
"p104","class3",11.4048,264.9024,326.592,653.4432,278.1216
"p105","class2",12.1824,14.256,81.648,116.8992,0
"p105","class3",7730.3808,7214.832,5621.7888,3435.1776,1641.2544
"p106","class3",1453.0752,956.1888,2087.856,2379.456,2535.4944
"p107","class3",1439.3376,1451.2608,1550.2752,1213.3152,3667.9392
"p108","class3",35.2512,128.8224,214.8768,426.384,271.9008
"p109","class3",4720.5504,2904.0768,2782.2528,2772.6624,2913.408
"p11","class5",149.8176,457.7472,238.9824,131.6736,281.7504
"p11","class6",37.3248,99.792,304.8192,275.7888,221.616
"p110","class3",6.2208,6.48,102.9024,124.416,0
"p111","class2",4861.8144,5331.4848,3541.968,6856.6176,5216.1408
"p111","class3",779.4144,1392.4224,1496.1024,1114.8192,2057.5296
"p112","class2",79.056,265.1616,174.1824,224.208,310.2624
"p112","class3",7192.2816,4807.6416,4784.5728,1696.464,1072.0512
"p113","class3",933.8976,1678.8384,2081.376,2268,1615.0752
"p114","class3",769.3056,2109.888,3405.888,4579.8048,1109.8944
"p115","class2",884.9088,560.1312,665.1072,628.3008,645.1488
"p115","class3",32.1408,14.256,39.9168,57.2832,114.3072
"p116","class2",17.3664,5.7024,34.7328,36.288,68.688
"p116","class3",170.5536,332.0352,213.84,774.4896,388.5408
"p117","class3",349.6608,275.5296,468.1152,268.0128,59.3568
"p118","class3",182.4768,296.784,988.0704,1047.168,339.2928
"p119","class2",9.072,13.7376,38.88,415.7568,58.0608
"p12","class4",9.3312,3.3696,136.8576,159.1488,212.8032
"p12","class5",420.4224,722.9088,449.712,1512.1728,3730.4064
"p12","class6",11.664,3.1104,47.6928,290.5632,373.7664
"p120","class3",18.6624,111.7152,281.4912,115.6032,242.6112
"p121","class3",356.4,343.1808,323.7408,680.1408,554.688
"p122","class2",1934.6688,1191.8016,817.2576,1050.7968,431.0496
"p122","class3",5857.6608,3060.6336,3898.8864,5911.3152,9181.3824
"p123","class3",6232.7232,5137.8624,1890.0864,389.0592,662.7744
"p125","class3",1100.8224,799.632,916.7904,1637.8848,482.3712
"p126","class3",7958.736,4291.056,6438.0096,2450.2176,3754.2528
"p127","class2",10460.5344,7035.4656,3038.0832,2960.8416,4605.984
"p127","class3",577.7568,1835.3952,1433.1168,1045.3536,198.8064
"p128","class3",462.4128,361.8432,170.2944,1002.5856,359.5104
"p129","class2",31.104,167.184,126.2304,319.8528,972.2592
"p13","class5",4.9248,0.2592,234.8352,69.4656,0
"p13","class6",682.2144,1940.3712,1161.9936,1453.0752,3891.1104
"p130","class2",497.4048,686.3616,466.0416,601.344,994.2912
"p130","class3",150.8544,393.2064,664.848,134.784,611.9712
"p131","class2",135.8208,342.9216,559.3536,242.6112,750.6432
"p131","class3",8519.1264,4607.0208,3129.84,3960.8352,579.5712
"p132","class3",1331.7696,2341.872,1047.6864,1173.6576,955.152
"p133","class3",225.7632,244.944,192.5856,452.5632,298.3392
"p134","class2",237.6864,1053.3888,917.568,131.9328,173.664
"p134","class3",0.2592,23.5872,6.48,2.0736,71.7984
"p14","class2",104.976,262.0512,106.0128,2395.008,172.8864
"p15","class3",53.9136,174.1824,250.3872,156.2976,260.2368
"p15","class4",1149.552,1133.2224,3620.7648,3687.6384,255.0528
"p16","class3",39.6576,131.1552,39.3984,681.9552,2570.7456
"p16","class4",17.3664,293.6736,716.688,300.9312,709.4304
"p17","class2",126.4896,108.6048,369.1008,291.8592,970.4448
"p17","class3",1.5552,38.6208,239.76,118.9728,249.0912
"p18","class2",64.8,157.8528,74.1312,777.0816,1017.36
"p18","class3",6.48,9.3312,401.5008,203.472,416.7936
"p2","class1",144.6336,445.5648,728.352,539.3952,182.4768
"p2","class2",41.7312,82.1664,50.8032,270.6048,223.6896
"p2","class3",313.1136,117.936,785.6352,1002.0672,2602.8864
"p20","class2",159.6672,0,0,0,0
"p20","class3",40.176,63.7632,593.3088,624.1536,233.28
"p21","class3",2.3328,50.2848,41.2128,320.3712,222.912
"p21","class4",30.3264,22.5504,43.0272,610.9344,538.8768
"p22","class3",132.192,310.7808,0,0,0
"p23","class3",1.0368,475.3728,122.3424,70.2432,57.2832
"p24","class3",12.7008,41.7312,25.92,18.9216,467.0784
"p24","class4",308.7072,572.3136,460.8576,724.464,757.1232
"p25","class4",3278.1024,5001.264,2613.5136,1611.9648,2174.9472
"p25","class5",217.2096,278.1216,371.6928,870.3936,1419.12
"p26","class4",15.552,51.5808,420.4224,349.92,419.1264
"p27","class5",19.44,206.8416,0,0,0
"p27","class6",285.3792,245.2032,323.7408,1765.4112,1385.1648
"p28","class5",12.1824,414.4608,500.5152,263.3472,327.6288
"p28","class6",9268.4736,7124.112,9801.9072,4022.5248,3321.9072
"p28","class7",32.4,21.7728,77.2416,31.6224,193.6224
"p3","class2",250.128,525.6576,370.9152,209.6928,3011.1264
"p3","class3",11.1456,63.7632,362.6208,298.5984,584.2368
"p30","class6",1317.2544,2802.7296,4447.3536,2276.5536,255.8304
"p31","class5",365.472,209.952,632.1888,1214.6112,1193.0976
"p31","class6",1125.7056,1971.9936,3663.2736,4338.7488,3358.7136
"p31","class7",14.5152,13.4784,17.3664,0,0
"p32","class3",11.4048,37.8432,12.4416,602.8992,350.9568
"p33","class3",77.5008,31.6224,123.6384,240.5376,341.1072
"p33","class4",4988.0448,5119.9776,2924.5536,3306.6144,1544.5728
"p33","class5",145.4112,291.0816,130.896,85.0176,573.8688
"p34","class4",101.8656,278.8992,234.3168,962.1504,471.2256
"p34","class5",894.4992,1503.36,755.568,1466.5536,405.1296
"p35","class3",276.8256,0,0,0,0
"p36","class2",48.7296,291.6,296.784,92.7936,340.3296
"p36","class3",7.5168,81.1296,222.912,108.0864,397.6128
"p37","class2",206.064,202.176,83.2032,45.36,3121.8048
"p38","class3",173.1456,959.04,878.1696,1145.664,1279.6704
"p39","class4",114.8256,22.2912,178.3296,103.68,259.2
"p4","class3",23.328,179.8848,324.5184,119.7504,688.176
"p40","class3",143.5968,185.8464,477.1872,447.6384,617.1552
"p40","class4",51.84,452.5632,164.592,434.9376,375.0624
"p41","class3",592.272,1031.616,463.1904,1549.4976,1643.0688
"p42","class2",51.84,129.3408,177.0336,488.3328,974.0736
"p43","class2",8522.7552,6027.4368,5983.1136,3199.824,1828.3968
"p44","class3",4.9248,11.9232,101.3472,133.488,206.064
"p45","class3",47.6928,461.6352,531.6192,962.4096,759.7152
"p46","class2",313.1136,448.1568,260.7552,592.0128,786.672
"p47","class6",322.4448,454.1184,81.9072,529.5456,2051.3088
"p48","class5",278.64,1058.0544,1070.496,1599.264,334.1088
"p48","class6",186.8832,260.496,259.9776,683.2512,689.472
"p49","class5",156.816,20.4768,0,0,0
"p5","class1",59.0976,167.4432,181.1808,117.6768,69.4656
"p5","class2",677.808,1536.2784,1781.2224,1471.7376,1003.8816
"p5","class3",169.5168,132.192,862.8768,264.9024,622.08
"p5","class4",41.7312,32.9184,77.2416,288.4896,1350.6912
"p50","class4",1648.512,1967.328,3042.2304,4033.9296,1938.5568
"p50","class5",269.3088,327.6288,231.4656,570.7584,542.5056
"p51","class4",1055.9808,1361.3184,2118.96,2097.4464,764.64
"p52","class5",75.4272,97.2,197.5104,140.4864,159.408
"p53","class3",1011.9168,987.8112,670.8096,1448.928,938.5632
"p53","class4",513.216,2463.696,1243.9008,1174.9536,5896.2816
"p53","class5",43.0272,123.8976,126.4896,75.9456,70.7616
"p54","class3",1337.2128,1009.584,2506.9824,1611.1872,1477.1808
"p55","class3",30.3264,88.6464,114.5664,354.5856,146.7072
"p55","class4",368.5824,308.9664,603.4176,2187.1296,1555.9776
"p56","class4",490.9248,203.2128,250.9056,1602.1152,2934.6624
"p57","class4",115.0848,748.0512,1009.8432,583.9776,628.0416
"p58","class4",6948.8928,4854.5568,7876.5696,5993.4816,6442.416
"p58","class5",24.3648,25.6608,6.48,19.1808,78.7968
"p59","class6",174.7008,430.5312,1268.784,2087.0784,222.912
"p59","class7",61.6896,70.5024,859.248,1285.632,289.7856
"p6","class2",15.2928,10.6272,16.5888,73.872,53.136
"p6","class3",54.1728,86.832,366.5088,323.4816,600.048
"p6","class4",39.6576,5.7024,7.776,158.6304,538.8768
"p60","class5",3.1104,42.2496,468.8928,448.6752,130.6368
"p60","class6",18.9216,2.8512,83.4624,340.3296,158.3712
"p61","class5",218.5056,793.4112,630.3744,1833.5808,1026.6912
"p61","class6",4.6656,62.4672,519.9552,32.6592,132.9696
"p62","class6",442.1952,546.3936,1135.5552,540.6912,564.0192
"p63","class4",12659.5872,10041.9264,5229.8784,4597.6896,2135.0304
"p63","class5",2327.8752,3505.1616,2574.8928,2180.6496,1981.0656
"p64","class4",1247.7888,960.336,1340.5824,1095.12,1036.8
"p64","class5",2704.4928,2897.856,2335.9104,3169.2384,1447.8912
"p65","class4",110.4192,416.5344,690.768,313.632,1532.6496
"p65","class5",5574.8736,3163.536,4441.1328,8970.6528,25648.0992
"p66","class4",1386.72,1022.0256,1361.0592,4427.6544,530.5824
"p67","class4",6400.944,5201.1072,4529.0016,5392.656,2217.9744
"p67","class5",51.84,14.7744,7.776,50.0256,6.48
"p68","class2",28.2528,192.8448,75.6864,177.2928,231.7248
"p68","class3",15.8112,94.608,184.2912,535.248,68.9472
"p69","class3",43.5456,247.0176,156.816,1469.664,98.2368
"p7","class3",3.1104,3.888,71.5392,174.1824,315.4464
"p70","class3",3934.1376,2744.1504,1194.1344,2730.4128,4901.7312
"p71","class3",1.0368,5.184,60.6528,289.008,138.1536
"p72","class3",3527.9712,2793.1392,2241.8208,1412.3808,415.7568
"p72","class4",41.7312,24.3648,86.5728,143.856,0
"p73","class3",24.624,19.1808,96.1632,4.9248,30.5856
"p74","class2",70.7616,298.5984,135.0432,58.32,101.088
"p75","class2",556.5024,873.7632,576.72,354.5856,1026.6912
"p75","class3",36.288,83.4624,9.3312,13.4784,0.5184
"p76","class2",285.6384,786.1536,612.7488,947.376,547.4304
"p76","class3",11.664,54.1728,60.6528,63.2448,26.4384
"p77","class2",18.6624,24.8832,15.8112,191.808,560.9088
"p77","class3",10.6272,11.1456,27.9936,95.1264,180.4032
"p78","class2",1.5552,22.5504,50.544,33.9552,15.2928
"p78","class3",593.8272,632.9664,1319.328,914.4576,116.3808
"p79","class2",250.3872,236.6496,312.8544,168.7392,129.8592
"p79","class3",1243.6416,3321.1296,1772.4096,1997.6544,877.9104
"p8","class4",0.5184,35.5104,0,0,0
"p8","class5",62.9856,57.8016,142.8192,0,0
"p80","class2",29.808,33.4368,0,0,0
"p80","class3",9652.608,11166.336,5078.2464,3224.448,1343.952
"p81","class3",2388.528,2507.2416,3238.4448,2327.0976,1047.4272
"p82","class3",563.2416,562.2048,852.768,566.6112,1199.0592
"p83","class3",1083.7152,919.9008,891.9072,1317.7728,534.2112
"p84","class3",11.664,2.592,35.2512,72.8352,46.1376
"p84","class4",82.6848,116.1216,362.88,272.9376,606.2688
"p85","class3",1.0368,17.1072,24.1056,0,0
"p85","class4",4995.0432,4056.48,3132.6912,1260.2304,4174.9344
"p86","class4",646.9632,975.6288,363.9168,1765.9296,481.0752
"p87","class4",3082.6656,2504.6496,6142.7808,6872.4288,1814.4
"p87","class5",37.584,43.8048,80.6112,143.0784,62.208
"p88","class4",531.1008,565.8336,650.8512,913.9392,1130.6304
"p89","class4",3156.5376,1471.7376,700.0992,3310.5024,4283.7984
"p9","class2",1.5552,15.8112,10.8864,29.2896,21.2544
"p9","class3",12.4416,31.6224,137.376,317.0016,297.8208
"p9","class4",1178.5824,1680.1344,1854.3168,1305.3312,1161.9936
"p9","class5",19646.3232,6782.7456,3319.3152,3133.9872,3568.6656
"p9","class6",10.1088,259.2,227.5776,330.7392,86.3136
"p90","class4",1791.5904,780.7104,2262.2976,3889.0368,6245.1648
"p90","class5",2.3328,233.5392,36.5472,27.216,281.232
"p91","class4",125.712,77.5008,218.5056,735.8688,3389.8176
"p91","class5",99.0144,104.4576,62.4672,536.2848,1950.48
"p92","class3",6780.9312,3041.9712,4786.3872,2485.728,930.528
"p92","class4",5457.1968,3375.5616,1274.4864,1041.7248,17953.2288
"p93","class3",50.2848,662.7744,240.7968,2123.8848,743.1264
"p94","class4",20330.6112,11373.4368,16330.3776,10510.3008,5227.2864
"p94","class5",19.44,16.3296,502.848,155.7792,125.1936
"p95","class4",2721.0816,2606.5152,2442.7008,3681.1584,1667.1744
"p96","class4",3544.8192,1958.5152,3602.6208,7316.6976,2919.6288
"p97","class3",37.8432,41.472,121.3056,4.9248,85.0176
"p97","class4",6649.776,7399.9008,3628.2816,12423.9744,7736.8608
"p98","class3",1.0368,0,0,0,0
"p98","class4",5617.1232,3807.1296,8933.5872,10778.5728,7185.2832
"p99","class3",6253.4592,5234.8032,3679.0848,3812.832,5353.2576
"p99","class4",238.2048,241.056,587.6064,361.8432,546.6528
