"","","dupvsc1","dupvsc2","dupvsc3","dupvsc4","dupvsc5"
"p1","class1",6546.40236842984,14825.3072607126,24110.409868046,46799.948257473,109288.600873372
"p1","class2",1850.49424920545,2672.27259583864,4023.91755094612,7379.60469601442,15186.8042397881
"p1","class3",12552.8842179904,13554.9130105313,18762.2055987694,29252.2710193991,36373.7530299491
"p10","class5",18044.1572062146,45996.3962191426,125786.220897098,442314.012197353,848097.08955393
"p10","class6",25603.7140973035,76116.0594269761,200919.050370073,351719.775378504,749389.573052281
"p10","class7",9543.76643851334,18217.6896008675,24872.5767579537,87822.9705548562,128976.896003485
"p100","class3",12717.0334904368,20094.7632831814,34939.7959089055,56531.4763987137,85805.0831436883
"p101","class4",15453.4282785459,41958.0694921163,93706.3939418348,348270.051867162,510168.203324316
"p101","class5",21523.3809463363,96202.4291802443,166677.679264432,318230.524457224,433078.207052817
"p101","class6",6119.96269142762,17586.2250208399,0,0,0
"p102","class5",8215.03251690736,23459.9515688764,66833.2806971895,185868.474973565,361237.212164404
"p103","class2",13171.3415434365,39054.0634480161,90697.266175772,153485.847283543,255738.121493101
"p103","class3",5811.76139100794,17213.1885165124,40537.570775021,84224.972128234,202387.258321344
"p104","class2",16393.9293016426,27419.741916036,43867.9266305406,91886.8007392451,118487.008786054
"p104","class3",4134.63545226865,19110.4190607259,27513.8019433096,46202.9037983227,141089.61655723
"p105","class2",5498.27401161163,9413.91770471358,11869.7996946445,14051.697177992,0
"p105","class3",14923.0490233964,35054.7053405402,67152.4811635874,126070.322694491,243149.804405423
"p106","class3",12162.2068715062,25710.9544213008,37913.265126593,54103.1225882283,71391.0126462988
"p107","class3",6054.86644085019,16957.414394521,28340.0059505874,41317.2981407088,95521.7617523815
"p108","class3",3030.25839905845,13813.4282833044,25648.1879369154,46501.7101969473,85079.3923647708
"p109","class3",15023.791903637,41028.4185424231,70681.2310143918,132612.269376442,260177.704261117
"p11","class5",9316.3219175692,17525.3203321027,32961.6569675229,61617.6837631323,99926.4545075691
"p11","class6",7343.44614008076,15036.2944872169,26566.0132161526,71451.5017505748,149198.786093185
