,,dupvsc1,dupvsc2,dupvsc3,dupvsc4,dupvsc5
p1,class1,1.2987,4.9842,7.4763,6.1425,6.0372
p1,class2,1885.221,2209.6854,1166.5836,667.4265,615.7944
p1,class3,9.0558,139.4874,57.4938,51.1758,16.3215
p1,class4,19.0944,29.5893,28.1853,59.4243,251.0703
p1,class5,4.3875,3.0186,2.3868,1.1934,0
p2,class2,197.9991,458.9325,283.1517,379.7469,190.1718
p2,class3,10.6704,29.2734,19.8666,53.1414,11.8287
p2,class4,2.1762,66.3741,27.9396,64.8297,614.4957
p2,class5,738.504,946.9629,393.9273,755.4924,984.8358
p3,class4,317.1987,246.051,285.7491,345.6648,923.7969
p3,class5,1.6497,88.0659,198.9117,661.4244,141.3126
p4,class4,13.1274,2.9835,75.2895,28.1502,45.3141
p4,class5,22.2885,12.2148,30.0456,162.2673,580.8699
p5,class2,341.9793,192.0672,176.3073,61.0389,76.4829
p5,class3,1753.5609,2034.3258,1210.0374,834.0813,481.2561
p5,class4,11.3022,52.0884,188.6625,266.9004,75.3948
p5,class5,302.9481,353.2464,417.2337,210.8106,599.6484
p6,class3,14.4963,13.0923,20.6739,29.5893,31.9761
p6,class4,35.4861,60.4422,67.041,118.7082,294.3486
p6,class5,115.7598,76.3425,59.0733,813.3372,526.0086
p6,class6,43.2081,64.8999,26.0442,82.6605,261.0738
p7,class5,6.4584,25.7634,62.9694,20.1474,535.0293
p7,class6,1.6497,2.2464,1.4742,23.4117,46.6479
p8,class5,4.3875,0,0,0,0
p8,class6,59.7051,8.5644,39.9789,161.6004,46.2267
p9,class3,3.0888,3.51,4.7736,13.4082,95.0859
p9,class4,65.3913,52.7202,29.4138,159.9507,937.1349
p9,class5,22.3938,57.3534,36.5742,38.61,318.357
p9,class6,10098.3402,8532.4941,11864.1159,6938.6382,3114.4581
p9,class7,1107.9315,550.7892,327.6936,1080.1674,375.0786
p10,class6,810.1431,561.0735,369.7785,499.7538,4166.4753
p10,class7,4180.1643,1829.061,3890.7648,3894.7311,1996.7688
p10,class8,4743.0279,422.9901,5024.0385,4469.4585,1403.1576
p10,class9,0.2457,10.6002,2.5974,47.3499,100.7019
p11,class6,73.71,35.7669,112.8816,68.8311,109.0206
p11,class7,1019.0934,338.9958,474.6222,359.6346,92.2428
p12,class6,95.0859,56.6163,39.8385,423.3762,39.8385
p12,class7,563.0391,913.7934,885.924,1664.8281,216.8829
p12,class8,15.9705,53.4573,311.3019,263.5659,364.5135
p13,class7,16.1811,0,0,0,0
p13,class8,539.3115,400.3506,1598.2434,1849.1031,461.3193
p14,class3,0.1404,3.0537,6.0372,2.0358,13.0923
p14,class4,79.0101,104.0715,324.4293,173.4993,270.3402
p15,class3,0.351,0.1404,2.7027,13.6539,0
p15,class4,0.2457,8.775,11.9691,31.8708,7.371
p15,class5,144.963,201.825,640.8558,1170.3393,429.0273
p15,class6,205.1595,66.4092,243.5238,92.8044,77.6412
p16,class4,24.1488,17.1639,24.5349,116.9532,110.565
p16,class5,124.0434,99.3681,300.3156,298.5255,746.7876
