region,class,bin,capacity,supply_curve_cost_per_mw
s1,6,1,5.5647,305261.5469
s1,7,1,10.6191,272386.392
s1,7,2,6.1965,298462.3438
s1,8,1,89.424,211352.7676
s1,8,2,53.3869,229752.9048
s1,8,3,81.1246,246716.7992
s1,8,4,62.2566,263679.336
s1,8,5,69.6834,315534.9949
s1,9,1,190.9231,124259.1656
s1,9,2,139.8708,210774.1134
s1,9,3,136.566,234765.755
s1,9,4,152.4779,263992.08
s1,9,5,154.2384,336209.8814
s1,10,1,86.994,225098.9195
s1,10,2,68.6961,246684.0326
s1,10,3,57.7271,271668.1949
s1,10,4,77.1097,321297.7331
s1,10,5,83.0088,351418.772
s10,7,1,6.0021,220075.4092
s10,7,2,11.6154,227490.7539
s10,7,3,17.1801,230268.6582
s10,8,1,6.561,218018.7979
s10,8,2,24.8832,219674.0629
s10,8,3,19.197,231175.8547
s10,8,4,15.4062,252392.8826
s10,9,1,21.1167,225449.9623
s10,9,2,6.6339,227145.899
s10,9,3,36.1098,228892.1869
s10,9,4,18.8568,249151.5625
s10,9,5,21.6999,251558.6719
s10,10,1,23.1579,230581.935
s10,10,2,16.4025,235822.7109
s10,10,3,22.8906,246886.9607
s10,10,4,15.4305,258814.0586
s100,2,1,75.3543,90092.0663
s100,3,1,58.6285,59826.4302
s100,3,2,87.0183,80718.9207
s100,3,3,60.7014,123759.0224
s100,3,4,0.0,0.0
s100,4,1,222.5637,2265.7757
s100,4,2,376.254,24330.5272
s100,4,3,162.2025,32339.9443
s100,4,4,230.8248,70920.5306
s100,4,5,226.0872,144100.5652
s100,5,1,422.2368,17004.4698
s100,5,2,109.2771,123947.0605
s100,5,3,77.8815,155558.4977
s100,5,4,76.1805,170825.0372
s100,5,5,67.0257,227505.2264
s100,6,1,104.8788,76784.3723
s100,6,2,123.5169,113737.3174
s100,6,3,71.2719,124919.2141
s100,6,4,82.7658,194121.6012
s100,6,5,81.6273,231749.8107
s100,7,1,36.0612,161739.3058
s100,7,2,47.3607,212638.2218
s100,7,3,17.9091,220601.124
s100,7,4,14.4585,225841.9967
s100,7,5,11.9556,273440.1484
s101,2,1,0.0,0.0
s101,3,1,142.7769,15667.6405
s101,3,2,38.9043,177227.6012
s101,3,3,19.6587,225852.6914
s101,4,1,362.7504,26269.7598
s101,4,2,550.1848,39989.6024
s101,4,3,321.9993,61099.1009
s101,4,4,406.1701,95668.0949
s101,4,5,399.4641,168079.2995
s101,5,1,605.8051,61363.8035
s101,5,2,490.5941,102165.9528
s101,5,3,367.8306,126060.832
s101,5,4,444.0035,143120.7062
s101,5,5,646.8553,197412.4569
s101,6,1,813.2967,89906.0205
s101,6,2,758.9294,119980.6402
s101,6,3,743.9166,149040.4347
s101,6,4,645.2049,190303.8186
