region,class,sc_point_gid,capacity,supply_curve_cost_per_MW,dist_km,trans_adder_per_MW,capital_adder_per_MW
p1,,9638,31.10660868,0,34.33761036,0,0
p2,,9639,72.69617122,0,45.85761036,0,0
p3,,10018,178.6766891,0,45.29512986,0,0
p4,,10019,189.8971509,0,43.35661038,0,0
p5,,10398,109.2820782,0,33.77512986,0,0
p6,,10399,305.0373866,0,31.98572727,0,0
p7,,10400,202.9274886,0,36.60835062,0,0
p8,,10401,27.46429235,0,28.81653896,0,0
p9,,10778,100.9462991,0,18.88145453,0,0
p10,,10779,335.7241805,0,20.31661038,0,0
p11,,10780,326.5158094,0,25.1410714,0,0
p12,,10781,162.8820058,0,33.98510386,0,0
p13,,11158,214.6274404,0,6.101909089,0,0
p14,,11159,353.5428199,0,8.796610383,0,0
p15,,11160,336.3380719,0,6.521025971,0,0
p16,,11161,250.9297544,0,5.76,0,0
p17,,11538,179.8688449,0,9.867564928,0,0
p18,,11539,356.0322094,0,5.76,0,0
p19,,11540,331.1754926,0,5.76,0,0
p20,,11541,180.6695854,0,6.791025971,0,0
p21,,11918,223.9066365,0,17.94792206,0,0
p22,,11919,340.8901453,0,17.35300649,0,0
p23,,11920,299.5913534,0,21.14269478,0,0
p24,,11921,46.88597303,0,18.74293506,0,0
p25,,12298,211.0248312,0,42.83553242,0,0
p26,,12299,322.378118,0,27.20933116,0,0
p27,,12300,93.30352491,0,31.76644153,0,0
p28,,12678,271.7562109,0,49.74634411,0,0
p29,,12679,198.0377516,0,38.95300649,0,0
p30,,13058,78.10794078,0,25.07336362,0,0
p31,,13059,5.015211077,0,22.61293506,0,0
p32,,13430,6.58629784,0,25.58028571,0,0
p33,,16101,30.55999174,0,5.76,0,0
p34,,16102,169.8401446,0,11.93601297,0,0
p35,,16103,2.016999682,0,5.76,0,0
p36,,16481,199.328515,0,5.76,0,0
p37,,16482,315.7449293,0,18.99703894,0,0
p38,,16483,46.7880656,0,8.480285707,0,0
p39,,16861,147.9017254,0,6.148233765,0,0
p40,,16862,230.8983834,0,5.788233765,0,0
p41,,16863,2.333644293,0,17.5660844,0,0
p42,,18010,13.15610454,0,5.76,0,0
p43,,18011,54.64688789,0,7.849188309,0,0
p44,,18390,32.50313821,0,5.76,0,0
p45,,18391,131.5112066,0,12.45417531,0,0
p46,,19411,3.081621237,0,8.657636354,0,0
p47,,19412,23.15943293,0,5.76,0,0
p48,,19790,14.12177635,0,9.323818177,0,0
p49,,19791,266.1863084,0,5.76,0,0
p50,,19792,292.3121554,0,8.61021428,0,0
p51,,20170,55.41640357,0,16.32417531,0,0
p52,,20171,314.8998398,0,5.76,0,0
p53,,20172,106.4010026,0,13.064987,0,0
p54,,20550,14.54182798,0,5.76,0,0
p55,,20551,116.7048159,0,8.914844148,0,0
p56,,20552,0.940132972,0,16.11594155,0,0
p57,,20930,41.77037655,0,8.278448045,0,0
p58,,20931,3.551431291,0,29.26453244,0,0
p59,,21310,119.3217941,0,15.41403246,0,0
p60,,21311,23.06611284,0,25.21873375,0,0
p61,,22097,57.15885188,0,10.0938896,0,0
p62,,22098,36.61363753,0,7.505727266,0,0
p63,,22476,101.9893533,0,5.76,0,0
p64,,22477,297.2132129,0,5.76,0,0
p65,,22478,323.8005603,0,5.76,0,0
p66,,22479,74.50635038,0,5.76,0,0
p67,,22517,7.714906227,0,14.00866233,0,0
p68,,22856,117.2247046,0,7.280954544,0,0
p69,,22857,300.9106298,0,5.76,0,0
p70,,22858,324.94187,0,5.76,0,0
p71,,22859,244.8606833,0,5.76,0,0
p72,,22896,14.71643236,0,13.09587012,0,0
p73,,22897,119.4640972,0,5.76,0,0
p74,,23237,27.20489766,0,6.965727266,0,0
p75,,23238,26.55826784,0,5.76,0,0
p76,,23239,57.86596579,0,5.76,0,0
p77,,23276,143.4059094,0,5.76,0,0
p78,,23277,176.2703662,0,7.347564928,0,0
p79,,23622,137.6842924,0,5.76,0,0
p80,,23623,241.9503127,0,5.76,0,0
p81,,23624,21.28025913,0,13.13314934,0,0
p82,,23655,25.84144179,0,5.76,0,0
p83,,23656,334.5656949,0,10.52579869,0,0
p84,,23657,144.0509058,0,14.55131168,0,0
p85,,24001,28.86913844,0,5.76,0,0
p86,,24002,336.1145762,0,5.76,0,0
p87,,24003,366.1216453,0,5.76,0,0
p88,,24004,123.7842897,0,13.52668181,0,0
p89,,24035,227.1147532,0,5.76,0,0
p90,,24036,425.6265234,0,8.783818177,0,0
p91,,24037,82.19256809,0,23.64240908,0,0
p92,,24379,9.943357321,0,5.76,0,0
p93,,24380,20.34218051,0,5.76,0,0
p94,,24381,256.0124331,0,5.76,0,0
p95,,24382,387.3332355,0,5.76,0,0
p96,,24383,393.9288188,0,5.76,0,0
p97,,24384,73.20651776,0,17.0238896,0,0
p98,,24415,221.3953481,0,5.76,0,0
p99,,24416,419.6953076,0,10.68021428,0,0
p100,,24417,5.756930918,0,27.51350647,0,0
p101,,24758,13.82666967,0,5.76,0,0
p102,,24759,272.7512332,0,5.76,0,0
p103,,24760,298.2175689,0,5.76,0,0
p104,,24761,328.3609008,0,5.76,0,0
p105,,24762,392.5875094,0,5.76,0,0
p106,,24763,366.923472,0,5.76,0,0
p107,,24764,7.2080379,0,13.10866233,0,0
p108,,24795,70.7370323,0,5.76,0,0
p109,,24796,293.1066677,0,16.88601297,0,0
p110,,25138,63.32030929,0,5.76,0,0
p111,,25139,271.4011436,0,5.76,0,0
p112,,25140,195.9178876,0,5.76,0,0
p113,,25141,313.6149022,0,5.76,0,0
p114,,25142,347.7679629,0,5.76,0,0
p115,,25143,240.4365296,0,5.76,0,0
p116,,25175,4.94881209,0,5.76,0,0
p117,,25176,128.3229947,0,10.34205194,0,0
p118,,25177,274.5584818,0,27.66637011,0,0
p119,,25178,97.38446958,0,41.50672724,0,0
p120,,25179,40.91050559,0,55.82157139,0,0
p121,,25180,87.25766303,0,48.65290906,0,0
p122,,25519,4.077507256,0,5.76,0,0
p123,,25521,162.3977508,0,7.859331163,0,0
p124,,25522,243.0900522,0,5.76,0,0
p125,,25523,44.9210153,0,5.76,0,0
p126,,25524,206.668105,0,5.76,0,0
p127,,25525,44.92002288,0,9.808448045,0,0
p128,,25901,82.88559557,0,5.76,0,0
p129,,25902,62.99249069,0,11.39646753,0,0
p130,,25904,224.9057135,0,5.76,0,0
p131,,25905,170.3785308,0,5.76,0,0
p132,,26280,0.318136008,0,7.647350647,0,0
p133,,26281,241.6894803,0,5.76,0,0
p134,,26282,123.3015323,0,5.811168825,0,0
p135,,26284,142.0442902,0,5.76,0,0
p136,,26285,165.7260249,0,5.76,0,0
p137,,26660,86.32764399,0,5.76,0,0
p138,,26661,347.1587859,0,13.70028571,0,0
p139,,26662,304.5577356,0,5.76,0,0
p140,,26663,30.58709204,0,5.76,0,0
p141,,26664,90.47978017,0,5.76,0,0
p142,,26665,270.7157966,0,5.76,0,0
p143,,26666,2.218771355,0,5.76,0,0
p144,,27040,190.9173476,0,9.855870119,0,0
p145,,27041,428.5266398,0,5.76,0,0
p146,,27042,407.8842961,0,5.76,0,0
p147,,27043,193.304095,0,5.76,0,0
p148,,27044,125.8785635,0,5.76,0,0
p149,,27045,340.6063605,0,5.76,0,0
p150,,27046,151.137992,0,5.76,0,0
p151,,27420,281.3898129,0,19.56262336,0,0
p152,,27421,411.6484863,0,11.78049999,0,0
p153,,27422,389.0112328,0,5.76,0,0
p154,,27423,351.1002902,0,5.76,0,0
p155,,27424,321.4417641,0,5.76,0,0
p156,,27425,368.1578145,0,7.622863633,0,0
p157,,27426,303.2101515,0,5.76,0,0
p158,,27427,4.196508971,0,5.76,0,0
p159,,27800,88.55914799,0,31.67004543,0,0
p160,,27801,162.7695257,0,20.37527271,0,0
p161,,27802,245.3635905,0,14.07417531,0,0
p162,,27803,335.5197408,0,5.76,0,0
p163,,27804,319.4485393,0,5.76,0,0
p164,,27805,343.6653445,0,5.76,0,0
p165,,27806,266.9861358,0,5.76,0,0
p166,,28182,19.6634847,0,21.87548699,0,0
p167,,28183,86.53069819,0,15.87572727,0,0
p168,,28184,35.45457963,0,17.4813831,0,0
p169,,28185,101.4135815,0,13.47661038,0,0
p170,,28186,125.1782397,0,5.76,0,0
p171,,28187,2.273597388,0,5.76,0,0
p172,,28188,24.02061943,0,5.76,0,0
p173,,28567,116.5629272,0,5.76,0,0
p174,,28568,297.726506,0,8.914844148,0,0
p175,,28569,3.350430167,0,5.76,0,0
p176,,28947,172.7286977,0,5.76,0,0
p177,,28948,242.6100656,0,6.353818177,0,0
p178,,28949,1.608349429,0,5.76,0,0
p179,,29327,7.434276387,0,11.99403246,0,0
p180,,29328,4.484956772,0,5.76,0,0
p181,,36616,65.21232317,0,5.76,0,0
p182,,36617,79.12079677,0,10.93477272,0,0
p183,,36623,7.289831662,0,7.229331163,0,0
p184,,36624,152.7281971,0,5.76,0,0
p185,,36996,196.5181104,0,5.76,0,0
p186,,36997,291.6984159,0,7.067422074,0,0
p187,,36998,4.464534735,0,5.76,0,0
p188,,37003,96.96557982,0,8.207636354,0,0
p189,,37004,308.9536864,0,18.18064284,0,0
p190,,37376,165.9486787,0,5.76,0,0
p191,,37377,234.5708079,0,5.76,0,0
p192,,37378,5.648947277,0,5.76,0,0
p193,,37383,60.84128205,0,5.76,0,0
p194,,37384,129.4996497,0,9.805798693,0,0
p195,,37627,20.87949808,0,5.76,0,0
p196,,37628,2.093660214,0,5.76,0,0
p197,,38006,79.57536095,0,8.803006486,0,0
p198,,38007,318.303372,0,5.76,0,0
p199,,38008,81.98409121,0,5.76,0,0
p200,,38136,89.7979098,0,5.76,0,0
p201,,38137,104.6932417,0,5.76,0,0
p202,,38138,33.29650417,0,7.157422074,0,0
p203,,38139,70.65374569,0,19.44813634,0,0
p204,,38386,256.9641236,0,5.76,0,0
p205,,38387,387.9564609,0,5.76,0,0
p1,,38388,141.2085241,0,5.76,0,0
p2,,38515,97.27730046,0,5.76,0,0
p3,,38516,310.2022721,0,5.76,0,0
p4,,38517,314.2507008,0,5.76,0,0
p5,,38518,317.332909,0,6.095512986,0,0
p6,,38519,268.4489263,0,6.973675324,0,0
p7,,38766,266.5101337,0,5.76,0,0
p8,,38767,362.3803313,0,5.76,0,0
p9,,38768,66.78336285,0,5.76,0,0
p10,,38894,40.03375274,0,5.76,0,0
p11,,38895,289.0765957,0,5.76,0,0
p12,,38896,327.8978402,0,5.76,0,0
p13,,38897,325.2703078,0,8.597422074,0,0
p14,,38898,323.919791,0,5.76,0,0
p15,,38899,307.4087596,0,5.76,0,0
p16,,39146,87.39898033,0,5.76,0,0
p17,,39147,70.42356526,0,8.01374675,0,0
p18,,39148,37.17765348,0,6.040142853,0,0
p19,,39274,169.6561092,0,5.76,0,0
p20,,39275,330.2371266,0,12.7874935,0,0
p21,,39276,340.6293316,0,5.76,0,0
p22,,39277,330.2367469,0,6.198305192,0,0
p23,,39278,320.5495266,0,5.76,0,0
p24,,39279,209.1747418,0,7.284701295,0,0
p25,,39653,5.315230272,0,5.76,0,0
p26,,39654,288.7389468,0,5.76,0,0
p27,,39655,341.0215172,0,16.69961687,0,0
p28,,39656,347.9507824,0,9.062863633,0,0
p29,,39657,335.7852785,0,5.76,0,0
p30,,39658,321.7044094,0,8.169259736,0,0
