region,class,bin,capacity,supply_curve_cost_per_mw,sc_point_gid,dist_mi
p1,1,1,6794.6924,6006.134,"416,1557,2321,3455,4596,4975,4976,4978,5355,5733,5736,6495,6497,6874,6875,7254,7629,7633",1.5186
p1,1,2,6594.6914,12658.1418,"796,2701,4597,4977,5356,5734,5735,6116,6872,7256,7632",3.2005
p1,1,3,6737.7258,16719.7784,"797,1177,1180,2695,3835,5354,6492,6493,6878,7251,7631,7637",2.1257
p1,1,4,5572.4176,21534.5089,"1556,2319,5351,7255,7630,8389",5.1245
p1,1,5,7104.3569,23341.2267,"6496,6877,7249,7628,7634,8009,8018,8390,9152",4.8221
p1,1,6,7029.0389,27040.8437,"417,1176,1558,2320,5357,7638,8012,8013",5.6771
p1,1,7,6303.0934,30251.185,"800,3080,4595,5739,6876,7257,8008,8019,8388",6.7335
p1,1,8,6640.352,35704.7185,"1937,3078,3079,6113,6117,6119,6498,7636,8010,8770",9.0277
p1,1,9,6691.3675,43365.4329,"798,1939,4216,4217,4599,5740,6871,7250,8016,8395",10.8849
p1,1,10,5477.5808,49397.7984,"1938,2316,3839,4594,5353,7635,8774",12.4899
p1,1,11,6824.4759,56456.8446,"1178,3074,4215,4974,4979,6120,8011,8017,8771,8775",14.0288
p1,1,12,7134.7827,66597.5936,"3836,4214,6118,8391,8394",16.2938
p1,1,13,5213.5877,76783.8693,"799,3454,4219,5352,6491,8015",19.4142
p1,1,14,7910.2065,83256.0943,"3075,4973,5737,6112,8014",19.7968
p1,1,15,6623.6757,101604.7096,"1179,3456,3834,5359,5732,5738,8772,9154",24.9249
p1,1,16,6159.4782,115277.9917,"3840,5358,8392,8393",26.8967
p1,1,17,7047.5618,131435.5602,"3076,3841,4598,5731,8773",31.1549
p1,1,18,6671.2282,167595.0164,"2696,3082,3459,3461,3837,4218",40.5462
p1,1,19,5699.8706,212121.9535,"3077,3081,3457,3458,3838",50.1683
p1,1,20,7616.635,283503.9158,"1559,2317,2318,2697,2698,2699,2700",67.864
