region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km
s2,10,798,9.55,741696.799,5.76
s2,9,799,20.758,412206.717,5.76
s2,9,800,26.001,820938.562,11.062
s2,10,1178,11.713,755494.541,5.76
s2,10,1179,60.847,188299.127,5.76
s2,10,1180,7.46,2083668.189,11.075
s1,6,1543,8.967,6141593.465,50.203
s1,7,1544,28.358,2661455.967,45.534
s2,8,1557,26.122,281292.422,5.76
s2,9,1558,75.33,273158.729,7.276
s2,10,1559,32.586,528702.742,7.893
s2,9,1560,11.129,2673557.804,21.328
s1,8,1922,8.845,8618557.832,49.8
s1,7,1923,80.36,590188.483,35.91
s1,7,1924,92.194,475014.26,33.194
s2,9,1937,45.004,227102.93,5.76
s2,10,1938,30.171,363995.367,5.76
s2,10,1939,33.461,795685.488,12.627
s1,8,2302,11.324,4651230.774,46.209
s1,8,2303,101.161,336732.841,27.697
s1,8,2304,101.269,272959.568,18.99
s1,8,2305,130.102,390811.314,21.048
s1,9,2306,11.98,4119359.654,20.505
s2,10,2317,5.613,1328776.961,5.76
s2,10,2318,7.29,1292797.945,5.76
s2,10,2319,36.061,687619.654,10.215
s2,10,2320,23.717,1119482.671,11.251
s2,10,2321,34.457,294318.846,5.76
s6,9,2333,46.729,807176.896,29.999
s6,10,2334,31.784,792318.164,14.801
s6,10,2335,38.005,468326.594,9.311
s6,10,2336,18.274,1131470.802,18.266
s1,8,2682,71.539,650111.174,33.128
s1,9,2683,142.14,322473.559,19.902
s1,8,2684,123.579,231892.837,7.726
s1,8,2685,113.36,265846.264,5.76
s1,9,2686,114.769,269190.401,6.301
s1,10,2687,26.171,1256838.129,6.527
s2,10,2696,8.651,586784.789,5.76
s2,10,2699,33.485,347793.873,5.76
s2,10,2700,34.555,333425.089,5.76
s2,10,2701,7.484,1676855.067,5.76
s6,9,2712,81.186,582494.342,35.794
s6,10,2713,44.882,726453.89,23.434
s6,9,2714,34.239,696965.681,13.446
s6,10,2715,80.02,130102.325,5.76
s6,10,2716,123.371,300212.696,13.507
s6,10,2717,111.78,464078.486,42.291
s6,10,2718,27.921,1662201.26,38.315
s8,10,2719,9.161,5191656.075,52.773
s8,10,2720,13.0,3816511.529,51.602
s1,8,3062,76.91,503436.148,34.599
s1,9,3063,126.029,368463.507,21.693
s1,9,3064,109.933,375328.514,11.795
s1,9,3065,62.402,344846.49,7.825
s1,8,3066,34.968,739999.3,7.645
s1,9,3067,46.778,430158.812,6.437
s1,10,3068,22.016,377933.592,5.76
s2,10,3077,18.006,779777.362,6.674
s2,9,3078,78.756,284043.505,7.3
s2,10,3079,45.271,659769.131,18.223
s2,10,3081,22.964,748356.929,6.577
s6,8,3092,75.646,583794.922,33.501
s6,9,3093,29.646,938058.397,22.241
s6,10,3094,104.709,229082.502,14.271
s6,10,3095,41.018,356614.948,5.76
s6,10,3096,124.78,260337.187,24.997
s6,10,3097,105.025,470025.443,37.89
s6,10,3098,77.882,641321.29,42.759
s8,10,3099,32.513,1293732.254,40.482
