,,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p157,class6,128884.7401,206491.8185,289816.8438,370063.2121,471127.1742
p157,class7,108850.7801,208777.0506,279827.5139,358914.2305,473597.01
p158,class6,62537.81749,119283.1037,192112.5076,258557.2441,329183.3868
p158,class7,21558.85199,23249.12007,36190.12183,259385.2509,357707.3946
p159,class6,75577.59844,141201.6247,189359.8729,243092.0249,281025.3218
p159,class7,60134.8595,109144.5868,171812.6356,248843.1245,324573.9092
p160,class6,50976.27357,94456.23748,131560.117,166563.6811,205253.6929
p160,class7,47174.89486,74745.03535,113903.1789,157155.6554,190965.1177
p161,class6,52409.89394,87153.3154,124396.9818,182288.8558,223801.3136
p161,class7,43607.64459,90035.0947,113423.9683,139350.4252,158620.4091
p162,class6,33117.43508,68151.55426,111743.8138,157863.4193,257652.2536
p163,class6,167749.3824,242203.8644,320312.4497,369598.9083,411736.6293
p163,class7,63333.40565,109904.9469,153744.2347,203798.7145,388653.2584
p164,class5,141632.8214,222937.8458,226880.3,233791.1672,0
p164,class6,69491.31107,138777.8355,216240.7201,274044.3181,347253.794
p164,class7,119458.4559,192491.643,239271.0324,285552.0097,365458.5268
p165,class6,176554.0903,257954.8557,320247.7021,406207.906,498596.1656
p165,class7,149879.4655,274548.9398,364955.2063,425410.8159,491954.7549
p166,class6,89676.37959,135558.1157,177981.6694,233499.022,317665.992
p166,class7,76600.84073,139063.3638,189788.4167,231632.5015,278158.4823
p167,class6,172343.0685,361797.9665,406840.483,473886.2902,518094.5781
p167,class7,100709.5839,182731.8769,241068.2913,294706.3425,384113.3597
p167,class8,36094.56167,114686.3992,171468.9893,285202.0852,298534.0867
p168,class5,58423.42751,103752.9697,147409.9161,200363.5546,274360.6484
p168,class6,171168.4299,273624.168,331007.3398,384284.3181,449227.0837
p168,class7,358802.6007,411587.6424,475412.6462,516968.3347,557445.4371
p169,class5,140936.5512,207137.6183,292038.0282,371356.2899,425509.1433
p169,class6,28613.84624,155266.8214,222262.0293,321279.9749,384954.2079
p170,class5,44918.95941,71257.61106,92100.87157,112037.9094,142655.8912
p170,class6,26468.46944,87897.09636,101240.4507,120304.056,153708.3071
p171,class5,50091.31499,94740.43938,183544.0719,251370.7546,315133.5403
p171,class6,201272.4098,241236.5658,270432.6885,302085.9754,326932.5086
p172,class5,95979.55402,167576.9875,230560.009,294020.7116,366391.2573
p172,class6,149237.9625,220050.7044,269016.9653,326355.836,385910.3621
p172,class7,154660.3383,238339.6284,287194.789,335985.8438,425372.4564
p173,class6,29987.2611,71899.50246,106627.9036,170848.3944,250980.1548
p173,class7,58706.27179,110387.3376,151844.3656,192000.3416,250752.4764
p174,class5,49168.05446,76040.09898,98768.16488,118290.3583,171305.8911
p175,class3,114842.152,0,0,0,0
p175,class4,151908.9026,168430.0202,183417.3382,196046.1977,211350.6822
