,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1538.71,1719.15,1943.34,2000.78,2059.02,2168.63,2224.16,2374.17,2468.38,2536.81,2601.84,2633.98,2746.12,2813,2896.72
p2,1596.89,1769.1,1838.65,1864.45,1911.24,2030.82,2144.77,2219.74,2282.78,2323.85,2391.83,2492.95,2587.79,2703.76,2826.63
p3,1718.83,1950.53,2070.22,2153.36,2244.68,2318.43,2393.89,2455.77,2522.94,2586.95,2638.71,2723.75,2783.74,2860,2910.71
p4,1912.25,1981.98,2076.24,2182.89,2244.2,2320.82,2375.52,2456.46,2507.39,2541.6,2571.04,2630.13,2691.6,2743.48,2840.76
p5,1567.98,1803.23,1930.35,2040.57,2115.39,2192.98,2271.89,2362.77,2436.18,2497.74,2580.43,2670.6,2762.73,2834.07,2925.93
p6,1458.83,1646.31,1760.22,1908.59,2021.59,2114.43,2210.55,2299.48,2364.94,2441.59,2533.94,2668.49,2748.35,2807.7,2888.63
p7,1470.95,1678.55,1806.86,1895.01,1990.37,2086.63,2166.39,2250.2,2338.35,2427.4,2514.24,2621.74,2711.8,2787.02,2899.22
p8,1224.54,1483.97,1660.97,1771.06,1858.6,1943.72,2034.2,2136.3,2224.08,2312.04,2388.08,2487.07,2605.69,2737.14,2876.49
p9,1396.5,1598,1725.89,1825.25,1911.98,2002.31,2081.61,2166.43,2255.95,2340.1,2428.9,2521.56,2625,2747.89,2879.11
p10,1177.58,1345.77,1461.59,1558.65,1646.44,1728.57,1805.56,1880.81,1959.09,2054.4,2161.74,2285.71,2435.95,2626.11,2840.37
p11,1301.97,1443.1,1598.62,1702.05,1768.06,1828.6,1926.33,2023.98,2125.32,2238.49,2332.77,2429.7,2566.4,2712.38,2868.23
p12,1261.86,1426.58,1535.98,1646.73,1738.91,1827.22,1917.48,2017.12,2114.84,2213.22,2329.62,2450.87,2583.68,2715.92,2876.93
p13,1324.34,1504.52,1612.2,1698.2,1781.02,1858.96,1943.24,2020.16,2094.22,2178.03,2283.57,2404.72,2566.91,2696.48,2856.63
p14,1679.23,1862.53,1939.15,2063.32,2123.23,2193.24,2253.4,2309.26,2376.18,2460.63,2536.93,2613.74,2689.69,2815.77,2927.18
p15,1502.38,1676.26,1787.25,1895.08,1984.38,2058.66,2120.91,2189.13,2258.95,2327.31,2414.05,2508.56,2627.21,2762.07,2894.24
p16,1200.96,1402.62,1538.84,1648.95,1760.6,1868.65,1969.98,2066.16,2156.45,2271.86,2364.06,2480.34,2603.93,2733.18,2870.64
p17,1538.37,1727.88,1855.08,1951.26,2035.57,2103.19,2175.65,2241.82,2314.11,2390.46,2464.1,2555.08,2650.45,2751.82,2885.98
p18,1539.93,1767.08,1870.27,1948.73,2033.28,2121.39,2214.78,2288.33,2366.82,2436.65,2534.71,2628.48,2717.09,2796.44,2892.52
p20,1715,1876.01,1974.49,2041.86,2118.76,2138.16,2194.01,2215.8,2292.33,2388.9,2469.21,2545.28,2557.9,2783.47,2869.2
p21,1494.8,1672.82,1773.54,1864.47,1943.24,2024.78,2090.7,2157.05,2218.05,2293.68,2376.5,2486.25,2601.4,2735.52,2883.37
p22,1520.24,1653.15,1745.9,1796.66,1878.63,1949.41,2009.34,2086.54,2158.74,2237.09,2306.74,2380.67,2512.26,2639.38,2814.08
p23,1876.45,1921.42,1923.89,2020.77,2146.49,0,2232.77,2246.83,2388.57,2519.67,2557.65,2695.56,2807.72,2872.4,2900.3
p24,1474.92,1654.51,1788.8,1919.71,2027.22,2088.32,2146.52,2262.67,2370.33,2518.23,2588.2,2652.17,2716.51,2819.15,2903.77
p25,1247.42,1439.13,1570.46,1670.79,1763.01,1851.62,1933.78,2015.28,2102.5,2192.79,2302.66,2408.09,2531.69,2685.81,2874.78
p26,1381.4,1570.73,1677.64,1776.44,1863.81,1959.71,2055.39,2146.97,2224.01,2298.67,2410.98,2502.17,2599.75,2716.94,2866.65
p27,1062.13,1211.65,1309.53,1402.11,1479.84,1563.05,1648.4,1737.02,1844.23,1964.61,2091.65,2245.55,2418.4,2602.84,2808.55
p28,1075.88,1275.98,1398.43,1508.94,1630.99,1729.34,1815.08,1911.87,2011.42,2122.82,2240.69,2373.7,2516.74,2686.86,2877
p29,1468.03,1532.55,1632.11,1738.21,1780.33,1868.37,1995.68,2092.62,2192.74,2260.38,2336.78,2413.38,2546.29,2713.05,2888.97
p30,1825.75,0,1997.78,0,2079.26,0,0,2086.59,0,2223.87,0,2282.51,0,2625.37,2896.38
p31,1196.19,1362.49,1448,1566.84,1681.6,1773.91,1873.96,1973.93,2073.45,2188.27,2309.46,2444.73,2571.77,2718.08,2873.12
p32,2417.57,0,2454.38,0,0,0,2579.9,2662.79,0,2809.24,0,0,0,0,2816.39
p33,1539.32,1756.73,1864.51,1950.63,2034.64,2100.81,2177.02,2256.35,2337.68,2410.54,2497.19,2576.03,2673.32,2776.3,2886.17
