region,class,bin,capacity,supply_curve_cost_per_mw
s1,6,1,8.9667,305261.5469
s1,7,1,92.1942,140303.4258
s1,7,2,14.4342,224648.1758
s1,7,3,5.6619,230786.5898
s1,7,4,80.3601,270152.3802
s1,7,5,28.3581,284673.9079
s1,8,1,472.5429,86763.924
s1,8,2,362.1674,134192.8737
s1,8,3,339.5942,180024.6816
s1,8,4,343.5082,226459.7366
s1,8,5,472.6836,303364.8222
s1,9,1,807.5782,60096.8476
s1,9,2,539.8731,108690.9087
s1,9,3,608.2543,138567.8683
s1,9,4,714.7099,209289.6983
s1,9,5,663.6028,303021.0729
s1,10,1,615.8106,101161.851
s1,10,2,440.9721,144703.8974
s1,10,3,507.2275,176886.6375
s1,10,4,424.1565,211153.8015
s1,10,5,568.4487,281137.9777
s10,7,1,240.9831,58229.8719
s10,7,2,104.733,69345.1299
s10,7,3,178.0947,88838.9335
s10,7,4,152.7498,115649.2615
s10,7,5,156.1275,202633.3485
s10,8,1,227.7639,62922.7907
s10,8,2,129.6648,88218.5998
s10,8,3,205.3836,95054.8478
s10,8,4,170.5131,121887.7885
s10,8,5,166.7223,191061.8166
s10,9,1,287.712,44639.6981
s10,9,2,423.0873,64577.9925
s10,9,3,326.7621,85827.5403
s10,9,4,302.6808,136822.1177
s10,9,5,318.4515,199584.9227
s10,10,1,135.5211,78254.6978
s10,10,2,109.9818,90119.0113
s10,10,3,143.1756,123042.8038
s10,10,4,131.1228,186972.1082
s100,4,1,750.601,8190.3765
s100,4,2,423.7434,17556.4737
s100,4,3,574.9231,32143.5556
s100,4,4,473.0967,45407.1661
s100,4,5,681.4692,74788.314
s100,5,1,873.4635,16965.1646
s100,5,2,485.6278,47882.8959
s100,5,3,662.1893,53987.5737
s100,5,4,545.0293,64684.3153
s100,5,5,588.9444,101281.236
s100,6,1,863.3997,44580.2076
s100,6,2,869.6435,59828.5585
s100,6,3,907.1992,78217.7118
s100,6,4,733.0507,100914.66
s100,6,5,961.1833,114574.1617
s100,7,1,303.8846,90312.1336
s100,7,2,224.1675,131993.2273
s100,7,3,211.42,160998.8933
s100,7,4,246.7179,170596.9129
s100,7,5,375.3378,191757.6649
s101,3,1,261.6138,4944.7554
s101,3,2,45.4554,18812.8145
s101,3,3,91.9512,94394.2325
s101,3,4,63.7632,124882.9762
s101,4,1,597.711,12997.0514
s101,4,2,920.3494,34053.9095
s101,4,3,589.1846,50013.705
s101,4,4,718.6635,59477.6939
s101,4,5,719.7655,125189.1035
s101,5,1,1511.1395,28086.8939
s101,5,2,1387.2173,51342.0247
s101,5,3,1320.4883,82469.1251
s101,5,4,1534.2933,135699.384
s101,5,5,1463.5639,233695.4226
s101,6,1,1651.5663,54785.7405
s101,6,2,1767.4831,101848.2525
s101,6,3,1661.2984,146070.4442
s101,6,4,1604.9499,189597.1132
