,,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p157,class6,14653.0944,62828.784,60620.6592,68982.7104,59945.184
p157,class7,268834.9824,295184.2176,300787.344,293985.936,279966.3264
p158,class6,27759.5424,38040.9696,9259.4016,10535.4432,12105.4176
p158,class7,0.2592,40.176,296.784,24.3648,40.176
p159,class6,6956.1504,22826.1888,28417.6512,24328.512,19000.9152
p159,class7,78883.632,88338.2112,73267.2864,94732.416,72872.784
p160,class6,49751.8848,60244.0416,55318.464,47951.4816,36795.5136
p160,class7,2988.576,14349.8304,16141.1616,20082.0384,15964.9056
p161,class6,30709.2384,42872.7168,31305.1392,17958.4128,19246.3776
p161,class7,226.5408,1330.4736,3165.0912,1954.6272,628.56
p162,class6,8618.4,12615.5232,12510.8064,6069.168,1567.6416
p163,class6,14068.3392,19485.8784,10236.5856,21549.888,14235.0048
p163,class7,36339.5808,52321.0752,56908.656,47238.6816,18821.0304
p164,class5,0.7776,19.6992,33.4368,389.5776,0
p164,class6,51833.7792,56349.5616,71649.36,73394.0352,45184.5216
p164,class7,99503.2512,150789.6,152582.2272,141641.136,120518.928
p165,class6,28980.6336,93046.8384,100937.1456,78243.408,90247.4784
p165,class7,252411.552,320524.6464,347682.0672,337061.3472,298022.4576
p166,class6,3776.0256,2319.3216,1893.7152,783.3024,194.1408
p166,class7,63250.2432,71821.2096,75255.0912,73201.1904,56241.7344
p167,class6,81.3888,123.12,2726.2656,1240.272,464.2272
p167,class7,201591.2448,233730.7488,235375.3728,231798.4128,155590.5024
p167,class8,121.5648,0.7776,569.7216,420.4224,30.0672
p168,class5,74689.776,81087.3504,78747.8112,74442.7584,58371.0624
p168,class6,12396.4992,83693.088,93221.28,84684.7872,45699.552
p168,class7,48273.408,97262.9856,96697.4112,110428.7904,101683.1232
p169,class5,12045.8016,16449.3504,26970.2784,27044.1504,28953.1584
p169,class6,16.848,11145.3408,14677.9776,4700.3328,3166.3872
p170,class5,18767.6352,33031.152,33876.4032,33587.136,26997.4944
p170,class6,149.8176,247.0176,1382.0544,1124.928,1257.8976
p171,class5,42295.9968,41041.2096,57244.0608,54838.944,48277.5552
p171,class6,213.5808,6197.9904,9069.6672,12944.1888,10057.4784
p172,class5,57387.9168,70538.1696,65680.2432,58520.6208,31805.9136
p172,class6,108245.0304,177119.9136,180652.5504,190994.6304,186110.2656
p172,class7,21686.7456,48146.6592,61221.744,51813.3024,32571.072
p173,class6,3510.3456,8869.5648,11915.9424,12749.2704,5183.4816
p173,class7,9799.8336,35621.3376,50723.8848,53765.0784,33024.4128
p174,class5,4164.5664,9182.16,14448.8448,17203.104,313.632
