region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_MW,capital_adder_per_MW,dist_km,reinforcement_dist_km
p01001,2,71325,796.924,151788.456,245289.714,-93501.258,83.73,33.444
p01001,2,71326,1061.326,109880.276,202971.506,-93091.23,85.102,33.444
p01001,2,71327,1181.869,-47013.296,39535.907,-86549.203,9.473,144.287
p01001,2,71328,1121.439,-25187.007,42882.102,-68069.109,9.91,135.716
p01001,2,71706,990.412,151030.553,249615.947,-98585.394,102.141,33.444
p01001,2,71707,802.616,-32018.095,53741.257,-85759.352,17.54,144.287
p01001,2,71708,616.919,38977.302,73867.383,-34890.081,14.878,135.716
p01001,2,72086,1057.132,175837.926,262968.012,-87130.086,114.578,33.444
p01001,2,72087,847.588,20319.892,97423.629,-77103.737,32.013,135.716
p01001,2,72466,826.523,40506.204,117924.669,-77418.464,38.337,144.287
p01001,3,72088,495.251,66328.666,70786.646,-4457.98,25.523,135.716
p01003,2,77019,260.267,35943.522,127753.794,-91810.272,36.238,52.126
p01003,2,77020,1788.841,41759.352,134707.62,-92948.268,43.519,52.126
p01003,2,77399,905.678,-9729.819,85469.639,-95199.458,25.593,52.126
p01003,2,77400,2313.133,6520.648,101938.393,-95417.746,34.468,52.126
p01003,2,77779,1021.856,-35510.577,51283.959,-86794.535,17.227,52.126
p01003,2,77780,1787.639,4194.149,92132.067,-87937.918,29.642,52.126
p01003,2,78159,926.433,-63279.593,27235.15,-90514.743,3.933,63.425
p01003,2,78160,1497.206,97401.884,116748.713,-19346.829,39.965,25.293
p01003,2,78161,2098.466,45065.518,133450.408,-88384.89,50.769,25.293
p01003,2,78539,749.343,24575.059,92457.884,-67882.826,22.619,25.293
p01003,2,78540,1404.064,80862.35,111401.004,-30538.654,35.336,25.293
p01003,2,78541,2077.286,42985.842,126079.499,-83093.657,46.434,25.293
p01003,2,78921,2171.776,73974.946,145745.228,-71770.282,45.184,25.293
p01003,3,78918,9.826,1811159.999,1743657.152,67502.846,18.478,30.862
p01003,3,78919,830.062,64834.802,81833.911,-16999.108,21.259,25.293
p01003,3,78920,1663.86,81029.159,116073.345,-35044.186,33.292,25.293
p01003,3,78922,1499.801,83081.901,154298.628,-71216.727,57.525,25.293
p01003,3,79299,159.051,716280.206,209808.394,506471.811,32.708,25.293
p01003,3,79300,879.66,187052.188,127301.392,59750.796,39.027,25.293
p01003,3,79301,993.958,107628.837,133352.776,-25723.94,49.505,25.293
p01003,3,79302,2111.238,90999.184,150861.94,-59862.757,60.867,25.293
p01003,3,79679,104.062,531046.431,84896.532,446149.899,9.631,126.683
p01003,3,79680,524.407,179231.484,130303.804,48927.68,49.347,25.293
p01003,3,79681,495.645,185440.173,151709.882,33730.291,55.951,25.293
