region,class,bin,capacity,supply_curve_cost_per_mw
i798,10,1,9.5499,221650.1934
i799,9,1,20.7575,217347.3327
i800,9,1,26.001,216729.3958
i1178,10,1,11.7126,229131.5748
i1179,10,1,60.8472,106916.5558
i1180,10,1,7.4601,225728.627
i1543,6,1,8.9667,305261.5469
i1544,7,1,28.3581,284673.9079
i1557,8,1,26.1225,189666.0135
i1558,9,1,75.33,104960.8334
i1559,10,1,32.5863,194103.5277
i1560,9,1,11.1294,242195.2852
i1922,8,1,8.8452,426749.9635
i1923,7,1,80.3601,270152.3802
i1924,7,1,92.1942,140303.4258
i1937,9,1,45.0036,137942.418
i1938,10,1,30.1714,191056.5386
i1939,10,1,33.4611,202493.9838
i2302,8,1,11.3238,416704.4531
i2303,8,1,101.1609,325883.5836
i2304,8,1,101.2685,212349.9291
i2305,8,1,130.1022,259398.3328
i2306,9,1,11.9799,414291.8906
i2317,10,1,5.6133,226011.4576
i2318,10,1,7.29,227996.3736
i2319,10,1,36.0612,175191.4575
i2320,10,1,23.7168,223512.9083
i2321,10,1,34.4574,164069.0483
i2333,9,1,46.7289,283117.1797
i2334,10,1,31.7844,320162.1652
i2335,10,1,38.0047,413201.6163
i2336,10,1,18.2736,484359.5312
i2682,8,1,71.5392,285949.6467
i2683,9,1,142.1399,285016.1457
i2684,8,1,123.5791,186769.9865
i2685,8,1,113.3595,169187.5418
i2686,9,1,114.7689,234339.3814
i2687,10,1,26.1711,357140.9369
i2696,10,1,8.6508,214786.2271
i2699,10,1,33.4854,170448.957
i2700,10,1,34.5546,173799.6953
i2701,10,1,7.4844,221195.874
i2712,9,1,81.1863,171427.0838
i2713,10,1,44.8821,338377.7263
i2714,9,1,34.2387,187289.677
i2715,10,1,80.0199,323150.3473
i2716,10,1,123.3711,297563.2767
i2717,10,1,111.78,293605.2069
i2718,10,1,27.9207,394545.9362
i2719,10,1,9.1611,402199.4062
i2720,10,1,13.0005,372769.1875
i3062,8,1,76.9095,354984.451
i3063,9,1,126.029,288090.5841
i3064,9,1,109.9332,274824.1351
i3065,9,1,62.4024,227709.8761
i3066,8,1,34.9677,248379.1181
i3067,9,1,46.7775,274750.9047
i3068,10,1,22.0158,334699.4942
i3077,10,1,18.0063,223155.2779
i3078,9,1,78.7563,100322.9427
i3079,10,1,45.2709,156974.5514
i3081,10,1,22.9635,225906.8626
i3092,8,1,75.6459,148538.2631
i3093,9,1,29.646,274125.7946
i3094,10,1,104.7087,266226.2957
i3095,10,1,41.0184,363924.1678
i3096,10,1,124.7805,273577.4366
i3097,10,1,105.0246,274350.9662
i3098,10,1,77.8815,296411.0582
i3099,10,1,32.5134,359182.5948
i3100,10,1,61.6005,262047.6759
i3101,10,1,31.6143,302674.6867
i3102,10,1,30.7881,287045.472
i3103,10,1,31.0797,260424.5078
i3104,10,1,19.2942,272257.6914
i3442,9,1,32.4891,413359.6457
i3443,9,1,136.7847,266147.8009
i3444,9,1,73.5075,304065.1225
i3445,9,1,13.8267,404126.125
i3446,8,1,12.8547,314674.4609
i3449,10,1,29.0871,275054.1654
i3450,10,1,13.7538,283160.2266
i3457,10,1,20.2662,227350.3575
i3458,10,1,52.2936,133310.4259
i3459,10,1,71.8308,113593.2254
i3460,9,1,20.9952,239620.3387
i3461,10,1,34.1415,178465.3652
i3469,10,1,13.1463,337241.8228
i3470,10,1,15.0417,359762.7188
i3471,10,1,20.7279,380924.5997
i3472,10,1,29.3544,356571.1572
i3473,10,1,48.2355,149761.2825
i3474,10,1,120.9654,48081.1117
i3475,10,1,101.1609,254950.1617
i3476,10,1,86.4594,280580.554
i3477,10,1,71.6607,289940.2656
i3478,10,1,48.5271,286088.5295
i3479,10,1,79.704,197692.4664
i3480,10,1,83.3004,236820.6819
i3481,10,1,83.835,189425.2581
i3482,10,1,58.9032,211245.94
i3483,10,1,86.8239,154473.6059
i3484,10,1,52.5852,165843.0252
i3485,10,1,47.0691,152387.8699
i3486,10,1,27.945,190954.4377
i3487,10,1,6.804,217735.9121
i3488,10,1,20.9952,222985.4305
i3823,9,1,56.5947,320679.3689
i3824,10,1,41.0184,340538.9491
i3825,10,1,30.0591,362114.3238
i3830,10,1,47.0205,180610.6804
i3831,10,1,44.1531,166251.922
i3832,10,1,40.824,157470.0502
i3838,10,1,91.3437,78436.6
i3839,10,1,37.179,165425.5137
i3840,10,1,20.4431,226921.9174
i3841,10,1,16.62,230217.0767
i3849,10,1,18.1035,331129.3672
i3850,10,1,29.2572,333496.9187
i3851,10,1,31.5657,322420.6143
i3852,10,1,53.4843,257692.5143
i3853,10,1,95.6934,216416.2291
i3854,10,1,126.9189,55088.156
i3855,10,1,92.8746,240823.7024
i3856,10,1,104.247,236667.7153
i3857,10,1,78.8535,217344.2436
i3858,10,1,85.0743,238963.7238
i3859,10,1,45.7812,284569.995
i3860,10,1,21.3597,319050.439
i3861,10,1,51.1272,214723.9228
i3862,10,1,55.6713,208568.2373
i3863,10,1,70.8102,167645.3944
i3864,10,1,33.534,221146.1127
i3865,10,1,75.9861,113491.9483
i3866,10,1,16.0623,228941.4277
i3867,10,1,17.9577,219134.1807
i3868,10,1,16.524,237640.1186
i3869,10,1,6.2694,258920.5469
i3870,9,1,36.936,226569.8696
i3871,7,1,27.945,281622.0661
i3872,10,1,19.9989,333785.4219
i4203,9,1,65.2941,292881.4053
i4204,10,1,108.2079,230098.0863
i4205,10,1,43.74,294580.049
i4211,10,1,31.9302,202039.7392
i4212,10,1,78.3918,86834.755
i4213,9,1,32.6592,177721.9039
i4216,10,1,13.2921,220560.8676
i4218,10,1,72.2196,90712.1265
i4219,10,1,43.8372,158781.6351
i4229,10,1,50.3739,240144.0918
i4230,10,1,54.9423,232537.4485
i4231,10,1,36.4257,280230.43
i4232,10,1,53.5815,231445.002
i4233,10,1,90.2016,197252.0807
i4234,10,1,130.005,57781.7467
i4235,10,1,110.9052,202706.5613
i4236,10,1,66.4605,250419.4621
i4237,10,1,77.4927,244521.6591
i4238,10,1,92.0241,225245.1452
i4239,10,1,81.405,207139.9275
i4240,9,1,15.0903,231569.5723
i4241,10,1,33.048,255505.4868
i4242,10,1,43.6428,225918.7011
i4243,10,1,42.3306,206023.7448
i4244,10,1,59.0004,123258.3366
i4245,10,1,63.2529,117382.1108
i4246,10,1,60.4827,105548.0591
