,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,936.1428864,1260.241075,0,1401.411949,1594.650232,0,1676.184096,1755.801433,1807.466368,1941.326064,0,2026.272051,2343.696261,2681.764474,2881.563149
p2,877.558939,1069.985696,1171.87385,1241.75087,1349.85353,1420.761441,1503.809836,1590.229496,1675.733152,1768.803887,1853.998519,1947.585886,2092.283012,2314.995903,2847.452942
p3,1087.340288,1227.815217,1265.780622,1285.044403,1333.194352,1399.828279,1448.196769,1493.051059,1616.555695,1736.338971,1802.790982,1911.249808,2084.577798,2236.389495,2577.070027
p4,878.8654997,1034.179148,1071.265922,1130.166182,1182.632574,1253.54983,1287.65344,1325.43926,1473.039782,1550.721484,1634.246382,1778.74735,1911.71568,2056.708195,2551.128869
p5,896.4189521,1063.56842,1188.593247,1289.630869,1374.031079,1455.148154,1535.833707,1601.804234,1672.35349,1752.880404,1863.521954,1998.354632,2144.559853,2360.565661,2771.723336
p6,801.8670822,1027.522228,1131.218425,1230.625792,1298.503873,1367.97871,1428.122281,1508.454723,1628.737364,1714.54603,1814.167295,1950.079373,2092.703075,2302.68705,2883.014716
p7,830.4026127,1065.418087,1180.780822,1279.172495,1362.044501,1464.252443,1556.034511,1638.883178,1725.286022,1809.337033,1902.954042,2029.860752,2154.174604,2363.665781,2781.623251
p8,877.8227141,1006.218773,1082.910123,1135.25739,1208.482394,1300.612161,1397.116306,1478.433203,1578.841739,1649.186604,1752.489473,1879.337035,2044.133929,2232.801515,2716.137046
p9,755.1250072,870.7989206,967.0366478,1086.465847,1157.178722,1250.906531,1362.695079,1425.239506,1501.394596,1599.050879,1708.233591,1815.25356,1966.900204,2199.155556,2665.061294
p10,892.1665567,1120.082153,1230.646466,1304.51621,1397.710392,1486.463967,1593.825331,1695.930077,1777.268427,1859.718836,1983.862597,2100.370468,2225.400545,2390.469273,2768.408918
p11,1238.182213,1248.304657,1368.087329,1469.55804,1548.351027,1554.432012,1563.83493,1579.061033,1846.810646,1918.881333,2058.138939,2128.525933,2310.575461,2386.544425,2574.069747
p12,881.5532179,1061.26902,1199.799567,1311.409343,1409.47678,1506.529014,1598.392798,1686.506822,1772.79776,1866.708317,1975.312816,2098.866979,2237.256966,2435.619485,2868.848677
p13,1381.11505,1635.637904,1748.056734,1874.163733,1965.588151,2062.779194,2098.635023,2158.305051,2225.307098,2285.778431,2363.531239,2502.799283,2628.692867,2838.046899,3231.221214
p14,999.6868588,1123.122653,1177.669472,1271.955768,1295.614933,1306.648389,1429.897274,1530.628233,1632.174318,1658.205903,1826.074472,1908.17718,2068.150864,2310.931324,2915.736395
p15,990.3264645,1150.720788,1232.425087,1323.357124,1414.01243,1503.844966,1571.482768,1644.743305,1724.391998,1829.057367,1930.991219,2031.78282,2181.093498,2393.657493,2775.863801
p16,934.5272627,1091.320268,1184.633045,1275.437578,1365.40491,1442.859322,1543.324207,1626.872831,1698.170924,1784.205542,1886.272251,1993.420203,2134.068109,2341.327762,2835.85159
p17,902.4700662,1059.470228,1194.134033,1308.222764,1394.484975,1492.272332,1600.94351,1706.993989,1814.917182,1914.834724,2008.350424,2118.41981,2268.945527,2481.831324,2885.854975
p18,1046.066581,1177.764346,1240.093473,1351.729517,1490.843323,1547.379535,1629.396503,1722.336428,1812.574482,1915.080386,2003.784311,2116.918777,2273.074766,2473.192083,2989.611339
p20,1282.616826,0,1475.785597,1659.320101,1807.224264,1827.203412,2050.995942,2059.125805,2066.773334,2071.221305,2079.172313,2082.909968,2157.275162,2289.030748,2581.289109
p21,889.262633,1056.724246,1153.392379,1253.758981,1338.871455,1442.055624,1530.72956,1603.343318,1707.400867,1819.835254,1922.85155,2037.530642,2175.045287,2383.786993,2836.308102
p22,1039.32668,1124.790672,1152.595554,1177.773707,1282.542047,1331.974921,1394.899669,1456.550351,1578.187986,1681.531234,1872.048034,1977.338835,2125.838106,2365.110342,2718.646843
p23,1513.244037,1526.657833,1554.236335,1614.453069,1675.574854,1742.318702,1781.50016,1857.086851,1955.216634,2116.045001,2218.298945,2316.327357,2351.5469,2555.957467,2720.26239
p24,1056.263451,1321.676375,1386.721826,1436.510717,1505.477623,1574.646041,1666.359963,1722.865638,1812.279202,1882.967279,1949.905977,2063.061002,2223.562518,2388.425531,2820.010357
p25,801.9121366,946.4411486,1049.605818,1127.845188,1213.192864,1297.681446,1390.544221,1469.560826,1559.350645,1640.890473,1738.144296,1852.965151,2001.036795,2218.756993,2676.008096
p26,926.6778406,1121.537976,1183.500938,1294.410619,1386.669383,1457.715584,1543.872234,1616.218377,1691.65164,1770.122195,1881.676871,2004.441049,2172.206249,2378.292043,2819.088528
p27,932.8950551,1060.508212,1147.990482,1213.491472,1270.130513,1362.193412,1454.483573,1516.047122,1572.754094,1650.867438,1767.939523,1919.284037,2067.59136,2241.381981,2623.38328
p28,798.9219246,902.5860582,986.9212033,1070.96877,1146.76341,1207.477758,1291.949068,1371.058777,1449.407932,1521.377053,1620.359856,1735.648103,1887.497205,2115.533576,2548.157598
p29,822.6930136,931.075457,978.0475419,1108.636512,1183.152902,1226.854163,1269.75945,1344.940522,1430.667854,1501.536241,1572.466039,1653.274653,1822.689049,2030.368154,2664.116236
p30,1390.989677,0,0,0,0,0,0,0,0,0,0,0,0,0,1732.777892
p31,835.8663672,972.3018544,1052.702409,1127.80815,1212.907365,1301.907762,1381.937213,1452.944886,1527.579271,1602.329354,1685.152107,1792.006384,1914.361386,2096.935594,2506.205079
p32,2332.950141,0,0,0,0,0,0,2464.523325,0,0,0,0,0,0,2473.920159
p33,933.5739978,1076.226042,1164.961285,1244.136441,1330.042354,1425.465939,1524.042806,1622.228161,1685.164126,1774.544509,1868.207184,1995.254758,2123.598269,2293.269096,2652.728892
p34,1020.988979,1189.968154,1301.805715,1370.969835,1450.565244,1503.811373,1572.598574,1656.632453,1744.908522,1832.022554,1936.357794,2071.515421,2243.744263,2425.572659,2768.302079
p38,0,0,0,0,0,0,0,1434.575364,0,0,0,0,0,0,0
p47,1023.955544,0,0,0,0,1038.523592,0,1474.969306,0,0,1588.126779,0,1619.528213,0,2609.226618
p50,1485.150453,0,1488.579732,0,0,1598.743897,1767.125573,0,1836.498159,1888.907001,0,1890.188074,2028.952439,2033.04057,2105.337947
p56,1270.679751,1342.878941,1417.936794,1485.738376,0,1526.419771,1616.178778,0,1651.894112,1694.472917,1736.051615,1786.780564,1908.139992,2113.289038,2488.790409
p59,1461.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,1846.095725
p61,1077.549313,1209.685289,1317.970311,1369.320201,1433.695187,1509.563746,1580.748473,1636.565536,1682.653249,1746.629124,1839.283457,1923.444544,2008.29928,2199.953214,2521.497255
p85,1142.777904,1161.370112,0,1239.025838,0,1258.507327,1457.984004,0,1462.548088,1481.133527,1652.060223,1755.143391,1811.07943,1870.826546,1925.265129
p89,1200.871208,0,1274.405081,0,1307.079912,0,1449.591001,1538.208486,1575.689667,0,1644.957157,1648.427903,1666.87121,0,1834.093426
p90,0,0,0,0,0,0,0,1360.695178,0,0,0,0,0,0,0
p92,928.0403889,1102.222013,1209.284868,1280.48703,1352.562336,1413.258901,1470.728792,1518.434718,1563.774647,1615.946867,1673.705953,1738.680505,1838.139054,1939.522335,2330.23332
