Scenario,Dollar.Year
DUPV_supply_curves_cost_2018,2015
UPV_supply_curves_cost_2018,2015
CSP_supply_curves_cost_2018,2015
wind_supply_curves_cost_2018,2015
DUPV_supply_curves_cost,2015
UPV_supply_curves_cost,2015
wind_supply_curves_cost,2019
CSP2GPTS,2015
DUPV_supply_curves_cost_NARIS,2015
UPV_supply_curves_cost_NARIS,2015
wind_supply_curves_cost_NARIS,2015
wind-ons_supply_curve,2019
wind-ofs_supply_curve,2019
hydcost,2004
PHScostn,2004
dr_rsc_test,2020
dr_rsc_none,2020
dr_rsc_Baseline,2020
dr_rsc_ControlsOnly,2020
dr_rsc_EnvelopeOnly,2020
dr_rsc_EnvelopePlusControls,2020
dr_rsc_EnvelopePlusControlsPlusEquipment,2020
dr_rsc_EquipmentOnly,2020
dr_rsc_Baseline_shift,2020
dr_rsc_ControlsOnly_shift,2020
dr_rsc_EnvelopeOnly_shift,2020
dr_rsc_EnvelopePlusControls_shift,2020
dr_rsc_EnvelopePlusControlsPlusEquipment_shift,2020
dr_rsc_EquipmentOnly_shift,2020
dr_rsc_Baseline_shed,2020
dr_rsc_ControlsOnly_shed,2020
dr_rsc_EnvelopeOnly_shed,2020
dr_rsc_EnvelopePlusControls_shed,2020
dr_rsc_EnvelopePlusControlsPlusEquipment_shed,2020
dr_rsc_EquipmentOnly_shed,2020
BioFeedstockPrice,2004
geo_fom_ATB_2022,2015
geo_fom_ATB_2020,2015
geo_fom_BAU,2015
geo_fom_TI,2015
geo_rsc_ATB_2022,2015
geo_rsc_ATB_2020,2015
geo_rsc_BAU,2015
geo_rsc_TI,2015
spur,2019
