j,var,bioclass1,bioclass2,bioclass3,bioclass4,bioclass5
p1,cap,2448.106102,10199.73575,3490.8069,1926.1988,1991.3194
p1,cost,2.283871296,3.204851268,5.189653888,7.753504571,13.15416583
p2,cap,4293.419709,21338.34516,15649.8334,6159.0378,6445.2257
p2,cost,2.222171434,3.220524407,4.73720117,8.120980391,13.14167024
p3,cap,2067.236328,3167.018048,11046.7496,4741.0692,1023.0789
p3,cost,2.313561936,2.993968657,4.371544178,5.899821669,10.71458575
p5,cap,6433.582933,25833.62278,11523.5318,9112.6799,6066.498
p5,cost,2.232598787,3.208302002,5.099453034,7.722886941,13.22394222
p6,cap,3821.94298,13638.21949,3246.715,1814.8083,1833.659
p6,cost,2.178862805,3.173138481,4.961498622,7.743271397,13.17350936
p7,cap,1177.407439,833.3935843,844.178489,475.8011,257.055
p7,cost,2.220225244,2.76583983,3.601022186,6.208874675,10.55994631
p8,cap,1356.071193,5031.539376,6191.979287,231.2105,240.9154
p8,cost,2.220225244,2.615965788,3.349438653,4.952227516,5.756583431
p9,cap,1112.1913,23108.92162,39667.77418,8118.3022,1023.5474
p9,cost,1.526404855,2.364726059,3.216111283,4.838235549,8.52113991
p10,cap,4288.331957,13736.37139,19901.74851,546.6796,416.0241
p10,cost,2.220225244,2.441033035,3.2025659,4.791629137,5.417639026
p14,cap,693.0271796,2808.7543,5001.926,2700.7006,2572.2637
p14,cost,2.134442172,3.219682191,5.286992151,8.02393216,13.42997757
p15,cap,2673.900759,4136.8718,4775.7509,2208.4668,630.6416
p15,cost,2.215778557,3.248022141,4.517589182,6.456714314,11.68672571
p16,cap,881.3359844,2951.8994,7724.9822,770.6725,243.3454
p16,cost,2.220225244,4.038145948,4.658843654,6.374112869,11.50862354
p17,cap,1003.957529,5404.876859,3931.984,2299.7854,2519.139
p17,cost,2.145755429,3.265350245,4.850365617,7.147797616,12.95367385
p18,cap,311.3556698,16625.46447,17550.9134,3250.7139,1064.2077
p18,cost,2.265404073,4.41985525,5.05169307,7.738287765,11.81751532
p20,cap,168.3348673,446.649854,6278.3317,466.9879,289.6153
p20,cost,2.275912192,3.241564634,4.894035114,6.520319049,12.46741868
p21,cap,119.959,159.1784796,959.6391,285.8464,218.8398
p21,cost,1.526404855,2.640213959,4.051058778,4.895405714,5.679322043
p23,cap,298.1838,180.4639577,150.8056,65.8067,30.8466
p23,cost,1.526404855,2.727967902,3.844395699,6.526186543,13.32135146
p24,cap,150.8056,100.9436062,273.4606,550.7114,299.961
p24,cost,1.526404855,2.612881595,3.904916833,5.070255673,6.025049923
p25,cap,655.7626838,499.9998402,7760.7491,7551.6564,347.8811
p25,cost,2.220909694,3.491733364,4.978702043,5.721677313,12.93855401
p28,cap,1398.963461,2800.851529,3592.713479,11940.8591,106.2494
p28,cost,2.210876179,2.486862291,3.988240266,5.355601583,12.58276847
p31,cap,83.9713,3555.75427,1103.956227,13292.562,281.0468
p31,cost,1.526404855,2.249850173,3.220877952,5.30948526,10.84221276
p32,cap,151.1719297,860.3470539,656.0904,359.9436,85.685
p32,cost,2.152860793,3.262866429,4.774192093,6.293107865,10.93460932
p33,cap,568.341941,320.4830962,16429.6092,7546.5223,771.8635
p33,cost,2.256417851,3.074187639,4.516585081,5.390196183,6.485201075
p34,cap,630.908559,1537.496804,16406.5811,5995.3313,251.9139
p34,cost,2.22763898,3.810981729,4.738018197,5.751348187,11.59860016
p35,cap,124.2616219,117.0220156,2175.3633,2559.3018,3117.7446
p35,cost,2.313790032,3.207620932,4.872336818,6.097749668,6.89912939
p36,cap,130.7702747,340.7360448,5886.024229,7342.0473,3096.4488
p36,cost,2.220225244,2.470181233,4.50307665,5.512862904,6.886176739
p37,cap,574.0175796,859.1332706,33882.1316,6045.8125,5333.2424
p37,cost,2.343383543,3.451128173,4.664745205,6.036535288,6.958756009
p38,cap,505.2922618,40255.59286,98026.823,24216.5901,10866.1959
p38,cost,2.311399596,4.076803325,4.750853621,6.024669774,6.972955512
p39,cap,138.650589,72.68817165,16864.13306,10953.1776,726.8872
p39,cost,2.220225244,2.624803451,4.208456522,5.185586409,6.768210116
p40,cap,650.935686,1809.999353,146863.1816,19339.4556,9587.0528
p40,cost,2.180151984,3.75588097,4.472472419,5.486338147,6.804534987
p41,cap,13.7096,230.0112085,20066.2425,12003.4616,1526.312
p41,cost,1.526404855,2.604169498,4.416329689,5.071266892,6.227730962
p42,cap,2325.559127,6690.49455,10281.2306,9166.5813,44319.7094
p42,cost,2.190955391,3.314612663,5.676517887,10.76618828,14.6226604
p43,cap,6362.934646,31420.41692,35808.1216,40098.8663,103007.0796
p43,cost,2.187294528,3.814133994,5.671160098,10.45005767,14.51089306
p44,cap,339.3603602,28327.444,10507.7786,417.2271,911.6884
p44,cost,2.522134145,4.46404222,5.034923642,9.461511249,13.80259154
p45,cap,292.7809607,256.1888186,161477.3828,12517.2696,2673.3128
p45,cost,2.220225244,2.72517053,4.402308633,4.961082799,6.65139418
p46,cap,5292.157802,15940.06795,12990.766,11480.0763,38388.5937
p46,cost,2.14460475,3.570934708,7.492134605,10.79836823,14.49834662
p48,cap,507.4799162,5460.685228,14328.0327,12688.637,3366.4781
p48,cost,2.220225244,3.024928357,4.32550043,4.937897372,5.755765172
p50,cap,3949.489053,11101.98637,6570.2605,4697.2517,6147.0419
p50,cost,2.288583219,3.620593678,7.060642694,10.10056685,13.31554867
p51,cap,605.7531741,1451.928503,4789.6676,2635.6706,1751.4014
p51,cost,2.310648637,3.935457901,7.117763537,9.804430948,13.1753912
p52,cap,353.8907561,1131.538229,39614.9889,17893.1146,6539.2309
p52,cost,2.33806643,3.808306839,4.56470479,5.672297058,6.587343796
p53,cap,1728.514565,12713.94241,37558.2512,43919.3637,13209.3688
p53,cost,2.232086191,3.887052756,4.576748802,5.874538317,6.809569061
p54,cap,219.3536,3391.447707,4822.340048,8268.9387,1917.6795
p54,cost,1.526404855,2.267188279,3.087112504,5.009855352,6.03744656
p55,cap,2618.078614,2998.266069,2711.188871,1620.1841,570.6621
p55,cost,2.2006968,2.808214759,3.362977352,5.780378538,11.7711942
p56,cap,6406.70695,25396.2369,10229.0753,11651.4463,10561.5331
p56,cost,2.311109902,3.512062879,7.083244778,9.308234738,12.53082627
p57,cap,2076.208624,6791.025085,8825.555,6402.3832,7238.6688
p57,cost,2.23817875,3.945030379,7.65357986,10.27753022,13.43550988
p58,cap,14723.84346,46211.8315,32230.8695,46365.8672,54692.7355
p58,cost,2.217825902,3.064234066,6.646662706,9.781267303,13.72699127
p60,cap,310.701616,3343.272651,2475.1996,3906.9135,106.2673
p60,cost,2.220225244,3.024928357,4.963902871,5.509479926,6.724448631
p63,cap,4366.145335,17057.25185,10879.4908,8498.2383,11881.0821
p63,cost,2.30929983,3.798452719,6.917134523,10.21545939,13.47957013
p64,cap,548.9698209,1285.29022,7097.021809,1198.594,1307.5531
p64,cost,2.218059369,2.552978483,4.278272844,7.172425942,13.34044744
p65,cap,631.2005396,6791.968219,3028.3079,2923.5395,385.356
p65,cost,2.220225244,3.024928357,4.952890788,5.679304692,6.541172319
p66,cap,4541.035143,13943.00842,15748.903,19854.9282,24370.5277
p66,cost,2.237533792,3.631406236,7.179493327,9.750206541,13.47474231
p67,cap,331.978222,1238.606067,965.6052,846.5678,1696.563
p67,cost,2.325279653,3.856593599,7.570229634,11.31292402,14.26676934
p68,cap,358.037078,2545.821359,31649.2308,931.4339,3922.6593
