"","","upvsc1","upvsc2","upvsc3","upvsc4","upvsc5"
"p1","class1",33768.6698678622,98661.3478420017,174620.18287198,241326.798069486,357649.951937636
"p1","class2",28263.8216573422,67950.413926861,113454.048115078,145554.067247539,207455.900720816
"p1","class3",15509.3083436829,37368.2202139576,50638.4050596818,79316.694616874,169145.530470023
"p10","class4",204591.11837379,241629.671707934,468811.481981036,475799.835325089,0
"p10","class5",67253.3768025757,439509.565050187,787292.363271118,1127259.73012754,1303425.29875401
"p10","class6",79321.6791858252,408435.997135772,704766.991733995,949597.744385889,1236567.92972413
"p10","class7",41925.5483879392,265129.508802919,498935.094855852,692401.605392717,958889.48161479
"p100","class3",48147.9806960329,92191.2948063552,133086.234357008,185126.372716511,257777.063985365
"p101","class4",48025.5500887509,314177.604625289,422272.786257663,524162.261315403,610462.047308905
"p101","class5",98387.4441684008,211416.281099069,292149.305189636,360041.970878572,510370.111991095
"p101","class6",8867.6206728051,19974.2332532866,77126.2363829544,321004.022633603,359198.479622107
"p102","class5",28239.9129130198,107764.001143901,169256.810685522,266993.93094764,349306.972580264
"p103","class2",111533.149270015,205972.264062535,301872.955504207,430969.860164438,615090.432561218
"p103","class3",20995.9877587511,168101.567617086,227498.261054029,269139.407198092,311843.007465664
"p104","class2",37819.7909386767,71258.5931467308,103461.139322257,132405.957709599,165082.602651994
"p104","class3",22057.8017661546,93603.5804838957,131680.525163271,164349.650374401,214539.49925136
"p105","class2",7702.55349018134,14302.2054483317,18006.8010178748,21210.5004872618,172045.450177332
"p105","class3",82089.1960316011,138717.425216063,176114.316702572,210709.793422677,252839.475937061
"p106","class3",13315.1492860624,46209.1602263817,68101.7940078722,85990.1719270143,108021.627371041
"p107","class3",80931.6873412972,134481.234621764,165556.692189339,191715.43456167,232587.997863347
"p108","class3",47175.6532712212,81750.7111568638,110885.876178755,146271.904177924,188715.553260532
"p109","class3",71394.0743193789,159623.231253101,232860.188520313,313161.784484675,384592.07572358
"p11","class5",18433.2229320452,50552.0924329166,90802.6213943286,147760.871783241,284956.074826726
"p11","class6",24231.3295561954,55744.3616937725,136599.720247251,202657.268374142,313962.279980278
"p11","class7",24183.0064665366,25559.5016319592,26130.4984428798,0,0
"p110","class3",7452.3385757597,23847.5215609546,64430.4340519379,123572.94050454,275474.246193633
"p111","class2",49709.5459615797,130047.621179132,204845.587829547,273591.494427404,340530.554430144
"p111","class3",37143.9171245045,251058.54208584,373395.109989712,457619.154275747,510033.90940141
"p112","class2",41529.2553075117,185277.420239066,226265.080295872,271334.297909092,334503.343870732
"p112","class3",101196.706256072,198140.323243429,271881.752936893,356196.244958515,468339.385221614
"p113","class3",63623.9104033452,106857.743139661,143453.118834459,172428.426250573,208565.271026502
"p114","class3",26494.5624395292,91076.7067082663,126651.453877585,172529.883002448,231677.10488369
