region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km
p1,1,416,97.026,30845.763,5.76
p1,1,417,153.728,95258.107,13.957
p1,1,796,396.214,12074.952,5.76
p1,1,797,1298.416,12208.43,5.76
p1,1,798,1307.228,18451.539,5.76
p1,1,799,421.65,17383.069,5.76
p1,1,800,30.396,540324.569,11.062
p1,1,1176,520.756,20694.4,5.76
p1,1,1177,652.288,6177.608,5.76
p1,1,1178,600.952,34768.42,5.76
p1,1,1179,40.607,136274.433,5.76
p1,1,1556,80.064,265164.703,18.63
p1,1,1558,164.548,113795.137,5.76
p1,1,1559,74.513,158047.375,7.893
p2,1,1922,47.808,1555839.234,49.8
p2,1,1923,178.804,454580.187,35.91
p2,1,1925,9.701,6810656.417,34.967
p1,1,1937,36.674,124222.279,5.76
p1,1,1938,89.477,63606.532,5.76
p2,1,2302,42.768,1176102.125,46.209
p2,1,2303,259.326,320734.366,27.697
p2,1,2304,51.574,430574.078,18.99
p2,1,2305,90.144,265935.306,21.048
p2,1,2306,23.242,2015443.041,20.505
p1,1,2316,509.261,32791.301,5.76
p1,1,2317,1054.691,21339.184,5.76
p1,1,2318,112.74,95957.23,5.76
p1,1,2319,8.172,2347104.312,10.215
p1,1,2321,29.921,153461.973,5.76
p3,2,2335,16.827,720710.452,9.311
p2,1,2682,12.511,3227405.368,33.128
p2,1,2683,279.492,225330.449,19.902
p2,1,2684,211.716,167066.059,7.726
p2,1,2685,47.628,299688.683,5.76
p2,1,2686,115.433,224044.778,6.301
p2,1,2687,29.779,938712.631,6.527
p1,1,2695,111.095,48909.998,5.76
p1,1,2696,1578.458,12026.733,5.76
p1,1,2697,796.987,26492.784,5.76
p1,1,2698,361.811,34808.397,5.76
p1,1,2699,277.925,49076.915,5.76
p1,1,2700,131.279,64262.877,5.76
p1,1,2701,13.899,790248.83,5.76
p3,2,2715,17.583,244311.387,5.76
p3,2,2717,30.586,845596.44,25.326
p3,2,2719,6.936,6580301.591,52.773
p2,1,3062,398.789,316623.813,34.599
p2,1,3063,720.445,227248.698,21.693
p2,1,3064,185.149,194727.64,11.795
p2,1,3065,84.582,183846.877,7.825
p2,1,3067,16.186,896517.832,6.437
p2,1,3068,170.197,24814.585,5.76
p2,2,3069,139.635,167808.519,9.141
p1,1,3074,108.71,32177.37,5.76
p1,1,3075,133.336,45512.073,5.76
p1,1,3076,1044.846,31756.412,12.184
p1,1,3077,329.791,64224.747,5.76
p1,1,3078,64.798,250674.022,7.3
p1,1,3079,32.863,736698.067,18.223
