,,,wsc1,wsc2,wsc3,wsc4,wsc5
1,class1,wind-ons,12899.37449,22807.38109,22807.38109,22807.38109,43397.16754
1,class10,wind-ons,129518.6787,209234.6441,291153.9282,348575.9406,387673.0736
1,class12,wind-ofs,789088.6427,989333.3333,1104428.571,1198250,1332000
1,class13,wind-ofs,1056442.413,1253333.333,1372545.455,1486533.333,1683888.889
1,class14,wind-ofs,819750,1266221.277,1557230.769,1742000,1862400
1,class15,wind-ofs,695000,1047000,0,0,0
1,class2,wind-ons,22807.38109,22807.38109,34360.73303,48602.32077,0
1,class3,wind-ons,11777.94588,22807.38109,34360.73303,41403.70643,45390.62864
1,class4,wind-ons,4451.476472,11840.24747,30940.85757,44859.03901,49268.27535
1,class5,wind-ons,7096.105531,31102.11575,52860.04301,130251.6816,212604.1226
1,class6,wind-ons,30500.92152,65277.61038,101346.6811,140846.6745,204409.586
1,class7,wind-ons,30067.28857,74531.39609,122560.7736,188483.0748,333537.9539
1,class8,wind-ofs,627250,758666.6667,876000,1033833.333,1244250
1,class8,wind-ons,70269.71254,158517.0327,231382.7567,332977.1216,388709.8612
1,class9,wind-ons,38934.77356,131551.4273,244918.1488,338321.0929,400690.835
2,class10,wind-ons,25313.22534,45250.67715,93536.81296,229520.0898,324571.0977
2,class14,wind-ofs,628000,704000,0,0,0
2,class4,wind-ons,21567.77185,0,0,0,0
2,class5,wind-ons,15167.62065,21567.77185,47418.85924,0,0
2,class6,wind-ons,15822.8893,21654.68488,32034.72837,33543.90781,47418.85924
2,class7,wind-ons,16610.18934,21823.716,26154.59919,32220.74156,47418.85924
2,class8,wind-ons,16403.54642,23072.6843,32750.42508,48207.15819,112946.8347
2,class9,wind-ons,13544.87332,30598.00354,48058.60516,73430.83149,106546.4652
3,class1,wind-ons,22107.40018,22107.40018,22107.40018,23035.00238,0
3,class10,wind-ons,29206.69626,83844.78311,116169.7566,152038.4213,205177.2615
3,class15,wind-ofs,626000,0,0,0,0
3,class3,wind-ons,22107.40018,23035.00238,0,0,0
3,class4,wind-ons,6058.82872,19828.41599,23035.00238,41743.24979,0
3,class5,wind-ons,8263.039486,9313.561511,21409.96863,27895.34768,31528.99281
3,class6,wind-ons,6058.82872,7477.106376,10096.16375,20973.44078,40585.52007
3,class7,wind-ons,8401.653115,18935.90571,26221.42903,40863.27691,72769.20901
3,class8,wind-ons,7276.420707,16567.74425,20857.74823,30868.24329,60758.39638
3,class9,wind-ons,16470.82513,32308.55477,50410.25822,90314.75458,169684.0023
4,class1,wind-ons,11761.30152,16618.70849,21073.81821,22862.98233,36519.20121
4,class10,wind-ons,30286.82361,66616.39948,131681.9145,185675.266,225814.5295
4,class2,wind-ons,7864.346657,16618.70849,19867.25773,0,0
4,class3,wind-ons,7864.346657,21073.81821,22862.98233,0,0
4,class4,wind-ons,5668.040476,16622.42323,19867.25773,22862.98233,36519.20121
4,class5,wind-ons,4020.81084,7864.346657,16554.83222,21534.67924,36829.08857
4,class6,wind-ons,9875.963541,17031.30116,23146.27097,47410.01119,78947.51231
4,class7,wind-ons,11585.10352,24214.65679,37685.91642,57127.34374,90680.6598
4,class8,wind-ons,22858.31496,54609.38254,113305.4128,169915.0238,187617.1272
4,class9,wind-ons,25039.69343,67519.66622,122354.7222,161909.7071,177826.6519
5,class1,wind-ons,24128.32493,27433.8861,51345.57037,70157.08546,91635.25713
5,class10,wind-ons,30037.52081,83349.59819,134264.5364,193022.4346,268521.0371
5,class2,wind-ons,14164.97147,28345.15727,34722.52451,51322.17005,89471.33718
5,class3,wind-ons,12388.18418,24220.22139,49688.53385,67885.71703,99529.39411
5,class4,wind-ons,13309.48961,25254.10328,29498.87151,50433.51695,79295.39169
5,class5,wind-ons,21754.81948,42044.12961,67862.70292,91635.25713,104590.3878
5,class6,wind-ons,13685.92352,21212.60396,48918.51138,72471.03543,130732.6445
5,class7,wind-ons,19672.90633,52251.85822,89475.81855,155227.6575,268416.1054
5,class8,wind-ons,44443.23407,104924.5721,167820.4854,229139.9294,324681.7097
5,class9,wind-ons,55968.27287,123027.023,179628.4114,234255.2372,298656.8524
6,class1,wind-ons,75928.1882,75928.1882,0,0,0
6,class10,wind-ons,247152.8084,287636.7302,351259.805,397768.6885,453118.5088
6,class4,wind-ons,59023.47127,75657.1421,75928.1882,0,0
6,class5,wind-ons,20023.17027,35839.85833,55266.79587,75928.1882,75928.1882
6,class6,wind-ons,20267.77169,31953.0476,41660.38262,56061.49698,75928.1882
6,class7,wind-ons,18778.3125,30458.41207,42192.19379,56213.40423,89271.30192
6,class8,wind-ons,52061.60209,113522.2048,189761.5808,277270.8641,384552.1482
6,class9,wind-ons,176566.0983,250058.2881,292063.7878,356820.6696,432607.6781
7,class10,wind-ons,33389.13306,88408.6359,145943.612,201039.3895,235382.3281
7,class2,wind-ons,6525.256457,0,0,0,0
7,class4,wind-ons,6525.256457,0,0,0,0
7,class5,wind-ons,6525.256457,6525.256457,0,0,0
7,class6,wind-ons,3379.603432,14844.12165,25410.36263,30085.12453,43128.94263
7,class7,wind-ons,4937.42566,14436.16955,28696.67873,44121.64747,85998.25363
7,class8,wind-ons,19395.68364,46350.93989,97485.27755,135062.3661,178007.0481
7,class9,wind-ons,56593.40783,102350.4463,133714.3178,163712.1435,221809.2725
