,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5
p1,1414.17678,398967.625,398967.625,398967.625,2792.773375
p2,1595.8705,1602.499048,1996.803358,398967.625,2792.773375
p3,1396.386688,398967.625,398967.625,398967.625,2792.773375
p4,1396.386688,1487.575452,1615.371103,398967.625,2792.773375
p5,1595.8705,398967.625,398967.625,398967.625,2792.773375
p6,1570.049025,1771.219542,1933.738765,2741.282015,2792.773375
p7,1823.994032,2030.145735,398967.625,398967.625,2792.773375
p8,3135.549118,398967.625,398967.625,398967.625,2792.773375
p9,1396.386688,1511.599385,1724.819701,2940.729593,2792.773375
p10,1396.386688,1771.219542,1907.030997,3281.598405,2792.773375
p11,1396.386688,1846.602716,2610.830359,398967.625,2792.773375
p12,1722.935023,2640.626001,2842.514728,3174.634914,2792.773375
p13,2714.121466,2821.499034,3295.204784,3561.095834,2792.773375
p14,1396.386688,398967.625,398967.625,398967.625,2792.773375
p16,1638.970525,398967.625,398967.625,398967.625,2792.773375
p17,2933.124731,3049.166626,3561.095834,398967.625,2792.773375
p18,1727.778218,2933.124731,398967.625,398967.625,2792.773375
p20,3169.799434,398967.625,398967.625,398967.625,2792.773375
p22,1720.820335,2235.507599,3673.365662,398967.625,2792.773375
p24,2235.507599,2610.830359,2821.499034,398967.625,2792.773375
p25,1422.463003,1693.286634,1903.385201,3073.216324,2792.773375
p26,3561.095834,398967.625,398967.625,398967.625,2792.773375
p27,1771.219542,2821.499034,2933.124731,398967.625,2792.773375
p28,1420.422183,1597.217922,2012.006412,3197.203583,2792.773375
p30,3425.571489,398967.625,398967.625,398967.625,2792.773375
p31,1571.710184,1638.970525,1914.139771,2150.431062,2792.773375
p33,3295.204784,398967.625,398967.625,398967.625,2792.773375
p34,1771.219542,1771.219542,2610.830359,2785.567895,2792.773375
p38,1396.386688,398967.625,398967.625,398967.625,2792.773375
p43,2610.830359,398967.625,398967.625,398967.625,2792.773375
p44,1515.200208,1515.200208,398967.625,398967.625,2792.773375
p46,2610.830359,398967.625,398967.625,398967.625,2792.773375
p50,2073.794747,2150.431062,2150.431062,2150.431062,2792.773375
p56,1821.294626,398967.625,398967.625,398967.625,2792.773375
p60,2305.98592,398967.625,398967.625,398967.625,2792.773375
p61,1435.297746,398967.625,398967.625,398967.625,2792.773375
p74,2610.830359,2610.830359,398967.625,398967.625,2792.773375
p80,2139.44742,398967.625,398967.625,398967.625,2792.773375
p92,1517.274551,2318.761647,2682.646784,3053.002477,2792.773375
p94,1914.139771,2279.299858,2279.299858,2279.299858,2792.773375
p109,1771.219542,398967.625,398967.625,398967.625,2792.773375
p111,1396.386688,398967.625,398967.625,398967.625,2792.773375
p116,1595.8705,398967.625,398967.625,398967.625,2792.773375
p122,1785.017673,2147.685151,3561.095834,398967.625,2792.773375
p126,1515.200208,1771.219542,398967.625,398967.625,2792.773375
p127,1515.200208,1643.209875,1771.219542,2438.670087,2792.773375
p129,3399.091928,398967.625,398967.625,398967.625,2792.773375
p130,3833.538687,398967.625,398967.625,398967.625,2792.773375
p134,1515.200208,398967.625,398967.625,398967.625,2792.773375
p15,398967.625,398967.625,398967.625,398967.625,2792.773375
p19,398967.625,398967.625,398967.625,398967.625,2792.773375
p21,398967.625,398967.625,398967.625,398967.625,2792.773375
p23,398967.625,398967.625,398967.625,398967.625,2792.773375
p29,398967.625,398967.625,398967.625,398967.625,2792.773375
p32,398967.625,398967.625,398967.625,398967.625,2792.773375
p35,398967.625,398967.625,398967.625,398967.625,2792.773375
p36,398967.625,398967.625,398967.625,398967.625,2792.773375
p37,398967.625,398967.625,398967.625,398967.625,2792.773375
p39,398967.625,398967.625,398967.625,398967.625,2792.773375
p40,398967.625,398967.625,398967.625,398967.625,2792.773375
p41,398967.625,398967.625,398967.625,398967.625,2792.773375
p42,398967.625,398967.625,398967.625,398967.625,2792.773375
p45,398967.625,398967.625,398967.625,398967.625,2792.773375
p47,398967.625,398967.625,398967.625,398967.625,2792.773375
p48,398967.625,398967.625,398967.625,398967.625,2792.773375
p49,398967.625,398967.625,398967.625,398967.625,2792.773375
p51,398967.625,398967.625,398967.625,398967.625,2792.773375
p52,398967.625,398967.625,398967.625,398967.625,2792.773375
p53,398967.625,398967.625,398967.625,398967.625,2792.773375
p54,398967.625,398967.625,398967.625,398967.625,2792.773375
p55,398967.625,398967.625,398967.625,398967.625,2792.773375
p57,398967.625,398967.625,398967.625,398967.625,2792.773375
p58,398967.625,398967.625,398967.625,398967.625,2792.773375
p59,398967.625,398967.625,398967.625,398967.625,2792.773375
p62,398967.625,398967.625,398967.625,398967.625,2792.773375
p63,398967.625,398967.625,398967.625,398967.625,2792.773375
p64,398967.625,398967.625,398967.625,398967.625,2792.773375
p65,398967.625,398967.625,398967.625,398967.625,2792.773375
p66,398967.625,398967.625,398967.625,398967.625,2792.773375
p67,398967.625,398967.625,398967.625,398967.625,2792.773375
p68,398967.625,398967.625,398967.625,398967.625,2792.773375
p69,398967.625,398967.625,398967.625,398967.625,2792.773375
