region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_MW,capital_adder_per_MW,dist_km,reinforcement_dist_km
p01001,3,72086,145.46,119295.077,109155.802,10139.275,9.277,201.693
p01001,3,72087,139.676,108137.858,77451.601,30686.257,11.814,181.364
p01001,3,72088,36.328,334627.333,158142.886,176484.447,5.265,167.427
p01001,3,72466,143.467,73275.845,44187.874,29087.971,3.88,215.801
p01001,4,71325,159.602,94863.965,96798.973,-1935.008,16.326,144.287
p01001,4,71326,151.996,32858.99,33268.794,-409.804,3.613,144.287
p01001,4,71327,102.011,116089.713,102892.429,13197.284,9.473,144.287
p01001,4,71328,98.366,146078.461,95584.366,50494.095,9.91,135.716
p01001,4,71706,167.135,75744.396,87847.535,-12103.139,13.784,144.287
p01001,4,71707,102.157,162434.909,148436.828,13998.081,17.54,144.287
p01001,4,71708,51.492,284543.333,167977.99,116565.343,9.141,168.635
p01003,3,77019,3.912,3559056.556,3566266.441,-7209.885,17.689,91.353
p01003,4,77020,6.926,2540468.849,2550530.681,-10061.832,26.293,102.564
p01003,4,78161,152.896,135148.428,134559.819,588.609,13.111,92.669
p01003,4,78541,57.591,227109.908,214975.866,12134.042,17.408,76.996
p01003,4,78918,0.607,28519259.92,28201448.704,317811.216,18.478,30.862
p01003,4,78922,67.797,214720.706,179049.314,35671.392,18.163,121.748
p01005,3,72858,247.18,159629.051,148516.192,11112.859,19.087,277.038
p01005,3,73238,224.07,144433.018,138151.145,6281.873,11.693,281.53
p01005,3,73239,183.854,135026.61,114793.837,20232.773,11.628,281.53
p01005,3,73618,226.16,61733.766,57027.113,4706.653,4.227,291.981
p01005,3,73619,128.231,226814.88,108955.959,117858.921,6.602,281.53
p01005,3,73999,112.825,217477.978,149206.562,68271.416,8.489,294.39
p01005,4,73616,166.406,151303.909,148745.073,2558.835,13.768,252.086
p01005,4,73617,59.268,185304.314,190959.015,-5654.701,12.388,291.981
p01005,4,73996,128.328,132181.742,128128.375,4053.367,19.249,284.519
p01005,4,73997,96.349,132312.328,125421.644,6890.684,13.686,279.708
p01005,4,73998,201.374,86111.838,88555.14,-2443.302,9.06,291.981
p01005,4,74376,140.891,55652.617,40025.781,15626.836,2.443,275.593
p01005,4,74377,145.654,88986.791,84904.597,4082.195,13.037,284.519
p01005,4,74378,142.811,129872.826,131806.721,-1933.896,24.38,284.519
p01005,4,74379,192.359,115501.788,117532.3,-2030.511,12.421,325.899
p01005,4,74756,115.425,79592.449,62190.005,17402.444,6.304,284.519
p01005,4,74757,134.136,101953.539,91805.979,10147.56,12.339,284.519
