,,,wsc1,wsc2,wsc3,wsc4,wsc5
1,class1,wind-ons,0.12,0.12,0.24,0.72,0.24
1,class10,wind-ons,192.48,866.16,1547.4,1242.9,620.04
1,class12,wind-ofs,1299.6,2559.6,1990.8,2275.2,1422
1,class13,wind-ofs,1969.2,2559.6,3128.4,4266,2559.6
1,class14,wind-ofs,892.8,2538,3697.2,2844,1422
1,class15,wind-ofs,187.2,223.2,0,0,0
1,class2,wind-ons,0.12,3.72,0.72,0.12,0
1,class3,wind-ons,0.36,2.28,2.88,0.72,0.72
1,class4,wind-ons,1.2,2.16,1.08,5.4,1.56
1,class5,wind-ons,15.54,13.62,22.56,2.28,3.12
1,class6,wind-ons,52.38,61.26,44.58,42.54,25.56
1,class7,wind-ons,84.42,157.08,248.4,99,292.74
1,class8,wind-ofs,892.8,669.6,1116,1339.2,1785.6
1,class8,wind-ons,302.1,448.92,451.98,1062.18,706.8
1,class9,wind-ons,3.54,443.34,653.64,2059.86,1050.54
2,class10,wind-ons,16.02,36.96,43.92,634.5,358.08
2,class14,wind-ofs,187.2,187.2,0,0,0
2,class4,wind-ons,0.84,0,0,0,0
2,class5,wind-ons,0.6,1.68,0.6,0,0
2,class6,wind-ons,3.48,4.92,4.56,4.02,10.2
2,class7,wind-ons,10.8,7.2,1.8,22.8,10.92
2,class8,wind-ons,18.6,43.14,27.9,51.24,1.8
2,class9,wind-ons,16.74,123.54,85.98,144.24,27.96
3,class1,wind-ons,0.24,0.48,0.72,0.12,0
3,class10,wind-ons,341.46,387,189.6,1156.08,741.24
3,class15,wind-ofs,187.2,0,0,0,0
3,class3,wind-ons,2.04,0.24,0,0,0
3,class4,wind-ons,0.12,0.06,0.9,0.3,0
3,class5,wind-ons,0.24,0.96,9.9,0.12,1.44
3,class6,wind-ons,1.92,4.8,6.36,38.88,18.66
3,class7,wind-ons,28.5,67.92,5.94,24.72,22.5
3,class8,wind-ons,33.66,73.74,46.86,50.88,89.82
3,class9,wind-ons,173.34,147.54,178.98,335.88,113.04
4,class1,wind-ons,0.48,2.4,4.92,1.8,0.24
4,class10,wind-ons,15.66,21.12,165.36,559.62,883.26
4,class2,wind-ons,0.12,10.08,2.76,0,0
4,class3,wind-ons,0.12,2.64,1.56,0,0
4,class4,wind-ons,0.84,27.3,4.56,3.48,1.56
4,class5,wind-ons,1.8,0.12,71.88,33.96,24.24
4,class6,wind-ons,13.8,221.34,267,477,248.4
4,class7,wind-ons,306.96,448.44,96.3,254.22,457.62
4,class8,wind-ons,108.06,173.7,197.76,415.92,267.72
4,class9,wind-ons,40.8,13.32,261.72,247.02,292.62
5,class1,wind-ons,1.2,9,14.28,4.2,5.4
5,class10,wind-ons,20.46,622.98,1929.78,4870.5,4775.58
5,class2,wind-ons,1.8,12.36,0.48,5.16,6.06
5,class3,wind-ons,2.4,5.4,3.48,5.76,16.56
5,class4,wind-ons,13.14,12.84,22.08,12.6,20.46
5,class5,wind-ons,127.32,81.96,40.92,26.46,32.64
5,class6,wind-ons,152.7,221.1,551.1,316.86,760.68
5,class7,wind-ons,513.36,821.76,1004.88,903.84,1470.42
5,class8,wind-ons,472.68,1135.02,1195.26,1841.52,1503.66
5,class9,wind-ons,154.86,719.4,1506.72,2244.66,863.4
6,class1,wind-ons,0.72,0.84,0,0,0
6,class10,wind-ons,721.44,3281.76,1895.64,1526.22,1514.58
6,class4,wind-ons,0.12,0.24,0.36,0,0
6,class5,wind-ons,0.96,3,0.72,0.36,0.96
6,class6,wind-ons,8.4,8.46,7.08,11.04,9.24
6,class7,wind-ons,14.64,15.9,24.96,39.12,52.2
6,class8,wind-ons,122.7,61.08,84.78,327.78,143.58
6,class9,wind-ons,17.34,503.58,563.52,368.4,305.58
7,class10,wind-ons,49.32,173.7,262.38,1039.98,731.52
7,class2,wind-ons,0.24,0,0,0,0
7,class4,wind-ons,0.24,0,0,0,0
7,class5,wind-ons,1.2,5.4,0,0,0
7,class6,wind-ons,4.2,129.72,11.4,33,0.72
7,class7,wind-ons,37.44,134.22,424.2,293.58,476.04
7,class8,wind-ons,284.52,1825.5,4072.92,3222.54,2731.44
7,class9,wind-ons,923.58,1472.04,754.86,1023.12,1329.96
8,class1,wind-ons,0.36,6.6,3.72,3.48,0.48
8,class10,wind-ons,1255.98,3575.7,2912.88,2425.32,1404.18
8,class2,wind-ons,0.48,3.6,1.32,3.12,0.6
8,class3,wind-ons,2.34,3.12,3.24,0.12,0.12
8,class4,wind-ons,0.96,4.8,3.84,4.14,0.96
8,class5,wind-ons,9.3,30.18,26.28,1.8,16.32
8,class6,wind-ons,30.78,86.94,43.5,30.42,42.9
8,class7,wind-ons,616.2,1044.54,4028.58,4650.48,1201.62
8,class8,wind-ons,1959.24,5636.7,12284.7,9633.48,1765.02
8,class9,wind-ons,381.6,951.3,1648.92,3288.48,1003.92
9,class10,wind-ons,3.42,4.68,407.52,1755.48,465.96
9,class2,wind-ons,1.32,0,0,0,0
9,class4,wind-ons,0.36,0.72,0,0,0
9,class5,wind-ons,1.68,4.8,22.8,7.68,38.4
9,class6,wind-ons,147.84,324.96,220.2,628.26,343.02
9,class7,wind-ons,108,379.86,697.44,741.24,2128.68
9,class8,wind-ons,99.6,1288.68,2712.84,2332.68,2007.72
9,class9,wind-ons,6.24,381.36,872.88,3268.92,1134.78
10,class1,wind-ons,0.12,2.04,3.6,6.36,3.24
10,class10,wind-ons,3.96,136.02,648.12,1064.64,675.6
10,class11,wind-ofs,223.2,223.2,284.4,0,0
10,class12,wind-ofs,1846.8,730.8,792,853.2,1137.6
10,class13,wind-ofs,3067.2,2559.6,1706.4,1990.8,853.2
10,class14,wind-ofs,284.4,284.4,568.8,284.4,284.4
10,class2,wind-ons,1.2,0.24,0.96,0.72,4.32
10,class3,wind-ons,0.72,1.8,4.92,0.36,8.88
10,class4,wind-ons,5.04,1.44,3.72,4.2,6
10,class5,wind-ons,10.86,13.98,18.6,13.2,28.56
10,class6,wind-ons,72.54,49.8,35.28,50.46,11.04
10,class7,wind-ons,109.44,6.96,143.7,214.68,229.38
10,class8,wind-ofs,223.2,223.2,223.2,446.4,223.2
10,class8,wind-ons,135.48,93.72,222.18,460.08,678.48
10,class9,wind-ons,2.1,171.54,1149,292.26,172.2
11,class1,wind-ons,0.24,0,0,0,0
11,class10,wind-ons,2.16,2.94,79.68,255.12,641.34
11,class3,wind-ons,0.84,0,0,0,0
11,class4,wind-ons,4.2,0,0,0,0
11,class5,wind-ons,0.24,0.24,9.12,0,0
11,class6,wind-ons,0.84,1.92,2.52,9.72,9.3
11,class7,wind-ons,1.2,6.48,19.92,25.44,61.02
11,class8,wind-ons,36.36,71.1,78.66,104.46,59.76
11,class9,wind-ons,43.08,47.28,20.28,149.28,84.72
12,class1,wind-ons,0.24,0.84,0.6,0.72,0.72
12,class10,wind-ons,273.48,723.48,419.16,787.08,417.3
12,class2,wind-ons,0.6,0.36,0,0,0
12,class3,wind-ons,0.24,0.96,1.56,0.12,1.92
12,class4,wind-ons,1.92,0.72,3.12,0,0
12,class5,wind-ons,7.92,4.98,0.36,8.76,13.68
12,class6,wind-ons,12.06,29.94,23.76,14.82,3.42
12,class7,wind-ons,11.04,30.6,37.5,68.7,77.58
12,class8,wind-ons,181.26,198.6,75.9,197.4,86.82
12,class9,wind-ons,222.42,474.3,574.92,350.58,335.34
13,class1,wind-ons,2.22,0.72,0.48,3.6,1.32
13,class10,wind-ons,2738.46,2464.74,2282.22,2398.44,597.66
