,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1424.92,1639.74,1747.25,1787.48,1847.51,1945.09,2005.69,2104.47,2164.17,2201.36,2208.12,2252.91,2371.32,2425.86,2512.72
p2,1441.4,1572.03,1616.4,1647.4,1683.61,1756.76,1861.9,1919.8,1980.93,2017.19,2090.31,2160.01,2213.49,2286.99,2432.76
p3,1496.54,1696.29,1790.6,1881.27,1963.12,2017.74,2058.17,2122.37,2172.88,2222.7,2270.44,2334.82,2398.76,2452.85,2514.9
p4,1679,1750.28,1810.66,1886.11,1937.81,1999.87,2056.18,2121.06,2178.14,2206.04,2243.27,2276.7,2349.37,2383.51,2466.21
p5,1452.95,1625.19,1706.76,1795.17,1861.78,1923.47,2001.05,2065.78,2119.4,2174.22,2233.04,2302.55,2367.82,2429.33,2515.98
p6,1294.02,1477.95,1580.96,1743.64,1843.1,1903.35,1954.29,2021.01,2087.73,2135.06,2211.71,2302.56,2349.41,2421.26,2485.78
p7,1371.68,1550.45,1644.24,1724.59,1806.71,1871.43,1929.24,1998.15,2068.92,2135.77,2207.3,2283.54,2351.3,2415.69,2522.29
p8,1145.74,1375.45,1566.6,1669.54,1749.19,1803.14,1871.78,1963.5,2030.59,2089.46,2156.81,2240.19,2326.58,2412.73,2503.92
p9,1355.54,1531.03,1599.31,1659.03,1751.85,1820.66,1891.93,1961.23,2045.66,2107.68,2174.42,2254.55,2352.76,2417.56,2503.27
p10,1359.33,1484.03,1593.18,1665.46,1714.91,1766.6,1814.41,1867.48,1929.34,1998.99,2093.82,2168.53,2237.63,2343.13,2472.36
p11,1341.15,1522.07,1599.31,1642.5,1698.99,1793.19,1895.99,1933.74,1984.41,2075.34,2142.07,2209.02,2311.49,2395.72,2504
p12,1314.27,1458.93,1566.52,1648.88,1714.97,1784.76,1851.99,1916.66,1985.55,2059.27,2130.27,2213.06,2308.01,2396.2,2507.05
p13,1448.68,1629.58,1695.47,1739.42,1794.99,1878.57,1939.28,1983.11,2062.49,2121.33,2176.72,2247.18,2311.26,2401.43,2516.72
p14,1477.74,1639.52,1693.51,1802.59,1855.75,1903.64,1960.55,2010.59,2064.09,2134.34,2196.6,2250.8,2308.63,2406.69,2520.84
p15,1356.49,1501.54,1593,1679.23,1750.41,1810.55,1863.84,1919.91,1975.52,2030.67,2103.3,2183.18,2277.55,2387.71,2507.07
p16,1241.99,1416.5,1528.95,1612.29,1689.98,1765,1832.64,1901.96,1975.27,2034.63,2110.45,2200.17,2299.99,2396.32,2498.94
p17,1380.34,1535.53,1643.49,1719.48,1781.08,1840.01,1901.38,1957.15,2017.92,2075.2,2136.39,2219.22,2292.37,2376.41,2494.64
p18,1359.79,1551.79,1655,1710.49,1782.99,1851.13,1932.97,2000.48,2060.34,2120.18,2203.77,2284.77,2360.56,2423.94,2504.32
p20,1615.59,1747.13,1811.83,1861.92,1868.14,1896.14,1928.22,1977.75,2029.24,2110.05,2166.25,2216.56,2315.41,2434.49,2502.95
p21,1346.06,1503.41,1575.24,1651.85,1720.88,1784.34,1840.23,1893.31,1949.4,2007.97,2082.12,2156.68,2253.57,2363.79,2500.28
p22,1360.7,1477.63,1544.85,1591.06,1657.12,1718.62,1789.2,1843.48,1903.22,1969.27,2037.37,2142.98,2222.69,2318.47,2473.55
p23,1725.44,1869.72,0,1975.47,2055.98,0,2162.88,2223.92,0,2262.88,2279.69,2308.09,2440.19,2493.73,2517.63
p24,1329.5,1459.73,1595.1,1689.51,1793.94,1835.99,1915.51,2006.15,2083.33,2188.8,2234.99,2302.84,2362.19,2430.26,2510.7
p25,1298.37,1457.21,1548.22,1623.86,1688.35,1750.24,1813.2,1876.46,1944.48,2016.92,2082.93,2164.99,2263.82,2378,2514.09
p26,1263.58,1427.94,1521.63,1615.74,1697.43,1756.84,1850.95,1917.24,1962.74,2032.01,2126.72,2207.95,2276.48,2371.46,2488.48
p27,1298.91,1420.26,1480.46,1549.78,1613.37,1672.98,1727.17,1788.27,1856.32,1938.16,2039.82,2114.95,2216.07,2329.59,2482.11
p28,1269.17,1392.04,1503.05,1597.72,1680.43,1776.31,1853.51,1915.99,1976.98,2052.97,2124.28,2217.09,2317.12,2411.45,2524.62
p29,1318.67,1394.76,1512.6,1578.21,1658.67,1755.53,1823.86,1871.37,1963.54,2015.74,2051.96,2098.86,2191,2359.56,2502.47
p30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p31,1387.19,1556.41,1649.97,1710.85,1770.15,1844.11,1922.66,1978.6,2062.25,2139.72,2200.09,2250.31,2323.72,2413.98,2518.96
p32,2374.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2461.88
