"","","cspsc1","cspsc2","cspsc3","cspsc4","cspsc5"
4,"cspclass1",11496.9064150833,44222.0374674336,168078.219838121,177453.846296716,191118.045621463
4,"cspclass2",7883.77043348643,14810.7584300189,18908.0003318001,32879.2363765159,161525.387250992
4,"cspclass3",8077.72646005544,14810.7584300189,0,0,0
5,"cspclass1",11615.394575284,21421.9259866641,72121.7970384142,126750.987711724,335771.969179142
5,"cspclass2",29349.7256846766,95448.4530868962,166905.66960186,211594.270599536,285853.020956625
5,"cspclass3",13647.4832682112,33872.6663140586,46665.2512295893,68858.2072085812,130370.869156167
6,"cspclass1",30569.1515974689,81913.6782235101,243284.060141133,255749.32830947,260067.016310892
7,"cspclass1",28364.5312434223,63766.5800154307,116128.696800293,158587.446381324,210708.056361422
7,"cspclass2",18015.1420320081,39856.8906468934,65254.258623128,96108.0765998478,125625.654463643
7,"cspclass3",15235.9786703833,23576.5883143771,0,0,0
8,"cspclass1",31950.1716025341,99708.9750210751,151837.571983249,193899.031260035,259206.027267077
8,"cspclass2",50664.9931392368,117595.537634474,147173.35374766,173821.373566544,211622.051703654
9,"cspclass1",18530.2921405788,142820.080290603,250903.541466158,320182.475782167,350132.877359612
9,"cspclass2",25417.6524204379,84618.7803368855,205289.506229438,273432.558707645,332480.44938445
9,"cspclass3",6803.72321439966,26023.4066734953,63444.8676775031,84498.2884544402,89391.6851099454
15,"cspclass2",55997.402568493,67082.8700025344,104954.705389475,125917.188894454,132249.880100802
15,"cspclass3",125802.00981656,302386.720636402,374685.334012733,383764.028344369,398175.109958004
15,"cspclass4",89629.287870301,205936.209795131,273694.330786937,307217.784880472,367696.073279596
15,"cspclass5",21511.0480276493,128817.315368859,245831.862041181,286734.756287204,326119.274384214
15,"cspclass6",20753.4324927417,40146.4034753854,186566.103672086,269646.069362804,286032.137724358
16,"cspclass1",87313.4199059435,319057.476442832,383686.923509152,408371.115976162,433935.038750478
16,"cspclass2",23925.9581505454,80875.7056531839,120378.153857152,219157.282468077,386272.822551257
16,"cspclass3",13865.1096448994,34282.2282803516,80387.2743933406,144506.535023575,246213.900624219
17,"cspclass1",285425.927836557,293254.31900707,296212.043040705,341070.522370927,0
17,"cspclass2",39893.4658779751,122897.084609149,211941.389202234,268975.454262119,327072.290736964
17,"cspclass3",35059.2498574198,179000.312426731,261734.629612127,350258.796346003,411655.350085808
17,"cspclass4",50683.6250735226,242537.88017652,368053.311919818,422711.218380726,472644.062845525
17,"cspclass5",23997.663038323,0,0,0,0
18,"cspclass1",284482.716731671,291100.669817265,0,0,0
18,"cspclass2",31878.0199723347,216634.58616175,235425.405700432,285456.140091485,496913.694885011
18,"cspclass3",76761.8965839079,133026.059274457,229979.489859672,338684.664088489,428225.248350997
18,"cspclass4",75142.0818450757,213929.236898984,332067.955225818,410034.682045579,467979.916727856
18,"cspclass5",62712.1664602275,182408.967864007,378269.153568633,451648.786821726,493348.553609014
18,"cspclass6",45877.5034667859,153302.08286467,233134.685608095,370796.539967484,454718.690638111
18,"cspclass7",30245.4981949109,32866.7027740702,39699.7243992576,0,0
19,"cspclass1",50098.9280869573,161960.813594319,255873.362134791,273003.46743113,297711.082199739
