,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,1648.700554,1839.549694,1987.555411,2115.264424,2345.62194,2393.328535,2490.948592,2566.269221,2663.828864,2856.275274,2915.78056,3171.359297,3403.752419,3517.173709,3811.015757
p2,1637.527512,2033.085919,2211.56347,2335.261519,2435.951815,2542.020511,2686.915105,2824.546031,2942.140827,3032.323154,3155.712102,3335.035709,3486.469522,3686.904928,4032.226556
p3,1587.923768,0,2120.730537,2204.120629,2500.861931,2650.449134,2764.233682,2908.811747,2971.487128,3101.789199,3280.861948,3325.592202,3573.763961,3984.287233,4727.672969
p4,1315.504816,1688.003103,1836.467974,2001.323638,2131.508408,2301.679532,2450.047875,2570.586877,2667.182181,2774.939183,2883.687602,3136.824148,3368.162224,3733.824961,4355.679784
p5,1597.464143,1894.651085,2078.039086,2230.303324,2354.499891,2473.71318,2616.810792,2727.72377,2845.995018,2983.954129,3147.034426,3339.533888,3537.683326,3729.717513,4219.764327
p6,1562.217496,1889.877771,2131.360496,2320.750172,2382.331728,2532.928375,2677.448011,2778.565551,2894.100567,2997.434336,3222.339333,3345.886313,3548.017706,3785.451245,4207.065533
p7,1568.332992,1889.88454,2146.450507,2311.947491,2482.167111,2636.570692,2742.069734,2841.104595,2941.798089,3090.42592,3232.036117,3415.935945,3589.15061,3805.961961,4295.683524
p8,1508.642218,1772.125877,1881.162678,2056.962916,2175.067796,2277.37443,2392.682792,2560.18459,2722.451714,2864.709803,3070.099219,3260.96283,3453.395838,3660.67555,4127.85309
p9,1331.447379,1640.868337,1883.523715,2011.756823,2221.135797,2435.177135,2521.113032,2586.992531,2754.17501,2996.052502,3160.680822,3319.123706,3534.014241,3724.745002,4265.323258
p10,1437.314541,1754.543334,1967.806868,2137.495183,2301.195079,2504.585454,2668.387821,2817.743154,2973.315851,3117.70509,3283.438685,3454.574859,3647.126999,3866.235759,4313.62328
p11,1957.114043,2233.603885,2400.950933,0,2815.601357,0,3055.658884,0,3128.396962,3189.162858,3213.248724,3286.148069,3448.575845,4405.735012,4560.882222
p12,1490.1584,1772.665943,1977.804714,2152.475496,2323.860773,2469.702081,2618.208213,2762.712165,2894.322741,3022.33194,3164.755717,3312.042771,3489.299172,3734.307258,4193.106427
p13,2297.015016,2518.082511,2643.361951,2788.845584,2994.257469,3081.40274,3134.916801,3218.476005,3315.155627,3416.200814,3499.56026,3614.88672,3752.146208,3947.549912,4243.527972
p14,1550.864202,1962.0526,2141.406402,2390.613674,2455.91421,2501.257504,2700.9216,2867.702481,2872.549328,2886.454827,2985.360791,3101.381061,3249.266828,3557.999586,3806.515986
p15,1625.483654,1949.778097,2169.089646,2344.797112,2450.772387,2546.20938,2650.835145,2808.575941,2921.366941,3046.411429,3196.614646,3338.527986,3504.499374,3736.74618,4370.193531
p16,1506.927191,1826.236799,2002.729436,2224.12119,2390.163137,2472.828984,2593.097321,2765.402099,2893.657548,3025.032118,3180.156408,3370.308304,3606.499929,3855.103704,4334.84111
p17,1526.155368,1838.840729,2018.089075,2158.295575,2353.92653,2490.775793,2610.142962,2715.073272,2858.550812,2979.714718,3127.235951,3261.65184,3404.981248,3574.965197,3981.660264
p18,1688.62606,1882.326428,2054.679764,2198.983071,2383.508237,2540.920695,2638.667819,2755.729952,2864.154112,3041.414298,3196.733256,3367.112668,3554.302967,3832.040735,4223.954836
p20,2580.720717,2747.634104,2790.923029,0,2805.307584,3045.247071,0,0,3292.248686,3591.785113,3670.783461,0,3998.263592,4033.960004,4892.07139
p21,1761.105282,2123.462474,2313.708319,2450.542627,2558.259297,2687.476269,2818.313157,2965.269882,3088.327616,3224.865232,3393.400571,3558.537289,3740.510356,3992.12174,4599.910045
p22,1634.143336,1691.041679,1801.385653,1807.181908,1943.99721,2062.550829,2118.665879,2318.626287,2525.174276,2727.607732,3007.387697,3150.340634,3371.829036,3625.213416,3855.637215
p23,2309.624371,2590.284754,2651.795687,2726.40394,2881.918611,2904.767431,2963.451853,3026.99341,3041.310115,3077.842869,3094.380714,3231.613095,3392.057566,3810.418559,4609.5087
p24,1904.776095,2113.056029,2212.012337,2324.417645,2553.890717,2684.302127,2852.713379,2957.649246,3074.497758,3233.259496,3368.686672,3488.251837,3686.997857,3909.809795,4470.893034
p25,1375.494198,1676.921826,1853.443309,2001.496068,2130.051816,2286.48613,2439.652608,2583.619892,2736.85203,2883.41614,3034.082326,3190.081858,3366.29236,3631.005976,4164.738464
p26,1598.136689,1836.235221,1957.619214,2093.527879,2207.970702,2327.589902,2438.26408,2547.059035,2665.271372,2817.788046,2975.925371,3122.079469,3319.205449,3594.5894,4054.631973
p27,1624.420861,1858.105862,1992.250089,2133.621164,2319.055867,2455.136799,2577.276901,2741.893548,2876.252147,3009.405321,3129.082358,3298.665205,3514.005927,3747.53843,4245.000465
p28,1549.425184,1806.806217,1979.864509,2097.579858,2237.042694,2335.286244,2454.543838,2613.602237,2756.423481,2899.630326,3074.049365,3263.571778,3476.988329,3792.559891,4357.094674
p29,1470.697275,1655.286242,1850.928819,1940.31025,2029.144223,2098.709554,2263.998619,2387.676104,2496.936628,2688.089153,2850.644971,3067.127631,3230.620445,3525.484079,4269.312671
p30,2550.512005,0,0,0,0,0,0,0,0,0,0,0,0,0,3233.084216
p31,1744.611893,2068.953135,2269.672031,2439.539184,2582.724736,2721.126924,2849.338311,3003.887754,3131.5322,3274.649049,3413.751079,3612.156539,3840.563701,4109.244673,4717.311139
p32,3126.767944,0,0,0,0,0,0,3979.221945,0,0,0,0,0,0,4305.267632
p33,1456.364745,1755.203567,1908.177396,2037.308144,2225.254486,2352.555489,2524.590538,2663.619731,2765.705851,2924.317179,3087.623683,3242.648474,3454.490459,3667.134751,4057.521463
p34,1826.132533,2159.377896,2324.577117,2441.721668,2568.860978,2744.928808,2859.804387,2990.088848,3102.605164,3238.50002,3391.365482,3577.92898,3758.269888,3971.782006,4441.372192
p47,2192.589978,0,0,0,3896.719791,0,4603.886127,4611.797811,0,5149.472844,0,0,5212.392716,5309.854656,5611.571061
p50,2769.283511,3543.093227,0,3742.480544,0,3753.806483,0,3973.346965,0,0,4145.790419,0,4540.77475,0,5235.379039
p56,2395.360662,2462.991805,2743.359899,2878.906726,2878.974682,3041.543907,0,3297.057937,3538.42792,3586.131063,3616.394991,3646.724665,3690.957196,3854.134406,3871.786148
p59,2494.360828,0,0,0,0,0,0,2935.658948,0,0,0,0,0,0,4255.474618
p61,2050.26629,2279.772794,2426.838941,2624.467841,2763.142826,2884.531789,3079.557166,3241.789668,3362.799211,3502.682125,3700.806392,3870.142451,4099.368195,4393.451429,5144.859873
p85,1969.680068,2517.066267,2618.667431,0,2789.525525,0,2865.217308,3052.264087,3200.935926,3291.155209,0,3457.961208,3601.917619,0,4177.077664
p89,2781.100104,2842.406383,0,3359.710995,0,3620.819478,0,3813.555772,0,3968.599533,3973.427598,0,4106.782376,0,4465.412156
p90,0,0,0,0,0,0,0,2715.71989,0,0,0,0,0,0,0
p92,2225.230274,2443.420999,2609.719514,2753.660144,2909.881122,3036.695739,3150.343892,3282.296694,3419.864303,3531.73136,3707.703503,3910.8182,4209.821307,4445.843077,4819.815147
p94,1981.787337,2394.772199,2495.002122,2617.769003,2764.337649,2900.574438,2985.692846,3082.221602,3270.967387,3392.27326,3488.454676,3643.630104,3862.210502,4101.851471,4528.053844
p95,1596.051649,1651.205443,1973.53862,2006.889702,2064.492233,0,2156.922103,2210.934229,2225.296375,2502.824948,2740.141209,3098.122396,3287.697163,3360.614116,3899.343101
p97,1841.68565,2027.255028,2114.155424,2170.411004,2340.778651,2394.279514,2462.102094,2591.149164,2682.143302,2832.514346,2934.680295,3090.464004,3254.152323,3499.970525,3829.964236
p99,1641.829745,1900.54042,1953.185291,1975.477554,2180.49114,2273.027107,2360.668117,2593.658045,2731.465134,2937.527247,3001.589567,3239.8599,3385.332078,3537.419045,3689.645526
p100,2248.481082,0,0,2867.045956,0,3454.963087,0,0,3602.377313,0,0,3702.038569,0,3817.576442,4133.722256
p109,0,0,0,0,0,0,0,3145.684727,0,0,0,0,0,0,0
p110,2055.850287,0,0,2227.575356,0,0,2564.23183,0,2614.533028,0,2714.689939,0,0,2802.023852,3147.429008
p115,2287.447739,2503.386475,2651.32311,0,2972.090964,3279.298641,0,3333.482665,3429.839779,3471.491655,0,3606.878997,3838.492216,3924.176935,4629.300702
p116,1786.344916,2019.765152,2107.516244,2260.441663,2406.160961,2541.082496,2653.543983,2705.843814,2791.089568,2853.831322,2951.575007,3060.513393,3202.575832,3366.437331,3909.404189
p117,2630.92731,0,0,3113.781173,0,0,0,0,3280.776696,0,0,0,0,0,4654.311425
p118,1672.635005,1975.734864,2056.704251,2130.175827,2228.709322,2320.572922,2381.196593,2438.995027,2524.44374,2602.935968,2699.211366,2788.002725,3099.129073,3414.014116,3865.576316
p119,2763.930675,0,0,2934.577638,3060.170885,3150.988389,0,3157.887349,0,3326.322951,3485.641384,0,3608.810514,3726.529575,3942.841593
p120,2577.239545,2839.752566,0,2876.867229,0,0,2894.822944,3243.012177,3252.139567,0,0,3398.476027,3493.464614,4301.129305,4832.794867
p121,1818.409955,1919.749546,2055.193667,2173.069112,0,2367.763491,0,2584.325733,2752.282613,2824.8726,2849.281893,3029.291775,3097.294039,3228.832676,3658.354703
p122,2424.021509,2670.515135,2843.773767,2963.516932,3066.995813,3189.50043,3336.512596,3428.780311,3481.92014,3568.424618,3669.983991,3748.705497,3859.28988,4132.425563,4591.350467
p127,1943.90366,2071.172631,2319.222095,2593.425839,2752.040553,2820.956362,2926.336496,3025.101564,3066.90751,3253.657457,3317.976769,3369.044446,3526.356525,3722.990025,3916.575006
p129,2245.068093,0,0,2688.158415,0,0,2953.95469,3179.80734,0,0,3281.393824,0,3754.501199,0,3776.29896
p130,1607.575077,1993.957297,2051.757001,2300.724521,2421.825082,2795.722158,2913.297139,2999.181551,3070.638465,3113.375222,3250.166881,3272.868101,3368.890983,3652.403906,4093.702921
p134,2161.40744,2190.198907,2240.084079,0,2668.397377,2710.072192,0,2765.008492,2822.749538,2854.453959,3004.965038,3240.09995,3467.10774,3755.050161,4122.507224
