region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,reinforcement_dist_km
p3,1,5372,108.018,401657.714,24.521,148.722
p3,1,5373,61.431,375301.584,45.676,115.697
p3,1,5750,32.586,367993.75,11.949,141.376
p4,1,5751,148.569,372609.179,11.308,148.722
p3,1,5752,262.621,373928.213,13.422,148.722
p3,1,5753,27.879,341851.4,35.167,115.697
p3,1,5754,3.259,314222.542,28.308,115.697
p4,1,6130,26.431,320083.194,1.462,141.376
p4,1,6131,38.017,337169.486,4.473,148.722
p4,1,6132,301.846,328019.928,62.859,55.182
p4,1,6133,772.054,307646.015,27.917,115.697
p4,1,6134,410.225,276756.254,17.188,115.697
p1,1,6509,40.793,318733.862,1.866,124.115
p4,1,6510,359.173,303989.101,78.703,32.051
p4,1,6511,674.778,296184.637,54.004,54.657
p4,1,6512,992.434,279614.856,89.295,12.704
p4,1,6513,454.277,288639.721,51.615,55.182
p4,1,6514,265.759,273465.021,12.669,115.697
p4,1,6515,101.138,225223.409,0.255,115.697
p4,1,6888,134.811,291536.717,74.902,32.051
p4,1,6889,688.657,271466.318,70.516,32.051
p4,1,6890,755.761,265012.327,67.17,32.051
p4,1,6891,397.915,259765.617,77.529,12.704
p4,1,6892,1422.815,246837.584,76.656,12.704
p4,1,6893,905.779,259653.388,39.521,55.182
p4,1,6894,380.294,267299.892,42.705,55.182
p4,1,6895,462.665,265686.816,11.043,113.54
p4,1,7268,185.259,256788.769,63.571,32.051
p4,1,7269,1021.158,234781.811,58.685,32.051
p4,1,7270,492.415,220539.017,69.013,12.704
p4,1,7271,179.466,214953.971,65.338,12.704
p4,1,7272,1226.211,216844.18,26.51,55.182
p4,1,7273,174.156,222456.544,27.115,55.182
p4,1,7274,480.226,226095.903,31.458,55.182
p3,1,7275,327.191,245817.851,85.616,2.145
p3,1,7276,351.811,267820.383,92.474,2.145
p3,1,7277,183.328,279115.358,6.171,136.265
p18,1,7314,329.484,479737.681,78.615,109.134
p18,1,7315,103.914,453764.344,72.841,109.134
p4,1,7649,154.121,202661.829,46.91,32.051
p4,1,7650,62.638,188748.227,57.046,12.704
p4,1,7651,329.242,189796.548,53.796,12.704
p4,1,7652,319.647,184785.734,52.498,12.704
p4,1,7653,1315.219,182761.996,14.691,55.182
p4,1,7654,1164.659,195606.847,68.744,2.145
p3,1,7655,223.518,218983.987,75.972,2.145
p3,1,7656,601.459,242686.866,83.116,2.145
p3,1,7657,697.588,267881.818,89.522,2.145
p3,1,7658,127.569,285396.212,75.333,14.55
p18,1,7694,25.828,432559.949,67.991,109.134
p18,1,7695,361.708,417055.955,61.848,109.134
p4,1,8030,387.536,155398.922,30.61,32.051
p4,1,8031,25.104,137567.829,41.425,12.704
p4,1,8032,121.354,144276.407,40.658,12.704
p4,1,8033,1021.641,150610.494,44.982,12.704
p4,1,8034,674.778,164121.167,57.202,2.145
p3,1,8035,931.848,184169.294,65.19,2.145
p3,1,8036,556.079,210924.12,72.387,2.145
p3,1,8037,678.459,251066.08,83.138,2.145
p3,1,8038,433.398,267153.124,70.306,14.55
p3,1,8039,261.656,231871.793,57.965,14.55
p4,1,8410,26.431,114378.172,18.941,32.051
p4,1,8411,884.356,96458.608,29.234,12.704
p4,1,8412,637.364,97519.026,28.638,12.704
p4,1,8413,222.552,121376.698,33.726,12.704
p4,1,8414,402.018,133956.086,48.002,2.145
p3,1,8415,569.898,161571.698,55.348,2.145
p3,1,8416,696.381,189898.394,65.928,2.145
p3,1,8417,401.355,218868.458,76.762,2.145
p3,1,8418,172.526,263807.359,88.304,2.145
p3,1,8419,594.278,232238.037,58.264,14.55
p1,1,8783,347.527,219649.936,59.985,8.88
p1,1,8784,160.88,195930.679,1.012,71.952
p1,1,8787,37.655,188052.001,41.638,34.361
p4,1,8788,764.33,141050.799,30.065,34.361
p4,1,8789,938.486,117593.868,21.155,32.051
p4,1,8790,704.226,91546.877,9.635,32.051
p4,1,8791,1077.641,68099.503,17.714,12.704
p4,1,8792,1408.996,70416.286,17.118,12.704
p4,1,8793,1106.365,83282.85,29.917,2.145
p3,1,8794,693.364,109934.299,37.852,2.145
p3,1,8795,378.242,140753.645,48.898,2.145
p3,1,8796,475.398,176139.769,60.44,2.145
p3,1,8797,601.76,207479.488,72.289,2.145
p3,1,8798,384.88,242569.397,84.287,2.145
p3,1,8799,73.259,244519.51,61.571,14.55
p3,1,8800,0.121,205515.981,48.784,14.55
p1,1,9163,484.993,194129.888,4.932,56.501
p1,1,9164,849.899,199990.783,50.084,8.88
p1,1,9165,202.639,223497.913,55.235,8.88
p4,1,9167,476.001,155663.562,36.308,34.361
p4,1,9168,1795.143,122590.87,24.713,34.361
p4,1,9169,1699.557,104552.341,13.668,34.361
p4,1,9170,1781.626,81196.318,25.15,2.145
p4,1,9171,560.484,49907.354,7.934,12.704
p4,1,9172,1057.486,44481.174,6.494,12.704
p4,1,9173,1237.797,62160.547,21.108,2.145
p3,1,9174,1150.779,93571.862,32.712,2.145
p3,1,9175,738.019,126544.038,44.148,2.145
p3,1,9176,449.329,167044.144,56.339,2.145
p3,1,9177,210.604,206556.752,69.798,2.145
p3,1,9178,140.0,237784.774,81.84,2.145
p3,1,9179,16.535,254186.77,64.628,14.55
p3,1,9180,16.535,216614.939,53.477,14.55
p1,1,9543,51.535,144980.866,34.634,8.88
p1,1,9544,869.33,170297.462,37.467,8.88
p1,1,9545,117.431,204020.212,42.85,8.88
p4,1,9547,415.656,155182.204,33.997,34.361
p4,1,9548,1633.539,119753.72,22.178,34.361
p4,1,9549,1482.918,92948.724,10.658,34.361
p4,1,9550,1135.452,64345.282,17.45,11.484
p4,1,9551,420.846,40598.963,8.542,2.145
p4,1,9552,965.279,25028.868,5.711,2.145
p4,1,9553,546.303,54612.148,17.604,2.145
p3,1,9554,407.57,92721.707,30.54,2.145
p3,1,9555,582.209,125594.336,42.359,2.145
p3,1,9556,1174.374,161084.383,55.87,2.145
p3,1,9557,677.674,197247.205,67.337,2.145
p3,1,9558,597.295,231711.057,79.081,2.145
p3,1,9559,35.724,258439.005,92.75,2.145
p3,1,9560,251.156,242679.958,61.412,14.55
p2,1,9922,59.5,108048.155,25.294,8.88
p1,1,9924,2.172,123513.254,26.487,8.88
p4,1,9927,336.967,157360.895,21.844,55.491
p4,1,9928,922.434,128592.337,8.833,55.491
p4,1,9929,608.278,98943.378,29.887,11.484
p4,1,9930,737.899,79276.695,20.001,11.484
p4,1,9931,525.243,44317.589,7.35,11.484
p4,1,9932,1425.59,51633.487,14.38,2.145
p4,1,9933,765.899,69614.707,21.841,2.145
p3,1,9934,384.156,98361.182,33.51,2.145
p3,1,9935,342.156,134611.451,46.074,2.145
p3,1,9936,887.313,172236.227,58.488,2.145
p3,1,9937,926.658,205955.433,70.127,2.145
p3,1,9938,801.683,245022.727,82.705,2.145
p3,1,9939,573.76,269766.95,93.75,2.145
p3,1,9940,38.379,262150.597,70.591,14.55
p2,1,10301,124.673,113357.007,25.387,8.88
p2,1,10302,264.915,90674.124,14.276,8.88
p2,1,10303,109.104,66165.036,9.879,8.88
p4,1,10307,123.949,170319.505,24.91,55.491
p4,1,10308,103.431,147271.439,15.077,55.491
p4,1,10309,197.087,129467.959,36.662,11.484
p4,1,10310,372.932,106520.631,28.36,11.484
p4,1,10312,843.865,77428.777,25.997,2.145
p3,1,10313,785.088,87633.154,30.988,2.145
p3,1,10314,329.122,116233.238,39.082,2.145
p3,1,10315,24.621,147549.121,49.833,2.145
p3,1,10316,131.914,185133.629,61.427,2.145
p3,1,10317,989.296,220893.06,73.118,2.145
p3,1,10318,978.555,257637.581,85.033,2.145
p3,1,10319,313.553,274647.731,98.202,2.145
p18,1,10353,0.181,348768.707,111.637,15.341
p18,1,10354,50.207,358791.771,100.951,15.341
p18,1,10355,45.259,288884.4,88.764,15.341
p2,1,10681,81.828,86229.549,22.187,9.758
p2,1,10682,28.121,69460.428,11.994,9.758
p4,1,10687,680.33,198916.878,32.107,55.491
p4,1,10688,284.949,184125.375,26.724,55.491
p4,1,10690,28.241,156217.706,45.198,11.484
p3,1,10691,178.501,110591.48,34.816,11.484
p3,1,10692,1322.883,107210.654,37.815,2.145
p3,1,10693,1087.417,121236.484,42.245,2.145
p3,1,10694,190.57,137791.827,48.282,2.145
p3,1,10695,92.811,168684.348,58.115,2.145
p3,1,10696,596.993,200620.746,67.517,2.145
p3,1,10697,1230.314,236758.999,79.059,2.145
p3,1,10698,1175.641,268226.169,90.877,2.145
p3,1,10699,732.166,310450.91,101.746,2.145
p18,1,10733,155.087,333164.949,106.434,15.341
p18,1,10734,285.794,325889.03,94.932,15.341
p18,1,10735,62.517,272507.311,83.698,15.341
p18,1,10736,81.828,237110.534,72.736,15.341
p18,1,10753,20.879,496280.054,155.053,15.341
p2,1,11060,189.725,132819.15,32.887,9.758
p2,1,11061,263.587,90220.633,21.13,9.758
p2,1,11062,388.984,79062.991,8.728,9.758
p2,1,11063,348.07,46300.475,6.059,9.758
p2,1,11064,115.862,82407.33,17.965,9.758
p2,1,11066,25.948,201552.839,43.349,8.88
p4,1,11067,270.104,203116.143,2.974,73.422
p4,1,11068,49.121,243792.542,16.341,73.422
p2,1,11069,229.311,225877.638,6.328,97.908
p3,1,11070,244.518,171359.317,53.111,11.484
p3,1,11071,872.468,147836.977,46.042,11.484
