,,,wsc1,wsc2,wsc3,wsc4,wsc5
1,class12,wind-ofs,789088.6427,989333.3333,1104428.571,1198250,1332000
1,class13,wind-ofs,1056442.413,1253333.333,1372545.455,1486533.333,1683888.889
1,class14,wind-ofs,819750,1266221.277,1557230.769,1742000,1862400
1,class15,wind-ofs,695000,1047000,0,0,0
1,class8,wind-ofs,627250,758666.6667,876000,1033833.333,1244250
2,class14,wind-ofs,628000,704000,0,0,0
3,class15,wind-ofs,626000,0,0,0,0
10,class11,wind-ofs,651000,768000,872000,0,0
10,class12,wind-ofs,776471.7349,922699.5074,980590.9091,1010666.667,1225500
10,class13,wind-ofs,1063164.319,1222555.556,1334833.333,1422428.571,1535000
10,class14,wind-ofs,1570000,1606000,1634500,1645000,1658000
10,class8,wind-ofs,628000,645000,648000,741000,986000
13,class11,wind-ofs,644500,771737.5887,887000,1016000,1149800
13,class12,wind-ofs,763500,875808.1395,980889.1967,1166923.077,1332000
13,class13,wind-ofs,1242615.385,1446666.667,1530333.333,1631000,1691500
13,class14,wind-ofs,1709000,1725000,1775000,1785000,0
13,class8,wind-ofs,657000,729000,763000,862000,911000
14,class10,wind-ofs,645333.3333,669333.3333,756886.6995,922756.2327,1147330.688
14,class11,wind-ofs,846018.3486,1047120.35,1159055.97,1250400,1446166.667
14,class12,wind-ofs,799500,1246500,1355333.333,1421000,1588000
14,class13,wind-ofs,1494000,1497000,1511000,1589000,0
14,class4,wind-ofs,755000,0,0,0,0
14,class8,wind-ofs,622000,650000,0,0,0
14,class9,wind-ofs,8.00E+05,869000,904000,0,0
15,class11,wind-ofs,711500,795000,957333.3333,1142000,1161500
15,class12,wind-ofs,1284000,1331000,1341000,1475000,1488000
15,class13,wind-ofs,1506000,0,0,0,0
20,class10,wind-ofs,850000,1050000,1087000,1097000,0
20,class11,wind-ofs,816666.6667,1085479.224,1252802.676,1348600,1493000
20,class12,wind-ofs,842475.5784,1126279.383,1317428.571,1481800,1638000
20,class13,wind-ofs,739000,809400,911198.5816,1084777.778,1252719.064
20,class14,wind-ofs,685500,761666.6667,807333.3333,827000,964832.7759
20,class15,wind-ofs,735666.6667,1131666.667,1327000,1352000,1370000
20,class8,wind-ofs,707000,735000,787000,814000,0
25,class11,wind-ofs,694000,705000,792000,797000,914231.5271
25,class12,wind-ofs,670250,778750,901728.1324,1039108.466,1193000
25,class13,wind-ofs,915333.3333,979000,1122884.026,1226627.273,1342800
25,class14,wind-ofs,918940.4255,1187666.667,1358000,1422333.333,1591333.333
25,class15,wind-ofs,676000,893000,1129340.426,1386666.667,1580000
25,class8,wind-ofs,634500,645000,715666.6667,776595.7447,809500
29,class11,wind-ofs,1153000,1445000,1482000,0,0
29,class12,wind-ofs,934000,1155000,1213000,1288842.105,1473192.453
29,class13,wind-ofs,994000,1264099.723,1450202.128,1586500,1722000
29,class14,wind-ofs,1095886.333,1266766.791,1426766.998,1569714.286,1772777.778
29,class15,wind-ofs,933000,1094175.472,1235910.053,1353084.463,1583650.794
29,class8,wind-ofs,1162000,1195000,1299000,0,0
31,class13,wind-ofs,1512000,1555000,0,0,0
31,class14,wind-ofs,929500,1522376.147,1649645.32,1748750,1924666.667
31,class15,wind-ofs,816000,1646963.989,1784473.103,1932545.455,2084376.196
125,class8,wind-ofs,623000,0,0,0,0
129,class4,wind-ofs,612000,0,0,0,0
129,class8,wind-ofs,644026.3158,781333.3333,879000,1002507.645,1080666.667
162,class12,wind-ofs,1821576.923,1916352.941,2027625,2086250,2141000
162,class13,wind-ofs,1827375,2021875,2159933.333,2287363.636,2402000
162,class14,wind-ofs,2316000,2426400,2463714.286,2485666.667,2517166.667
162,class2,wind-ofs,824000,0,0,0,0
162,class3,wind-ofs,710000,738000,824000,853000,957000
162,class4,wind-ofs,939384.2905,1075116.416,1183687.5,1273941.176,1385600
162,class8,wind-ofs,1384529.412,1484989.72,1558672.075,1639898.799,1734347.826
174,class1,wind-ofs,1032000,0,0,0,0
174,class10,wind-ofs,1474818.182,1545260.87,1654809.524,1777746.978,1896857.143
174,class11,wind-ofs,1609299.225,1756720.772,1876093.093,1985323.438,2113333.333
174,class12,wind-ofs,2021125,2087333.333,2133500,2182818.182,2251800
174,class2,wind-ofs,991000,1049000,1060554.217,1080000,1087000
174,class3,wind-ofs,950161.4907,1041888.325,1077235.294,1119666.667,1145000
174,class4,wind-ofs,1044019.956,1156099.363,1237448.636,1313833.333,1382500
174,class8,wind-ofs,1350250,1383333.333,1414000,1469875,1494000
174,class9,wind-ofs,1361666.667,1414428.571,1448500,1491000,1529000
175,class11,wind-ofs,1655274.583,1771083.333,1845333.333,1929666.667,1995600
175,class12,wind-ofs,1797500,1875400,1931000,2068523.81,2239937.5
175,class13,wind-ofs,2175500,2290428.571,2363555.556,2433444.444,2518571.429
175,class14,wind-ofs,2453000,0,0,0,0
175,class3,wind-ofs,892000,908000,1039000,1087000,0
175,class4,wind-ofs,961761.4679,1087810.657,1217095.584,1329882.353,1443909.091
175,class8,wind-ofs,1390500,1482500,1545153.846,1623140.351,1721727.273
191,class2,wind-ofs,794000,0,0,0,0
191,class3,wind-ofs,894000,927000,928000,938000,957000
191,class4,wind-ofs,623600,707500,867966.9811,980500,1091000
191,class8,wind-ofs,696000,818000,877000,933000,1013000
192,class2,wind-ofs,604000,0,0,0,0
192,class3,wind-ofs,607000,0,0,0,0
192,class4,wind-ofs,610000,0,0,0,0
197,class1,wind-ofs,622000,742000,766000,0,0
197,class2,wind-ofs,604000,654000,719000,0,0
197,class3,wind-ofs,605000,605000,607000,610000,0
197,class4,wind-ofs,622000,743000,778000,838957.9832,941673.3333
197,class8,wind-ofs,756000,0,0,0,0
198,class2,wind-ofs,622000,0,0,0,0
198,class3,wind-ofs,620000,0,0,0,0
198,class4,wind-ofs,619500,718000,735000,738333.3333,745000
198,class8,wind-ofs,619000,620000,856000,0,0
206,class1,wind-ofs,606000,630000,632000,632000,661000
206,class2,wind-ofs,638000,670000,711000,0,0
206,class3,wind-ofs,635000,720000,765000,0,0
206,class4,wind-ofs,678000,744000,780500,902000,922000
206,class8,wind-ofs,820000,0,0,0,0
211,class2,wind-ofs,608000,625000,661000,777000,787000
211,class3,wind-ofs,614000,724000,0,0,0
211,class4,wind-ofs,639000,716333.3333,829000,905800,1018546.798
211,class8,wind-ofs,634333.3333,835000,952333.3333,1021000,1182200
212,class1,wind-ofs,610000,628000,0,0,0
212,class2,wind-ofs,664000,824000,0,0,0
212,class3,wind-ofs,615000,616000,0,0,0
212,class4,wind-ofs,663750,846250,1055000,1108929.825,1171000
213,class4,wind-ofs,652000,730500,751000,797000,801000
213,class8,wind-ofs,805000,812000,832000,840000,0
214,class2,wind-ofs,635000,0,0,0,0
214,class3,wind-ofs,859000,0,0,0,0
214,class4,wind-ofs,613666.6667,726168.0672,809218.4874,899200,981000
214,class8,wind-ofs,619590.9091,696000,766000,848277.3109,1094954.545
216,class3,wind-ofs,613000,718000,722000,0,0
216,class4,wind-ofs,727075.8621,856500,911500,992000,1335500
216,class8,wind-ofs,695000,853833.3333,952000,990085.6269,1204333.333
217,class1,wind-ofs,617000,0,0,0,0
217,class2,wind-ofs,624000,633000,688000,0,0
218,class1,wind-ofs,787000,0,0,0,0
218,class2,wind-ofs,746000,807000,815000,826000,0
218,class3,wind-ofs,658000,0,0,0,0
218,class4,wind-ofs,700333.3333,816500,910333.3333,945400,996439.7163
218,class8,wind-ofs,798500,997560.2837,1047477.833,1083000,1218600
219,class2,wind-ofs,693000,0,0,0,0
219,class3,wind-ofs,722000,805000,0,0,0
219,class4,wind-ofs,695000,834000,839000,950000,0
219,class8,wind-ofs,903000,984000,0,0,0
227,class2,wind-ofs,636000,734000,0,0,0
227,class3,wind-ofs,764000,838000,0,0,0
227,class4,wind-ofs,781000,895000,0,0,0
234,class1,wind-ofs,607000,607000,616500,623000,634000
234,class2,wind-ofs,620500,653921.9858,697600,756750,811000
234,class3,wind-ofs,666333.3333,770747.4048,829658.8629,886319.398,961500
234,class4,wind-ofs,772500,872250,928666.6667,966142.8571,994400
