"","","upvsc1","upvsc2","upvsc3","upvsc4","upvsc5"
"p1","class1",4387.4784,17814.0384,20048.3424,23340.1824,16389.7344
"p1","class2",42.5088,25.4016,417.0528,1175.2128,568.1664
"p1","class3",1746.2304,210.2112,1039.6512,241.5744,15663.1968
"p10","class4",8.0352,8.2944,6.48,32.9184,0
"p10","class5",11301.6384,8123.5872,34386.5088,61491.312,96715.8144
"p10","class6",25533.5328,35794.7424,101117.0304,129872.16,100062.0864
"p10","class7",2218.2336,1563.7536,2026.6848,11612.6784,28370.9952
"p100","class3",5882.8032,8862.048,12962.3328,4052.8512,7053.3504
"p101","class4",2884.3776,64989.7344,107745.8112,114144.6816,116977.7376
"p101","class5",124015.0176,219508.704,243872.208,236870.6976,150353.1072
"p101","class6",1.8144,5.184,38.6208,79.3152,34.7328
"p102","class5",10313.3088,43640.9856,37996.128,35216.4672,38227.8528
"p103","class2",316403.6256,406899.1584,390367.1232,345269.1744,306733.6512
"p103","class3",6260.4576,27917.9136,46655.2224,55700.2656,47115.0432
"p104","class2",11884.32,22816.8576,24189.0624,26372.0448,15268.176
"p104","class3",2919.1104,7610.112,16077.3984,18413.8272,11983.0752
"p105","class2",104.1984,254.016,1.5552,122.6016,2749.8528
"p105","class3",243729.648,279849.6864,277649.3376,273146.256,272707.4304
"p106","class3",782.2656,1480.2912,4771.872,8951.472,9343.6416
"p107","class3",115321.1904,166075.6608,174571.4592,178201.0368,179168.112
"p108","class3",45060.1056,54587.7792,52675.6608,43936.7328,43390.5984
"p109","class3",50648.4576,105907.5648,103244.0256,108095.9904,62360.6688
"p11","class5",134.0064,214.6176,295.488,517.6224,660.7008
"p11","class6",714.8736,570.4992,950.4864,1208.9088,3096.6624
"p11","class7",6.9984,38.1024,14.5152,0,0
"p110","class3",158.6304,800.6688,242.8704,389.3184,468.1152
"p111","class2",17895.6864,54028.6848,58431.1968,74647.008,55580.7744
"p111","class3",2793.6576,17713.9872,28574.9856,49539.8592,49948.0992
"p112","class2",1943.4816,25669.872,27024.192,24822.8064,7870.8672
"p112","class3",141156.1728,240843.456,225994.6656,213892.6176,234143.6544
"p113","class3",22549.104,50456.1312,54378.6048,56596.0608,49401.1872
"p114","class3",2076.4512,23948.0064,35503.6608,19852.3872,14260.4064
"p115","class2",4401.4752,2155.7664,5229.1008,4582.1376,4593.024
"p115","class3",29.2896,72.0576,370.1376,402.0192,205.5456
"p116","class2",259.2,19.1808,268.272,550.8,963.1872
"p116","class3",7470.4032,13772.3328,7770.2976,6250.608,5544.8064
"p117","class3",1855.872,2589.9264,1096.9344,1611.1872,2279.9232
"p118","class3",6994.2528,1917.5616,6772.3776,8753.9616,9324.9792
"p118","class4",161.4816,50.544,200.3616,291.0816,1121.5584
"p119","class2",2760.2208,9613.9872,7831.2096,2346.2784,3205.008
"p12","class3",12.4416,15.0336,870.6528,336.1824,52.8768
"p12","class4",113783.616,271527.2928,278307.4464,268251.5232,230710.2912
"p12","class5",266954.4864,322845.0048,318793.1904,328032.6336,337105.152
"p12","class6",1457.4816,43588.8864,68664.1536,90436.6944,92139.3792
"p120","class3",8047.1232,9731.664,6659.6256,2688.4224,1642.5504
"p121","class2",26.4384,14.5152,20.4768,33.9552,85.7952
"p121","class3",4263.0624,10787.1264,11610.0864,4890.3264,1855.872
"p122","class2",9732.1824,44450.7264,75756.384,72343.2384,53243.568
"p122","class3",18851.0976,37059.12,60055.6032,60297.4368,35429.5296
"p123","class3",21013.0848,42858.4608,66508.128,64707.4656,55638.3168
"p124","class3",1034.7264,579.5712,989.6256,1890.864,1437.5232
"p124","class4",2342.6496,2302.2144,2782.2528,2936.736,2801.4336
"p125","class3",9441.8784,16506.6336,18067.0176,20452.9536,24266.0448
"p126","class2",33.4368,0,0,0,0
"p126","class3",8036.496,31950.5472,45729.6192,41740.0128,36146.2176
"p127","class2",33709.7376,129254.2272,206135.5392,248614.0128,256473.9936
"p127","class3",4401.216,5583.4272,8352.4608,11661.408,5783.0112
"p128","class3",1048.7232,1533.4272,4459.0176,5434.6464,4501.5264
"p129","class2",2045.8656,22198.6656,8991.3888,15735.2544,4835.1168
"p13","class5",4.6656,46.1376,29.808,219.024,721.6128
"p13","class6",10195.8912,12305.0016,32822.2368,37627.0272,19189.872
"p130","class2",7202.3904,13472.9568,8298.288,7976.3616,8667.9072
"p130","class3",1496.3616,2441.664,6340.5504,8466.768,2302.992
"p131","class2",965.2608,617.9328,2153.952,6061.6512,3299.8752
"p131","class3",15226.9632,24345.1008,29661.2928,16755.7248,7407.1584
"p132","class2",7.776,45.6192,15.8112,118.7136,125.712
"p132","class3",5223.3984,4014.7488,5174.928,12251.6064,13258.3392
"p133","class3",707.8752,6425.8272,8747.2224,5854.2912,2319.0624
"p134","class2",114780.7584,179297.9712,201971.4912,201291.3504,138396.7296
"p134","class3",983.9232,833.5872,2790.288,3625.9488,567.3888
"p14","class1",37.0656,0,0,0,0
"p14","class2",7230.1248,17208.8064,11057.7312,11501.7408,25271.7408
"p14","class3",25.6608,221.8752,58.5792,141.7824,1412.8992
"p15","class2",317.2608,1724.976,2896.3008,4025.1168,4731.1776
"p15","class3",2492.9856,32486.0544,30683.0592,38377.4112,33216.2208
"p15","class4",89472.4704,153516.6432,170586,179081.28,157209.4656
