,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,1048.980251,1380.325071,0,1537.438961,1717.692108,0,1811.112652,1923.557611,1960.45476,2094.915494,0,2164.387709,2502.493846,2879.946068,3068.317567
p2,982.1604299,1185.35845,1288.435291,1370.144042,1484.770609,1557.846086,1650.350477,1735.416825,1827.670358,1928.808407,2012.994044,2112.778311,2260.113959,2485.058479,3040.626881
p3,1198.469852,1348.362213,1398.788224,1421.757764,1459.155811,1539.620154,1584.093022,1644.361215,1760.501486,1888.661153,1956.255628,2066.523448,2257.415057,2402.530382,2761.106072
p4,981.5099403,1152.786181,1192.704108,1254.642487,1307.270276,1394.555697,1426.506638,1461.711349,1615.809804,1699.388182,1792.563855,1950.770366,2069.858846,2227.756617,2732.356075
p5,996.7018919,1179.60249,1310.65035,1421.373878,1514.112709,1593.685367,1680.845135,1746.514088,1825.103349,1907.659712,2020.346715,2164.805348,2316.539966,2532.904735,2954.26457
p6,902.1031444,1142.409457,1259.906433,1363.681222,1441.413923,1512.818914,1581.053809,1677.026875,1795.189159,1872.182087,1983.811429,2131.930681,2272.767506,2482.826474,3100.395201
p7,926.3461501,1180.686905,1306.673112,1414.350979,1502.71187,1608.267557,1708.34102,1795.14318,1884.516354,1971.491249,2066.977447,2196.105252,2325.186834,2541.40115,2983.302749
p8,978.3936276,1131.399173,1204.555395,1264.138239,1340.302348,1433.775265,1542.41322,1621.475261,1725.063166,1801.255929,1907.746276,2043.41663,2212.752758,2410.540713,2907.61284
p9,850.9176774,977.9647638,1087.345021,1212.866188,1283.38919,1386.198416,1506.157952,1573.874214,1647.47303,1748.283833,1863.755216,1973.286336,2130.876467,2372.789086,2851.787607
p10,987.7229891,1231.423638,1350.678195,1433.102903,1535.660633,1629.237369,1740.924103,1846.34079,1935.429505,2018.971326,2154.903304,2273.563928,2406.521056,2570.168138,2949.10936
p11,1368.361335,1371.893512,1487.680419,1610.570162,1691.516947,1703.41136,1726.750262,1728.169233,2001.036458,2081.564892,2233.971634,2293.460447,2484.121329,2562.753087,2753.582386
p12,982.988564,1173.260704,1321.171164,1443.370367,1544.612558,1650.040025,1747.111626,1838.742929,1932.069989,2031.154023,2141.273625,2269.393309,2415.372628,2618.654928,3060.579245
p13,1516.592387,1791.428885,1908.660307,2041.246617,2148.256792,2238.714528,2282.086442,2341.238475,2412.583947,2474.934879,2556.098514,2694.184713,2815.442348,3028.932294,3439.76999
p14,1110.740435,1254.406461,1293.375511,1403.60562,1420.791357,1447.577299,1570.3036,1676.041505,1782.284923,1806.852381,1980.996697,2076.073527,2228.325184,2485.236268,3103.890163
p15,1096.238415,1275.026441,1361.292956,1455.898798,1553.892895,1648.759894,1721.507687,1796.87475,1878.181723,1986.598979,2095.19002,2198.963876,2355.819397,2574.047952,2960.781132
p16,1052.811381,1223.282159,1315.734678,1404.988773,1505.345104,1586.552174,1688.268874,1778.793901,1853.204855,1945.067738,2048.901316,2159.551752,2306.441623,2516.180038,3024.47215
p17,1004.822137,1175.45255,1318.317976,1441.287122,1533.542857,1631.973977,1753.838855,1862.706776,1966.890828,2076.28424,2172.922729,2288.260243,2437.123645,2657.805759,3074.046327
p18,1147.687812,1285.209468,1366.071156,1484.93908,1635.922021,1696.839592,1778.276029,1879.506485,1968.328903,2078.120207,2167.620373,2280.457169,2442.476013,2655.905329,3178.714874
p20,1411.824862,0,1628.731883,1830.749542,1968.116826,1991.478113,2215.889039,2220.45641,2230.443066,2238.714498,2255.434524,2265.073983,2332.244541,2476.3657,2767.433818
p21,985.3136856,1165.920692,1282.549292,1384.031012,1473.711481,1579.050325,1672.839043,1753.539753,1858.079277,1977.705977,2085.292649,2203.282274,2346.141897,2561.560156,3022.724977
p22,1148.760139,1240.036194,1260.491963,1287.596326,1409.914463,1450.910051,1515.545121,1581.220044,1718.31794,1829.368996,2039.620412,2139.602555,2294.853417,2548.270382,2909.767692
p23,1660.860116,1676.415119,1707.01456,1763.012804,1823.848283,1887.069838,1950.371118,2018.117593,2117.358285,2283.423397,2397.131361,2495.628355,2529.347416,2739.893521,2899.90985
p24,1174.769201,1449.849488,1523.320399,1579.29212,1642.312905,1722.081986,1815.440231,1870.239385,1957.785709,2046.476213,2113.312791,2230.465043,2388.285367,2569.588884,3006.991866
