region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km
p1,1,416,408.224,15024.482,5.76
p1,1,417,494.319,68673.001,13.957
p1,1,796,1425.806,7803.859,5.76
p1,1,797,2820.834,10672.66,5.76
p1,1,798,2628.54,17021.896,5.76
p1,1,799,948.362,11768.857,5.76
p1,1,800,97.752,168015.759,11.062
p1,1,1176,1288.553,14953.657,5.76
p1,1,1177,2008.308,2498.018,5.76
p1,1,1178,2007.68,30624.978,5.76
p1,1,1179,371.695,31318.22,5.76
p1,1,1180,80.093,174583.314,11.075
p2,1,1543,80.683,659283.302,50.203
p2,1,1544,16.33,4306862.404,45.534
p1,1,1556,139.962,216826.703,23.227
p1,1,1557,208.083,20559.267,5.76
p1,1,1558,541.703,74958.533,5.76
p1,1,1559,459.337,97730.574,7.893
p2,1,1922,100.426,740663.444,49.8
p2,1,1923,741.737,326375.606,96.515
p2,1,1924,128.192,581907.064,33.194
p2,1,1925,50.837,1299682.929,34.967
p1,1,1937,361.647,21372.074,5.76
p1,1,1938,388.362,27812.86,5.76
p1,1,1939,107.028,249261.274,12.627
p2,1,2302,245.31,604111.515,46.209
p2,1,2303,1359.995,161979.438,90.616
p2,1,2304,395.365,214409.369,18.99
p2,1,2305,554.495,245621.03,16.888
p2,1,2306,84.637,553446.507,20.505
p1,1,2316,811.236,25169.951,5.76
p1,1,2317,2430.868,16572.908,5.76
p1,1,2318,679.966,34139.794,5.76
p1,1,2319,76.805,249740.026,10.215
p1,1,2321,98.725,46510.445,5.76
p3,2,2333,61.108,525392.697,29.999
p3,2,2334,68.099,290468.766,14.801
p3,2,2335,145.414,157500.016,9.311
p3,2,2336,43.286,389299.65,18.266
p2,1,2682,480.481,408938.049,33.128
p2,1,2683,1587.128,207938.271,19.902
p2,1,2684,684.252,117980.709,7.726
p2,1,2685,322.185,144639.25,5.76
p2,1,2686,618.563,132198.214,6.301
p2,1,2687,260.744,294796.544,6.527
p1,1,2695,438.047,19032.366,5.76
p1,1,2696,2059.84,11565.45,5.76
p1,1,2697,1463.507,15362.267,5.76
p1,1,2698,956.373,23220.365,5.76
p1,1,2699,1011.392,26969.537,5.76
p1,1,2700,672.455,25355.378,5.76
p1,1,2701,139.776,122537.588,7.127
p3,2,2712,6.566,6272821.276,35.794
p3,2,2713,53.424,504215.54,23.434
p3,2,2714,101.031,181366.606,13.446
p3,2,2715,387.147,26872.116,5.76
p3,2,2716,876.389,160968.019,13.507
p3,2,2717,590.227,210089.871,42.291
p3,2,2718,22.57,1830014.172,38.315
p3,2,2719,56.15,812888.046,52.773
p2,1,3062,1126.897,221268.926,103.289
p2,1,3063,2092.609,204323.161,21.693
p2,1,3064,490.914,179473.777,11.795
p2,1,3065,228.437,173588.709,7.825
p2,1,3067,219.226,166659.509,6.437
p2,1,3068,745.641,8582.499,5.76
p2,2,3069,513.166,98775.881,9.141
p1,1,3074,502.384,6962.803,5.76
p1,1,3075,679.77,25448.445,5.76
p1,1,3076,1417.717,23404.219,12.184
p1,1,3077,1047.598,32263.484,5.76
p1,1,3078,368.965,79970.233,7.3
p1,1,3079,73.474,329508.452,18.223
p1,1,3080,8.669,2955907.941,13.201
p1,1,3081,473.383,76673.62,6.577
p1,1,3082,286.651,55574.006,5.76
p3,2,3092,23.587,1611876.266,33.501
p3,2,3093,62.178,362809.398,22.241
p3,2,3094,868.82,81816.533,14.271
p3,2,3095,779.018,60134.444,16.241
p3,2,3096,1194.703,90551.554,24.997
p3,2,3097,805.192,210461.938,37.89
p3,2,3098,105.097,582999.441,52.367
p3,2,3099,92.941,393970.594,40.482
p3,2,3100,217.99,461555.647,38.477
p3,2,3101,7.305,6945681.389,46.073
p3,2,3102,53.571,1009120.139,48.64
p2,1,3442,419.01,486421.251,39.268
p2,1,3443,1017.746,239673.23,93.214
p2,1,3444,267.269,377002.041,22.695
p2,2,3449,145.905,124961.282,8.908
p2,1,3450,1437.558,8599.993,5.76
p2,1,3451,1277.618,41305.765,21.96
p2,1,3452,200.591,298892.058,32.149
p2,1,3453,42.867,662574.87,8.43
p1,1,3454,342.943,18638.693,5.76
p1,1,3455,22.756,345115.056,5.76
p1,1,3456,1204.354,19644.297,5.76
p1,1,3457,1698.786,29812.952,5.76
p1,1,3458,917.419,42328.94,6.236
p1,1,3459,411.786,98520.175,7.397
p1,1,3461,325.675,27717.426,5.76
p3,2,3469,30.897,505985.833,16.755
p3,2,3470,17.67,914030.59,16.83
p3,2,3472,18.13,1616285.197,23.474
p3,2,3473,162.964,122794.146,16.164
p3,2,3474,1154.054,23247.13,5.76
p3,2,3475,916.587,55132.162,8.815
p3,2,3476,213.222,178248.396,21.006
p3,2,3477,618.017,190711.439,39.287
p3,2,3478,12.945,2398600.064,24.904
p3,2,3479,211.569,325994.829,22.416
p3,2,3480,212.13,378488.865,28.824
p3,2,3482,209.754,517845.134,34.694
p3,2,3483,7.574,6190197.014,35.904
p3,2,3484,126.875,366775.848,26.964
p3,2,3485,664.337,89945.816,17.605
p3,2,3486,125.27,87738.697,5.76
