,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,1445.452421,829.6403914,1127.512004,1079.226513,689.8080475,984.0837371,902.4071618,974.051958,877.5764012,489.695302,1145.250433,540.1041355,1357.841865,874.0264377,951.3442214
p2,4315.758602,3823.440791,3749.036544,4098.755519,4019.146178,3929.930431,3970.478678,3659.574373,3927.282585,4097.710542,3947.836204,3584.907419,3984.753795,4155.031134,3911.188033
p3,1067.761795,0,1352.808408,991.8642017,530.7264271,978.9557016,562.3943602,517.4248623,765.7440083,822.0119306,790.4914049,586.7270171,759.7492206,636.0617428,823.0459132
p4,2956.812956,1999.889885,3016.055071,2176.217412,2627.507382,2620.563362,2583.561662,2152.960302,2502.96188,2588.606013,2543.234238,2326.592237,2480.112793,2448.860258,2582.193978
p5,10542.03497,9697.868166,9496.954131,9425.240039,9906.525712,9780.985512,9567.846604,9375.961312,9917.651001,9667.690489,9647.589514,9487.523794,9819.70194,9640.061193,9717.709325
p6,8142.414673,5377.558143,5197.758681,3822.804195,5461.769801,5318.998397,4796.173024,4940.625997,4799.864318,4909.683094,4728.939038,4879.538048,5003.757544,4504.353624,5242.756695
p7,12529.82787,11913.70087,11865.82922,11412.70935,11815.16276,11725.20902,11706.12865,11862.54297,11563.43251,11870.1725,11605.93607,11865.79517,11671.64932,11679.04949,11786.33741
p8,6370.640502,5699.596904,5529.524983,6403.511442,5588.691901,5844.450775,5928.203608,5889.600257,5690.93388,5946.346884,5840.087999,5479.724449,6090.305829,5697.715682,6007.399712
p9,8076.0134,5789.993089,5792.866937,5422.619591,5091.824129,5048.629282,5668.813196,5243.417065,5381.413719,5162.456859,5460.916047,5347.196663,5159.64037,5432.79544,5327.644079
p10,6671.794099,6689.327712,5960.161838,6537.004207,6569.970217,6302.881797,6439.091888,6319.441479,6376.866367,6335.607094,6266.223601,6405.340678,6289.495831,6520.265077,6402.437664
p11,296.4930294,353.9724736,247.9699936,0,389.2726516,0,279.4376949,254.3842653,0,488.5932442,166.7415151,187.5214949,156.3983855,196.3756136,336.3021113
p12,32907.94844,29935.42423,30172.38953,30254.37856,29964.77656,29965.9667,29975.64574,30199.29429,29840.28691,30082.2443,30143.41115,30034.06974,29929.13193,30103.46679,30086.36292
p13,2220.792761,1802.631452,2095.858724,1982.152376,1815.256727,2017.160504,1849.786013,2066.075398,1855.52448,1979.385294,1751.13463,2112.200006,1837.937116,1930.219745,2046.496694
p14,519.5255779,1024.519665,582.1170255,467.1230761,186.5418321,825.2474199,489.5837499,326.5248756,782.8400406,389.466375,513.9758761,737.1260175,591.0501736,484.9370663,660.4241935
p15,8777.333355,8160.571663,8408.732969,8180.263247,8367.925182,8193.162709,8360.606878,8346.761101,8348.001097,8202.390549,8232.174375,8387.530152,8300.064756,8333.162671,8304.215647
p16,6946.389126,6563.918859,6956.017383,6896.96907,6794.187933,6839.007515,6695.998588,6827.275444,6743.806529,6865.222575,6761.945049,6729.661734,6779.398231,6681.650484,6876.29168
p17,8909.784361,7204.352933,6795.486916,7313.718236,6868.983707,7195.050942,7005.743799,7094.657644,6895.882409,6980.007074,7156.147397,6932.188426,6977.734077,7288.189801,7041.43308
p18,3564.965728,3415.39444,3451.568453,3309.090212,3287.784111,3251.10795,3467.488042,3383.26301,3163.417183,3474.214587,2990.705203,3562.369656,3323.468615,3372.195834,3404.61829
p20,189.0839524,0,691.0150371,196.8384907,211.1102147,268.6275851,0,0,791.8985415,202.4632724,285.6178011,0,365.3479343,385.8136014,311.0316846
p21,9726.495866,6899.044366,8171.679777,7582.141472,7533.095235,7453.903373,7528.239785,7228.731435,7750.022936,7290.953167,7531.973112,7482.088568,7540.149043,7454.319294,7558.434625
p22,1152.550747,782.0558775,672.9741146,624.0636312,1137.614171,684.8955986,943.862814,640.7357498,847.5324832,813.052254,984.7716668,670.1737177,946.9154776,709.3563992,913.9792334
p23,645.2547906,246.0482794,653.6754514,464.2194825,276.5271766,541.4251368,333.0038375,217.9326443,593.8554454,388.1002844,535.4669775,321.4303038,433.5772923,425.723868,595.9430451
