j,bioclass1,bioclass2,bioclass3,bioclass4,bioclass5
p1,0.999966093,1.00126842,1.024165064,1.016871528,1.005431272
p2,1.00052216,1.001805775,1.011140202,1.012348698,1.013184653
p3,0.999793873,1.03176843,1.005874995,1.018947075,1
p4,1,1,1,1,1
p5,1.000671141,1.001863474,1.014547353,1.015717113,1.013081074
p6,1.000599496,1.001671173,1.002043958,1.000418193,1.010572523
p7,1.000161499,1.000801784,1.001616779,1.000678235,1
p8,1,1.001947623,1.000965043,1.055679712,1.005645059
p9,1.00068086,1.00211851,1.003108775,1.00359857,1.016382206
p10,1,1,1,1,1
p11,1,1,1,1,1
p12,1,1,1,1,1
p13,1,1,1,1,1
p14,0.999724604,0.99924952,1.014584505,1.023796975,1.012735766
p15,0.999893086,0.999398574,1.032430345,0.991638241,0.99984884
p16,1,1.045274201,1.018418337,1.035498791,1.024620448
p17,0.999671192,0.999336464,1.008604704,1.000124062,1.005824891
p18,1.070997131,1.037445408,0.989760823,0.999442036,1.036160272
p19,1,1,1,1,1
p20,1.000373199,0.999499512,1.008745929,1.019215838,0.999005443
p21,1.000788346,1.005151097,1.010263641,1.008501256,1.004432646
p22,1,1,1,1,1
p23,1.000635129,1.010595866,1.011866698,1.015150906,1.005870526
p24,1.00062795,1.003861546,0.991870565,1.021217455,1.013378269
p25,0.999888033,1.00624079,1.041424032,0.830971233,1.001885194
p26,1,1,1,1,1
p27,1,1,1,1,1
p28,1.000135951,1.012389016,1.007779208,1.000015944,1.020920001
p29,1,1,1,1,1
p30,1,1,1,1,1
p31,1,1.004899854,1.014770678,0.998925141,0.987595955
p32,1.005969978,1.008469306,1.017591764,1.102675482,1.050113058
p33,1.001175278,1.204228045,0.988061164,1.018099692,0.971230097
p34,1.001265841,1.091428811,1.010076414,1.043430004,1.15353083
p35,1.001246446,1.001322697,1.064526546,1.04983966,0.845795147
p36,1.108500714,1.219598557,1.079223796,1.087856407,1.067043451
p37,1.041213616,1.286897301,1.07893835,1.203531714,1.130312073
p38,1.33409439,1.079642818,0.983539443,1.072340635,1.091547316
p39,1,1.029762646,1.050500785,0.966640502,1.111804606
p40,1.025263164,1.314472907,0.935606944,1.051820026,1.103516539
p41,1.175590447,1.297687203,1.01851967,1.030290797,1.136153216
p42,1.064157904,1.08482328,1.095931708,1.039862442,1.016998501
p43,1.063905306,1.068021091,1.045631526,1.020214055,1.013927222
p44,1.000803814,1.039667514,0.989947703,1.196432487,1.090828567
p45,1.04810463,1.475664244,0.871917151,1.00643124,1.14010807
p46,1.00163763,1.012507051,1.07888259,1.033623304,1.024219284
p47,1,1,1,1,1
p48,1.078326958,1.161128944,1.083556597,1.074143597,1.093684408
p49,1,1,1,1,1
p50,1.062475944,1.148932314,1.280790503,1.117904577,1.035671036
p51,1.057716495,1.179673696,1.19979413,1.134127941,1.085756262
p52,1.032600013,1.24585177,1.068493559,0.971865522,1.034014237
p53,1.039561527,1.229275556,1.143373935,1.070700943,1.076948817
p54,1.185438658,1.0751423,1.167929838,1.14146317,1.177660353
p55,1.026819045,1.095078946,1.240176175,1.175629227,1.185118276
p56,1.019017937,1.047867168,1.103667499,1.033644976,1.026957386
p57,1.00239343,1.045723095,1.077104813,1.025429589,1.013884712
p58,1.012523383,1.060088198,1.072959575,1.013798058,1.013861016
p59,1,1,1,1,1
p60,1.078326958,1.082885381,1.200822955,1.116794077,1.17104729
p61,1,1,1,1,1
p62,1,1,1,1,1
p63,1.086631724,1.12140799,1.209581197,1.154997391,1.037566263
p64,1.066062094,1.118040696,1.169390536,1.237269969,1.219668213
p65,1.078326958,1.14094249,1.250905969,1.146265685,1.238716883
p66,1.003490172,1.068134011,1.048808285,1.028244622,1.013895868
p67,1.006582804,1.137619961,1.212711983,1.057954026,1.024106
p68,1.0496598,1.177919675,0.961270855,1.117571891,1.0213157
p69,1.010159396,1.013414882,1.109650465,0.938424614,0.987461842
p70,1.04752833,1.118054942,0.943886574,1.14717945,1.087509096
p71,1.113597803,1.076553843,1.189178023,1.112538425,1.261499928
p72,1.142604117,1.024739568,1.147512815,1.177013478,1.131545169
p73,0.993154228,0.996301913,1.209556015,1.12870845,1.027953698
p74,1.000910168,1.029377556,1.009469837,1.012367619,1.013697301
p75,1.001740033,1.061613249,1.046389481,1.013740928,1.018027732
p76,1.001431468,1.053922797,1.045630881,1.013735231,1.013993137
p77,1.063873925,1.061130079,1.076691422,1.013499079,1.013900998
p78,1.00097461,1.051931214,1.010765233,1.02200444,1.013994475
p79,1.001076594,1.019561401,1.07010866,1.034898126,1.024751308
p80,1.000479406,1.188126032,1.033661859,0.925340091,1.103657074
p81,1.000887931,1.152525657,1.036095154,1.055879939,1.163185557
p82,1.002377278,1.142093941,1.401567938,0.892491397,0.834987776
p83,1.000272596,1.232782296,0.974194503,1.103280872,1.084521897
p84,1.140441124,1.010563746,1.173472674,1.100417357,1.072888536
p85,1.016890423,1.024930841,1.129737351,1.032315879,1.034751538
p86,1.007391511,1.023607452,1.13618635,1.027484164,1.013977643
p87,1.01173367,1.04398228,1.057883799,1.031943166,1.030824616
p88,1.011885321,1.053896994,1.076026147,1.028022658,1.026992433
p89,1.04200699,1.0860549,1.035040931,1.025254659,1.013916532
p90,1.001151425,1.027331122,1.042780093,1.038177125,1.013888102
p91,1.001241667,1.015874028,1.069157521,1.01374475,1.01359545
p92,1.09961493,1.025345893,1.152045242,1.044212676,1.034310062
p93,0.99961405,1.062398495,1.12918365,1.110784541,1.082429752
p94,1.07184497,1.018901786,1.043496244,1.026906893,1.013817102
p95,1.001337623,1.069750707,1.044519085,1.013850018,1.013789595
p96,1.066538833,1.057808279,1.033584458,1.013636071,1.013797137
p97,1.014592114,1.036050856,1.069070486,1.0288206,1.013812362
p98,1.016578476,1.006298171,1.084376187,1.058208652,1.033110452
p99,1.058615361,1.050323057,1.072629843,1.027748598,1.013672818
p100,1.003193706,1.075096457,1.105313741,1.063810411,1.024308093
p101,1.000634051,1.072889373,1.047974671,1.038842352,1.013536952
p102,1,1.061556276,1.062327775,1.017540949,1.014277796
p103,1.001013903,1.046659238,1.048500435,1.021548998,1.02107736
p104,1.000849474,1.033306128,1.075478644,1.013589669,1.013938353
