region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km
s2,10,416,93.5,86850.649,5.76
s2,9,796,225.5,9612.014,5.76
s2,9,797,236.5,12293.818,5.76
s2,10,798,264.0,8347.255,5.76
s2,9,799,209.0,23243.241,5.76
s2,9,1176,192.5,32500.848,5.76
s2,10,1177,231.0,3455.181,5.76
s2,10,1178,247.5,31173.223,5.76
s2,10,1179,242.0,23329.525,5.76
s2,10,1180,143.0,212567.746,11.075
s2,9,1181,115.5,516312.287,24.095
s2,9,1557,203.5,14803.478,5.76
s2,9,1558,280.5,68080.406,5.76
s2,10,1559,203.5,96271.639,7.893
s2,9,1560,121.0,458644.68,39.054
s2,10,1938,236.5,28062.037,5.76
s2,10,1939,176.0,161371.735,12.627
s2,10,1940,66.0,668089.591,27.302
s2,10,1941,55.0,555979.079,16.162
s2,10,2321,148.5,76272.232,5.76
s2,6,2707,82.5,592215.261,29.186
s1,7,1543,214.5,724714.063,50.203
s1,7,1544,88.0,857561.923,45.534
s1,8,1922,38.5,2042974.518,49.8
s1,7,1923,258.5,447646.583,35.91
s1,7,1924,225.5,482475.311,33.194
s1,8,1925,49.5,1426817.198,34.967
s1,8,2302,88.0,629950.507,46.209
s1,8,2303,231.0,347390.687,27.697
s1,8,2304,264.0,219174.598,18.99
s1,8,2305,231.0,286951.271,21.048
s1,9,2306,44.0,1164801.548,20.505
s1,8,2682,154.0,536284.028,33.128
s1,9,2683,258.5,222241.094,19.902
s1,8,2684,275.0,102809.643,7.726
s1,8,2685,275.0,104462.045,5.76
s1,8,2686,214.5,166061.944,6.301
s1,10,2687,82.5,401045.552,6.527
s1,8,3062,198.0,322267.718,34.599
s1,9,3063,253.0,226228.706,21.693
s1,9,3064,275.0,168387.895,11.795
s1,9,3065,264.0,127275.804,7.825
s1,8,3066,231.0,220724.781,7.645
s1,9,3067,170.5,162106.122,6.437
s1,10,3068,236.5,4840.169,5.76
s1,10,3069,132.0,209952.523,9.141
s1,9,3444,187.0,366390.437,22.695
s1,9,3445,181.5,384937.077,20.985
s1,8,3446,159.5,457636.197,19.771
s1,10,3448,33.0,892681.153,11.628
