region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,dist_to_coast,reinforcement_dist_km
p01003,6,112648,86.57,1147743.846,57.447,6.853,25.293
p01003,6,112649,29.488,2448247.517,57.447,7.409,25.293
p01003,6,112650,100.26,791205.423,26.17,14.484,155.687
p01003,6,112651,268.364,656256.266,26.17,15.531,155.687
p01003,6,112652,329.062,652408.274,18.038,18.377,35.072
p01003,6,113126,84.074,1294379.204,57.447,19.226,25.293
p01003,6,113127,475.987,729844.646,57.447,19.548,25.293
p01003,6,113128,597.814,714288.98,57.447,20.481,25.293
p01003,6,113129,599.407,678481.447,26.17,22.824,155.687
p01003,6,113130,597.728,699971.102,18.038,26.246,35.072
p01003,6,113604,443.442,817452.221,57.447,28.2,25.293
p01003,6,113605,197.377,980011.27,57.447,28.255,25.293
p01003,6,113606,593.595,807643.68,57.447,30.889,25.293
p01003,6,113607,599.407,766804.913,26.17,33.13,155.687
p01003,6,113608,599.407,781658.217,18.038,36.155,35.072
p01003,6,114082,593.423,864411.458,57.447,38.057,25.293
p01003,6,114083,339.007,957654.741,57.447,40.808,25.293
p01003,6,114084,299.187,977966.314,57.447,40.424,25.293
p01003,6,114085,585.804,905452.642,57.447,43.486,25.293
p01003,6,114086,585.976,855521.011,18.038,46.106,35.072
p01003,6,114560,595.576,939604.377,57.447,48.633,25.293
p01003,6,114561,589.42,951880.812,57.447,50.341,25.293
p01003,6,114562,215.458,1142915.263,57.447,53.458,25.293
p01003,6,114563,432.164,1006193.513,57.447,53.186,25.293
p01003,6,114564,599.407,921856.834,18.038,56.32,35.072
p01003,6,115038,271.291,1112603.718,57.447,57.458,25.293
p01003,6,115039,596.867,1015722.097,57.447,60.705,25.293
p01003,6,115040,574.353,1030936.107,57.447,62.658,25.293
p01003,6,115041,149.593,1329118.728,57.447,64.891,25.293
p01003,6,115042,521.059,990724.034,18.038,66.246,35.072
p01003,6,115516,344.603,1145320.014,57.447,71.21,25.293
p01003,6,115517,266.901,1185181.439,57.447,69.529,25.293
p01003,6,115518,596.264,1083397.773,57.447,73.011,25.293
p01003,6,115519,514.731,1116724.008,57.447,74.945,25.293
p01003,6,115520,149.938,1413381.118,57.447,76.118,25.293
p01003,6,115994,597.771,1117286.413,57.447,78.961,25.293
p01003,6,115995,348.348,1207715.848,57.447,82.787,25.293
p01003,6,115996,254.804,1270838.684,57.447,81.773,25.293
p01003,14,114565,596.35,961459.533,18.038,59.703,35.072
p01003,14,115043,599.407,1042117.05,18.038,69.66,35.072
p01003,14,115521,574.353,1097207.172,18.038,79.58,35.072
p01003,14,115997,596.566,1185417.966,57.447,84.965,25.293
p01003,14,115998,421.574,1239966.55,57.447,87.887,25.293
p01003,14,115999,226.048,1203907.891,18.038,89.074,35.072
p01003,14,116000,569.746,1218662.226,18.038,92.946,35.072
p01003,14,116472,560.104,1187671.742,57.447,84.217,25.293
