region,class,bin,capacity,supply_curve_cost_per_mw
s1,6,1,805.6953,493687.1413
s1,6,2,881.2022,509037.1625
s1,6,3,1420.126,521609.8866
s1,6,4,850.4655,542351.6663
s1,6,5,1198.8138,588391.4118
s1,13,1,14107.457,719838.3119
s1,13,2,14012.4923,957890.0553
s1,13,3,14012.1909,1123979.9532
s1,13,4,13930.4849,1246384.2511
s1,13,5,14199.1935,1367509.9834
s1,14,1,53.3801,582599.3679
s1,14,2,34.3957,610546.0924
s10,5,1,59.3638,501299.412
s10,6,1,129.3176,489668.6539
s10,6,2,254.6747,495376.3403
s10,6,3,235.6904,499154.5146
s10,13,1,9366.2707,610385.4658
s10,13,2,9823.4027,754863.4044
s10,13,3,9328.5604,896597.9762
s10,13,4,9808.2925,1059527.503
s10,13,5,9759.8629,1292355.3437
s125,7,1,211.4541,494707.1175
s129,5,1,299.8326,484085.5415
s129,5,2,228.5874,484908.0795
s129,5,3,138.573,495272.3872
s129,5,4,291.9547,533346.8979
s129,5,5,312.9193,556110.3241
s129,6,1,554.2061,478066.49
s129,6,2,560.5341,493387.275
s129,6,3,453.1282,506342.2835
s129,6,4,700.6569,513712.8306
s129,6,5,843.8361,583099.7299
s129,7,1,204.0927,476463.4881
s129,7,2,110.161,483893.0429
s129,7,3,295.3555,491800.4584
s129,7,4,654.7672,504727.4941
s13,5,1,126.6055,487601.11
s13,5,2,337.5861,506598.2754
s13,5,3,315.6744,513675.4474
s13,5,4,462.3836,530257.1353
s13,6,1,80.1993,517112.3818
s13,13,1,8103.0997,600588.9362
s13,13,2,8364.1885,742140.7345
s13,13,3,8143.3068,887711.6151
s13,13,4,8162.6356,1042569.1574
s13,13,5,8240.5965,1257430.4597
s14,5,1,200.6489,516790.8765
s14,8,1,4630.6378,659059.7568
s14,8,2,4195.8483,795833.0368
s14,8,3,4195.8483,932237.0439
s14,8,4,4195.8483,1051157.5671
s14,8,5,4795.2552,1162772.1605
s14,9,1,93.3721,564053.7976
s14,9,2,391.6119,569480.3423
s14,9,3,26.9483,575077.3865
s14,9,4,412.1891,575753.6468
s14,9,5,599.4069,1088502.1976
s14,10,1,502.3756,571617.9329
s14,10,2,565.2264,722039.3319
s14,10,3,599.4069,885081.3176
s14,10,4,599.4069,1089033.6642
s14,11,1,824.4213,564789.3314
s14,11,2,307.9257,566184.7604
s14,11,3,599.4069,690641.5423
s14,11,4,599.4069,725133.7823
s14,11,5,1198.8138,911375.4489
s14,12,1,4268.1265,600016.7634
s14,12,2,4396.0667,760249.3205
s14,12,3,4736.3218,921768.8081
s14,12,4,4530.1196,1074533.438
s14,12,5,4581.907,1212943.7774
s14,13,1,535.609,544989.1193
s14,13,2,364.4914,557610.8797
s14,13,3,599.4069,602820.9627
s14,13,4,599.4069,626796.5608
s14,13,5,599.4069,707108.5893
s15,12,1,599.4069,838459.2261
s15,12,2,549.2124,890953.9688
s15,12,3,599.4069,995621.5994
s15,12,4,536.8575,1010489.1778
s15,12,5,583.9094,1202131.9684
s15,13,1,2356.2149,581567.6824
s15,13,2,2934.8294,691939.917
s15,13,3,2316.7394,808090.4766
s15,13,4,2370.5931,923180.9722
s15,13,5,2997.0345,1190567.5966
s162,6,1,14812.4618,586321.0348
s162,6,2,15108.3338,786366.4076
s162,6,3,14690.8496,929471.5259
s162,6,4,15281.4316,1049080.7342
s162,6,5,15009.15,1160659.0926
s162,14,1,17783.5809,1297942.6418
s162,14,2,17940.5789,1420229.7089
s162,14,3,17590.7237,1608770.1438
s162,14,4,17358.0902,1774297.0027
s162,14,5,18128.4854,1901800.885
s174,5,1,4557.5847,608664.2923
s174,5,2,4246.8606,649841.3733
s174,5,3,4799.4738,696016.412
s174,5,4,4547.3819,750839.1278
s174,5,5,4628.6577,800623.2501
s174,6,1,4444.7977,620863.2853
s174,6,2,4872.0102,706244.2196
s174,6,3,4253.0166,801795.8882
s174,6,4,4738.3881,860584.2583
s174,6,5,5218.809,945653.357
s174,13,1,35324.2824,944048.546
s174,13,2,35198.2798,1104567.0275
s174,13,3,35598.3296,1315851.1293
s174,13,4,35659.2431,1510641.3238
s174,13,5,35650.6767,1678746.7766
s175,6,1,8814.2603,681464.5582
s175,6,2,8897.7742,841029.9221
s175,6,3,9590.4242,943177.8017
s175,6,4,8881.9755,1037073.755
s175,6,5,9353.5713,1140765.428
s175,13,1,20377.2941,1216002.799
s175,13,2,19755.2872,1376380.5676
s175,13,3,19762.0885,1597740.5344
s175,13,4,19684.6877,1739390.0036
s175,13,5,20437.7778,1828734.7418
s175,14,1,265.4799,1902192.2306
s175,14,2,56.7809,1902362.3968
s175,14,3,37.323,1914514.7023
s175,14,4,17.779,1943177.3561
s191,3,1,134.4404,708619.9924
s191,3,2,110.2471,736273.6777
s191,3,3,181.8798,815271.2114
s191,3,4,45.8036,873118.7133
s191,3,5,187.0026,902787.9852
s191,4,1,300.3922,478145.7003
s191,4,2,178.5651,495103.3378
s191,4,3,324.8438,514766.6078
s191,4,4,663.0325,556345.8301
s191,5,1,1176.9021,474776.51
s191,5,2,1318.015,482964.8742
s191,5,3,1408.2445,492454.5126
s191,5,4,1206.3902,503511.4013
s191,5,5,1489.7354,523764.8865
s191,6,1,293.2891,478024.9479
s191,6,2,275.3811,487055.2615
s191,6,3,258.8073,495512.0559
s191,6,4,215.1562,505850.9399
s191,6,5,515.161,551335.3083
s192,5,1,51.486,466985.9457
s192,5,2,153.0373,472781.6402
s192,5,3,472.0695,479278.5688
s192,5,4,403.4072,484443.5519
s192,5,5,274.7784,485092.2948
s197,4,1,638.7531,477499.3447
s197,4,2,586.5354,491321.7833
s197,4,3,503.4949,497008.8944
s197,4,4,464.6221,506580.7235
s197,4,5,855.5022,536010.6163
s197,5,1,1177.4616,473967.0632
s197,5,2,1378.5412,484065.4862
s197,5,3,1082.9274,493190.5398
s197,5,4,1387.0216,504823.6186
s197,5,5,1704.5903,520249.2692
s197,6,1,29.8756,461173.5379
s198,5,1,930.7511,479521.8454
s198,5,2,889.2953,485069.3881
s198,5,3,645.2105,498889.2491
s198,5,4,1249.3958,521607.1342
s198,5,5,1085.7255,554388.2824
s2,7,1,43.0054,459919.0519
s2,7,2,45.287,523684.531
s2,14,1,19.4149,515531.269
s2,14,2,17.1333,538274.6203
s2,14,3,51.9165,570912.7796
s2,14,4,69.4372,584054.4699
s20,5,1,51.0555,514830.5199
s20,5,2,297.7232,531931.2102
s20,6,1,52.3469,515874.2774
s20,8,1,7902.0632,795534.6449
s20,8,2,7192.8828,965597.0864
s20,8,3,7721.8624,1071676.6616
s20,8,4,7792.2897,1144696.8471
s20,8,5,7792.2897,1242511.9528
s20,9,1,1081.4206,814227.8968
s20,9,2,599.4069,1061812.0868
s20,9,3,1177.8492,1096287.4341
s20,9,4,599.4069,1112358.3802
s20,9,5,1198.8138,1158351.7858
s20,10,1,900.1435,726779.546
s20,10,2,1186.5019,882385.3481
s20,10,3,1198.8138,948060.8479
s20,10,4,599.4069,978153.6026
s20,10,5,1431.4908,1051263.1151
s20,11,1,1698.7787,729394.0095
s20,11,2,1532.9991,857716.0282
s20,11,3,1198.8138,891412.7239
s20,11,4,1798.2207,952636.4967
s20,11,5,1798.2207,1039693.3169
s20,12,1,1688.1888,623750.2897
s20,12,2,1720.4752,663921.6459
s20,12,3,1794.949,725166.9229
s20,12,4,1798.2207,833793.513
s20,12,5,1798.2207,904511.3075
s20,13,1,2813.648,550887.7029
s20,13,2,3041.0299,605969.2979
s20,13,3,2911.9276,642785.3905
s20,13,4,2997.0345,681518.2419
s20,13,5,2997.0345,746856.6236
s20,14,1,587.0089,528083.0267
s20,14,2,1071.089,542679.6059
s20,14,3,510.7271,547588.0007
s20,14,4,1248.4486,559944.5324
s20,14,5,851.8,571962.4184
s206,5,1,1434.8487,484961.019
s206,5,2,1711.5211,516083.2957
s206,5,3,2033.8681,542490.1113
s206,5,4,1598.1314,583172.1759
s206,5,5,1871.0156,651400.8066
s211,3,1,116.7905,624602.6504
s211,3,2,21.6964,669914.6533
s211,3,3,47.095,881325.1903
s211,4,1,374.823,494852.9812
s211,4,2,598.632,510604.053
s211,4,3,843.707,525733.7085
s211,4,4,583.2637,537974.6722
s211,4,5,647.7933,559798.3248
s211,5,1,2210.3669,479519.6476
s211,5,2,1968.0468,490965.1176
s211,5,3,2334.7338,498427.0108
s211,5,4,2242.0075,516571.4278
s211,5,5,2191.985,544861.4701
s212,3,1,48.817,527139.4482
s212,4,1,111.4956,480875.0431
s212,4,2,217.3087,493532.7877
