region,class,bin,capacity,supply_curve_cost_per_mw
s1,6,1,155.1839,224514.9873
s1,7,1,444.3408,46825.5055
s1,7,2,280.5782,78411.4964
s1,7,3,272.5004,113129.6943
s1,7,4,250.0761,164809.5455
s1,7,5,298.0119,270921.4203
s1,8,1,975.1542,47021.2423
s1,8,2,939.2765,106753.1111
s1,8,3,976.4568,173798.9425
s1,8,4,746.2528,209079.2781
s1,8,5,1143.6917,258719.6286
s1,9,1,1413.1117,33269.3748
s1,9,2,1508.3618,60013.8145
s1,9,3,1349.5351,122094.1454
s1,9,4,1241.3077,212269.9014
s1,9,5,1463.9214,258753.3245
s1,10,1,1764.6951,50419.4892
s1,10,2,1660.931,80801.2896
s1,10,3,1612.3271,111022.0335
s1,10,4,1447.0363,145495.1653
s1,10,5,1824.0459,208192.8662
s10,6,1,36.1922,191321.6171
s10,7,1,734.382,27299.7808
s10,7,2,503.1351,67695.0147
s10,7,3,637.2609,76747.4693
s10,7,4,477.6971,110199.6549
s10,7,5,566.2357,149049.622
s10,8,1,816.6236,24525.3122
s10,8,2,714.3182,58885.7443
s10,8,3,953.5327,84033.2123
s10,8,4,664.932,114063.6319
s10,8,5,1098.8814,145407.434
s10,9,1,996.3868,18684.3924
s10,9,2,965.924,55137.6571
s10,9,3,848.0889,85285.7304
s10,9,4,696.6955,98661.2463
s10,9,5,1173.2805,129334.8987
s10,10,1,311.6516,44504.4667
s10,10,2,202.7366,76086.6358
s10,10,3,67.9202,112953.3614
s10,10,4,308.3514,116590.8562
s100,4,1,908.2773,4895.4489
s100,4,2,730.8087,13844.4304
s100,4,3,530.786,23141.9412
s100,4,4,795.4204,36653.3047
s100,4,5,781.9799,58024.6627
s100,5,1,1128.4117,5631.198
s100,5,2,1024.808,15252.6088
s100,5,3,912.9893,21982.5202
s100,5,4,1022.3108,40098.7976
s100,5,5,1038.2824,67540.2281
s100,6,1,1273.303,26406.3269
s100,6,2,1299.9008,41509.168
s100,6,3,1159.1909,64388.6954
s100,6,4,1173.1122,82380.0551
s100,6,5,1220.7869,105811.2976
s100,7,1,593.0709,60732.5908
s100,7,2,458.6702,98732.0127
s100,7,3,478.7137,134426.626
s100,7,4,281.0473,179006.8941
s100,7,5,768.9098,202726.638
s101,3,1,298.4667,-85.6649
s101,3,2,108.5608,10198.9285
s101,3,3,145.7956,52265.7277
s101,3,4,103.4721,76106.4055
s101,4,1,1111.5077,7692.1882
s101,4,2,1080.9879,17851.2689
s101,4,3,1103.45,45529.279
s101,4,4,970.5854,66235.2499
s101,4,5,1157.7625,184500.8431
s101,5,1,2520.232,7592.3256
s101,5,2,2354.3861,31348.012
s101,5,3,2182.1117,67912.5415
s101,5,4,2565.5478,139694.3397
s101,5,5,2390.3186,252860.8908
s101,6,1,2545.1813,41335.1219
s101,6,2,2122.3801,130821.6046
s101,6,3,2400.9302,228929.652
s101,6,4,2309.3852,279966.3611
s101,6,5,2529.6539,346493.7858
s101,7,1,735.5573,182171.6999
s101,7,2,817.4242,225870.0316
s101,7,3,586.4812,240599.0456
s101,7,4,927.1826,267811.1371
s101,7,5,783.4062,312846.1445
s101,8,1,281.299,212456.8919
s102,3,1,48.5758,53473.0511
s102,4,1,163.712,35092.7001
s102,4,2,275.8463,58531.5817
s102,4,3,176.1342,84044.4056
s102,4,4,190.7659,113709.4174
s102,4,5,207.7312,167664.6783
s102,5,1,707.7143,16076.8319
s102,5,2,826.9187,36117.6518
s102,5,3,752.4845,67126.4808
s102,5,4,815.2186,84515.2697
s102,5,5,815.7836,120876.6981
s102,6,1,3208.8678,19256.5129
s102,6,2,3130.5571,44165.3662
s102,6,3,2997.1255,63830.6575
s102,6,4,3134.4463,89831.4823
s102,6,5,3115.8558,139595.2711
s102,7,1,138.2753,157976.1277
s102,7,2,104.889,168061.2972
s102,7,3,92.6255,198435.1979
s102,7,4,94.7289,239367.1027
s103,5,1,543.1572,31264.0888
s103,5,2,243.1436,52557.5799
s103,5,3,500.8354,56466.5796
