region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_MW,capital_adder_per_MW,dist_km,reinforcement_dist_km
p01001,2,71325,2930.05,118475.798,211974.772,-93498.974,83.73,33.444
p01001,2,71326,3343.687,130750.137,223837.088,-93086.951,85.102,33.444
p01001,2,71327,3496.03,133146.335,219694.789,-86548.454,89.941,33.444
p01001,2,71328,3466.731,-36559.352,31517.455,-68076.807,9.91,135.716
p01001,2,71706,3290.714,162684.711,261266.764,-98582.053,102.141,33.444
p01001,2,71707,2888.946,170563.487,256330.76,-85767.273,102.632,33.444
p01001,2,72087,2083.973,186039.284,263160.129,-77120.845,114.472,33.444
p01001,3,71708,2677.696,201870.527,236787.342,-34916.814,106.102,33.444
p01001,3,72086,2753.872,-13759.18,73368.412,-87127.592,26.22,144.287
p01001,3,72088,1478.244,63650.047,68156.2,-4506.153,25.523,135.716
p01001,3,72466,1537.992,215649.492,293068.388,-77418.896,124.474,33.444
p01003,2,77019,382.698,47444.95,139240.521,-91795.571,36.238,52.126
p01003,2,77020,3497.103,27164.606,120111.105,-92946.499,43.519,52.126
p01003,2,77399,1623.409,-7221.717,87980.628,-95202.345,25.593,52.126
p01003,2,77400,3996.951,-1359.687,94059.031,-95418.718,34.468,52.126
p01003,2,77779,2025.908,-36136.731,50643.806,-86780.536,17.227,52.126
p01003,2,77780,3358.26,-2601.92,85331.561,-87933.481,29.642,52.126
p01003,2,78159,1814.27,-63206.148,27309.088,-90515.236,3.933,63.425
p01003,2,78160,2907.281,100128.357,119487.494,-19359.137,39.965,25.293
p01003,2,78161,3450.549,53153.914,141546.863,-88392.949,50.769,25.293
p01003,2,78540,2891.183,76894.634,107436.378,-30541.744,35.336,25.293
p01003,2,78541,3274.859,56351.433,139448.119,-83096.686,46.434,25.293
p01003,3,78539,1993.175,5784.979,73665.213,-67880.234,22.619,25.293
p01003,3,78918,124.803,233539.852,166106.205,67433.647,23.903,2.781
p01003,3,78919,2034.333,48681.048,65694.433,-17013.386,21.259,25.293
p01003,3,78920,3030.628,60181.561,95224.408,-35042.848,33.292,25.293
p01003,3,78921,3541.413,53098.348,124880.193,-71781.845,45.184,25.293
p01003,3,78922,2481.662,83613.173,154824.457,-71211.284,57.525,25.293
p01003,3,79299,652.968,656152.846,149705.282,506447.564,32.708,25.293
p01003,3,79300,1777.103,184519.834,124783.849,59735.986,39.027,25.293
p01003,3,79301,2030.467,103736.384,129469.719,-25733.334,49.505,25.293
p01003,3,79302,3410.606,103068.123,162940.84,-59872.717,60.867,25.293
p01003,3,79679,422.93,609547.664,163397.765,446149.899,48.914,25.293
p01003,3,79680,1523.374,180603.948,131666.206,48937.742,49.347,25.293
p01003,3,79681,1177.811,221513.811,187774.273,33739.538,55.951,25.293
p01003,3,79682,2386.879,131545.658,174477.356,-42931.698,66.377,25.293
p01003,3,80059,183.537,197191.391,105836.764,91354.627,20.941,121.884
p01003,3,80060,785.051,256846.373,189059.939,67786.435,60.761,25.293
p01003,3,80061,1473.946,341662.598,171220.897,170441.702,66.311,25.293
p01003,3,80062,2167.645,209089.907,209936.406,-846.498,73.477,25.293
p01003,3,80440,235.507,78659.35,89957.952,-11298.602,27.877,121.884
p01003,3,80441,1309.072,391235.071,221527.923,169707.148,77.317,25.293
p01003,3,80442,829.445,598862.764,248644.25,350218.514,83.934,25.293
p01003,3,80820,60.559,616244.329,354314.565,261929.763,13.682,160.823
p01003,3,80821,53.976,980115.42,436649.636,543465.784,6.155,160.823
p01005,2,72858,3452.197,87469.962,175308.811,-87838.849,69.322,194.895
p01005,2,73238,4039.127,113848.012,201012.004,-87163.992,81.267,194.895
p01005,2,73616,3348.285,174388.15,262806.419,-88418.269,106.132,149.254
p01005,2,73617,1999.688,139583.073,231694.739,-92111.666,90.892,194.895
p01005,2,73618,4129.194,140740.215,227529.67,-86789.456,93.704,194.895
