,,dupvsc1,dupvsc2,dupvsc3,dupvsc4,dupvsc5
p1,class1,29024.45186,30667.88625,34012.36459,37456.78997,42733.47342
p1,class2,29646.071980787,40352.3464813996,62832.9492785582,131899.978741246,237379.630519539
p1,class3,28283.5174052713,35632.4255605234,42770.8737218315,49476.2800493827,68748.03478
p1,class4,24507.2636186029,26877.5341841756,30847.5661141345,39187.6638014294,51181.2574633217
p1,class5,29236.42043,29719.03732,35287.31723,37141.33295,0
p2,class2,27367.1885272168,35446.2742469966,43711.9376946969,72259.861106007,179522.91166017
p2,class3,24664.1384955263,29762.0847780695,33724.7857265724,39816.7150596433,49766.5077769436
p2,class4,23995.64851,31039.3643425013,37040.6457453518,46106.3957231402,145497.216185257
p2,class5,34080.3557049843,51851.3295784002,82272.8214158817,107149.044295577,131091.209335968
p3,class4,28296.1966732765,37164.2527554765,51712.3260153863,70935.9756734047,106526.169449649
p3,class5,29653.6691404255,38186.8223483858,50434.1437506388,60070.5388414546,73355.6259734178
p4,class4,26146.8818078075,31394.01501,41613.5315160886,44438.0407,46358.32584
p4,class5,27384.2793411339,30026.5397541667,35044.2894238551,44367.8044321047,55997.7249560396
p5,class2,28108.1839933419,34211.8618657657,40253.6819471153,101629.000521334,142387.480740799
p5,class3,29637.67019165,42257.6027921536,66959.4546236454,111034.210121915,231095.596415389
p5,class4,28116.4886927019,33250.9944959569,40404.4473691535,134927.871146141,284824.3066
p5,class5,29254.2131339868,39161.2434658496,45760.5972287423,62822.2294094489,79637.6737797337
p6,class3,24973.9670388862,29189.6468190885,33647.6797156027,40608.2779225623,64239.5073946652
p6,class4,26825.2544468744,33401.9156028571,37026.2741060785,55273.9576211709,142436.361891408
p6,class5,33495.5129480382,44703.5093317655,78394.6588369281,106151.696981163,132039.568553243
p6,class6,27950.8651524939,35464.1584364251,45800.1615579245,54483.2407816858,83500.3490309331
p7,class5,27824.6952482609,36237.569785545,44886.7919821683,66692.9322885017,207100.10555743
p7,class6,24488.8426,27339.63535,33075.54429,37633.57614,183286.6773
p8,class5,48445.78004,0,0,0,0
p8,class6,29439.8617515226,37825.2715946311,47650.1880781124,132679.59965939,253352.1899
p9,class3,125736.074178977,353811.8991,518759.0794,675161.992210471,976983.283328571
p9,class4,39954.0428568331,88057.1030920107,141755.638700597,406415.405152776,784377.845687314
p9,class5,40746.078264232,140080.124137405,268511.13451334,408978.793435455,576223.571458048
p9,class6,60539.2190117781,280943.879106589,527105.287741754,818554.817461186,1075963.5706242
p9,class7,69508.1424974969,384993.26188605,879756.780807605,1087370.1485517,1261299.37753706
p10,class6,43844.5740339886,138297.522643015,297737.733570527,498171.079077455,1208111.23154293
p10,class7,46137.8452651738,157667.023329565,337462.878126832,464836.52012165,811818.908949002
p10,class8,54811.6774105534,165427.808114148,374639.268766433,628571.835781293,889212.314345597
p10,class9,32733.97203,38894.27898,50445.85689,349341.4826,845526.3921
p11,class6,37391.3303346524,65272.0182722669,101309.243294863,161003.617691688,221035.816209981
p11,class7,44825.1641965809,96958.2701722023,157642.110875758,184595.210525727,278695.292834932
p12,class6,33316.6791765522,44252.3933502356,74694.7202710132,129460.492492414,378456.364900264
p12,class7,33945.5185376485,78131.5955343651,149352.615892635,180617.963538062,256525.595353148
p12,class8,40326.5091031868,135906.21161522,175238.355199899,184858.088735637,194895.839896196
p13,class7,239123.7539,0,0,0,0
p13,class8,28415.0038990075,36470.0234241285,55509.7845990559,67091.8876472893,187087.617987834
p14,class3,28694.10366,28731.56814,34187.22899,36294.0664662069,42947.20751
p14,class4,25042.5840370102,31896.1294533727,40528.5682909391,50856.9524647704,87626.4364468619
p15,class3,24432.78864,24738.73364,27248.99183,33306.54413,0
p15,class4,25487.4934,29649.59830036,47582.73337,161527.9059,167260.022899048
p15,class5,28732.0961395617,43205.8241790435,75244.1234719717,118169.682605532,182005.392225853
p15,class6,29360.6436430573,37401.9346176797,51726.9652391439,71946.3115709834,115474.8524
p16,class4,31891.3898182558,47923.1441791207,80733.7401262232,252878.175842017,288017.80312146
p16,class5,27947.2222262592,36861.8184092653,48125.0988088008,67992.0122877202,168114.229211826
p16,class6,36865.6147966336,66375.2797815395,86424.3056858758,100053.831238372,136109.4666
p17,class3,43936.3940549037,95784.28985,100427.3031,143382.5656,260301.36703132
p17,class4,31604.5588963556,44058.1949629631,71446.2419285328,181727.69543297,289781.619104928
p17,class5,35394.30131,40316.97363,62428.63733,0,0
p18,class4,34666.5957630898,73793.1541525112,121564.438528498,261266.604247986,430250.964647197
p19,class4,35716.28113,61742.47026,0,0,0
p20,class4,28716.5817293544,39773.7542181395,62562.6106563974,85967.7901069754,134757.613598034
p20,class5,26054.5792252618,30188.7883682965,42688.4193373587,67509.1583478387,101970.596869931
p21,class4,35954.70388115,36938.443392,41051.3512222917,54743.16831,89113.98429
p21,class5,30518.1841842664,51077.5956613602,106948.798194973,191502.31099013,339424.161164362
p21,class6,32000.8182673477,40191.5694547361,72713.54216,212221.271382109,359853.091
p22,class4,28814.3527677136,34415.1073328169,42301.5677978428,44364.81678,60399.4893949284
p22,class5,28923.65312,30301.19222,0,0,0
p23,class5,26498.6303197799,32437.8999180527,38349.1030586695,42216.6384848069,84417.1842
p24,class5,32511.613509885,44138.2222231437,94994.4261640974,172094.445651927,292449.985332001
p24,class6,25570.67586,31070.1266139567,40051.1236853059,239979.611105726,253345.638777273
p25,class4,37012.10812,62445.06012,144234.5346,308021.8556,0
p25,class5,34539.7668031413,73768.9814757261,127812.565388761,210605.301034514,339873.472861344
p25,class6,29800.9975639961,42864.6661332705,64153.7356308723,98318.1215406676,228054.795889929
p25,class7,33574.6773485255,58019.4474836155,76492.8113472876,175430.931151564,373148.511593562
p25,class8,36846.906436724,56817.9553168308,101618.01389987,237851.586259341,300978.230847912
p26,class4,47634.04484,135772.7417,139427.7145,0,0
p26,class5,36361.8102524275,41588.725564,91573.4880156786,122020.216936424,132159.993939512
p26,class6,31017.2990490196,39887.9694698501,110650.344,231973.972303355,239522.287664538
p27,class7,36380.8817665403,43320.77437,66645.2255,125619.8364,409972.3337
p27,class8,29461.0898881892,36358.4693424625,55653.9906067108,101122.950812112,160001.408820839
p28,class7,41519.5036695401,85143.9814041304,161392.795442771,238071.015269628,306333.061708645
p28,class8,35882.287739013,78291.6147704602,111661.846750511,220364.670420466,441392.162682411
p29,class7,50394.5691776,70211.0870050244,77075.5388120885,106954.822150667,180814.3824
p29,class8,37878.45786,48627.3433641895,50282.89145,52629.88231,57731.6268478571
