,,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p1,class1,37456.78997,41621.54069,48543.01123,0,0
p1,class2,32652.3493789692,59765.9759039675,104399.110593918,156791.875959833,228726.679984863
p1,class3,36093.2875755085,123259.668091726,159366.352658339,211654.863912075,244386.531317917
p1,class4,50470.4105305702,113032.720675036,172579.375689691,191433.716549171,223030.618750297
p1,class5,41634.5074933141,75920.1867097664,150221.414081461,165288.045470843,180297.694604615
p2,class2,35702.0755041315,91082.5509365384,148289.720202764,197105.859466862,341425.116498954
p2,class3,46966.3230419137,80782.9269649589,106187.305615912,133832.803882711,187470.848522957
p2,class4,72966.6847180936,127197.059288815,173973.34472328,304674.580310368,366957.627289617
p2,class5,56695.3423210085,180381.133478817,228428.535670759,282351.634897626,329366.718553068
p3,class2,192513.50084,289632.053774869,312465.880428571,333643.052546829,373648.762180791
p3,class3,76920.5493561357,241775.76676009,281444.784668697,315647.096013165,365373.593637174
p3,class4,66255.7341887465,105718.120804007,145620.239906135,191422.113402384,278802.496702781
p3,class5,56134.5505971468,152207.321041058,178896.616439657,210040.367427496,253905.599617035
p4,class4,69916.600325775,114885.078439741,145848.588932231,175605.991599172,215547.950689713
p4,class5,54174.7147393018,79513.0687460045,102987.753709697,126054.082398263,158230.177282848
p5,class2,39033.632677234,83637.9496679167,131750.507683597,212788.02812,331908.637830508
p5,class3,68114.2202164507,117340.129498675,166685.784480356,231859.720285886,300775.115250099
p5,class4,82567.5304553465,187635.981095999,279549.479600257,376907.479914717,437369.180702617
p5,class5,83563.4916751348,243131.775810985,320103.829629016,371488.670899652,420760.81608487
p5,class6,255932.7282,0,0,0,0
p6,class3,60568.0728397273,226321.388214973,264106.038332955,284730.003966339,345556.420328185
p6,class4,38378.7530708922,89465.6436109793,116564.728943085,182157.363362926,259953.222158461
p6,class5,95008.8363638334,158300.655343292,230831.09921198,297517.41735157,350906.10249313
p6,class6,70777.1403489446,243754.907381532,275197.303785659,301881.248149816,344805.324511593
p7,class4,166633.239780495,217767.415965166,261963.703530258,290136.386466464,365567.363412919
p7,class5,134685.405117994,208295.118853702,278085.556396925,353152.062855117,426583.175954665
p7,class6,148045.52382748,310806.5908117,383806.240824834,426396.634883949,463855.416907958
