,,,wsc1,wsc2,wsc3,wsc4,wsc5
1,class12,wind-ofs,1015.2,1422,2275.2,2559.6,2275.2
1,class13,wind-ofs,1969.2,2844,2559.6,3412.8,3697.2
1,class14,wind-ofs,1116,2091.6,4773.6,2275.2,1137.6
1,class15,wind-ofs,187.2,223.2,0,0,0
1,class5,wind-ofs,1116,1339.2,669.6,892.8,1785.6
2,class14,wind-ofs,187.2,187.2,0,0,0
3,class15,wind-ofs,187.2,0,0,0,0
10,class11,wind-ofs,223.2,223.2,284.4,0,0
10,class12,wind-ofs,1400.4,730.8,1868.4,792,568.8
10,class13,wind-ofs,3351.6,3128.4,1422,1706.4,568.8
10,class14,wind-ofs,284.4,568.8,284.4,284.4,284.4
10,class5,wind-ofs,446.4,223.2,223.2,223.2,223.2
13,class11,wind-ofs,954,568.8,568.8,568.8,853.2
13,class12,wind-ofs,1684.8,2599.2,2275.2,1706.4,3128.4
13,class13,wind-ofs,1076.4,568.8,1990.8,1990.8,568.8
13,class14,wind-ofs,284.4,284.4,284.4,284.4,0
13,class5,wind-ofs,223.2,223.2,223.2,223.2,223.2
14,class10,wind-ofs,446.4,1177.2,446.4,1299.6,1360.8
14,class11,wind-ofs,954,1076.4,1706.4,2437.2,1706.4
14,class12,wind-ofs,223.2,223.2,853.2,1137.6,853.2
14,class13,wind-ofs,284.4,284.4,284.4,284.4,0
14,class4,wind-ofs,223.2,0,0,0,0
14,class5,wind-ofs,223.2,223.2,0,0,0
14,class9,wind-ofs,223.2,284.4,223.2,0,0
15,class11,wind-ofs,669.6,853.2,284.4,284.4,284.4
15,class12,wind-ofs,284.4,284.4,284.4,284.4,284.4
15,class13,wind-ofs,284.4,0,0,0,0
20,class10,wind-ofs,223.2,223.2,223.2,223.2,0
20,class11,wind-ofs,954,1015.2,284.4,2214,1137.6
20,class12,wind-ofs,892.8,2437.2,2214,1990.8,1990.8
20,class13,wind-ofs,446.4,1177.2,1238.4,2275.2,1076.4
20,class14,wind-ofs,669.6,730.8,892.8,792,223.2
20,class15,wind-ofs,446.4,223.2,507.6,730.8,284.4
20,class5,wind-ofs,223.2,223.2,223.2,223.2,0
25,class11,wind-ofs,446.4,284.4,284.4,223.2,446.4
25,class12,wind-ofs,1116,1807.2,1076.4,1238.4,568.8
25,class13,wind-ofs,446.4,730.8,1645.2,1360.8,568.8
25,class14,wind-ofs,669.6,1868.4,1137.6,1137.6,853.2
25,class15,wind-ofs,223.2,446.4,1076.4,853.2,284.4
25,class5,wind-ofs,446.4,223.2,446.4,223.2,954
29,class11,wind-ofs,223.2,223.2,223.2,0,0
29,class12,wind-ofs,730.8,892.8,954,1116,669.6
29,class13,wind-ofs,730.8,892.8,853.2,1299.6,2091.6
29,class14,wind-ofs,3168,3920.4,2275.2,3920.4,2559.6
29,class15,wind-ofs,568.8,1461.6,3290.4,3106.8,1753.2
29,class5,wind-ofs,223.2,223.2,223.2,0,0
31,class13,wind-ofs,223.2,223.2,0,0,0
31,class14,wind-ofs,446.4,792,1177.2,1076.4,853.2
31,class15,wind-ofs,223.2,730.8,6926.4,3697.2,4312.8
125,class5,wind-ofs,223.2,0,0,0,0
129,class4,wind-ofs,223.2,0,0,0,0
129,class5,wind-ofs,820.8,446.4,669.6,1177.2,669.6
162,class12,wind-ofs,2649.6,6624,5630.4,1987.2,2318.4
162,class13,wind-ofs,1987.2,2649.6,4968,3643.2,2649.6
162,class14,wind-ofs,1656,1987.2,1656,331.2,1656
162,class2,wind-ofs,223.2,0,0,0,0
162,class3,wind-ofs,223.2,223.2,223.2,223.2,223.2
162,class4,wind-ofs,2354.4,4914,5342.4,4266,5119.2
162,class5,wind-ofs,6541.2,5875.2,7574.4,8233.2,4636.8
174,class1,wind-ofs,187.2,0,0,0,0
174,class10,wind-ofs,3412.8,6825.6,3744,4690.8,3456
174,class11,wind-ofs,2606.4,5065.2,5914.8,4968,1324.8
174,class12,wind-ofs,2649.6,3312,2318.4,2318.4,993.6
174,class2,wind-ofs,374.4,374.4,561.6,187.2,410.4
174,class3,wind-ofs,561.6,1641.6,2088,1785.6,669.6
174,class4,wind-ofs,1720.8,4417.2,7452,8632.8,4266
174,class5,wind-ofs,568.8,2275.2,1990.8,1706.4,1990.8
174,class9,wind-ofs,1422,1706.4,1422,1422,2559.6
175,class11,wind-ofs,1231.2,2980.8,3312,3643.2,3312
175,class12,wind-ofs,2318.4,3312,3974.4,4305.6,3974.4
175,class13,wind-ofs,1987.2,2649.6,3643.2,2649.6,993.6
175,class14,wind-ofs,331.2,0,0,0,0
