,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,2898.5,1859.72,1974.34,2571.36,1765.53,1846.81,2026.94,1941.81,1908.38,984.98,1750.02,2911.83,1762.88,2254.69,2044.31
p2,6997.3,5849.41,4827,5866.99,6860.05,5580.92,5762.32,6489.61,6088.27,6034.34,5823.38,5404.72,6728.53,5745.21,6390.88
p3,9870.15,10191.66,9408.69,9881.99,8786.75,10898.59,9880.87,10104.45,9149.32,10167.93,10117.29,9246.74,9711.52,10269.73,10023.94
p4,2325.38,1694.39,2424.09,1139.96,3101.1,1865.68,2165.18,1562.1,1576.25,3060.99,1644.86,2250.34,2241.26,1706.01,2627.83
p5,26977.06,19138.89,20994.11,18754.22,20466.7,20821.14,20283.65,19496.14,20229.54,20494.37,19886.16,19637.08,20402.11,20375.75,20122.33
p6,8942.3,7105.71,6417.62,7174.23,6233.77,7604.78,6444.01,7218.53,6612.65,7123.21,7074.47,6459.63,7232.68,6919.43,7130.39
p7,30169.5,26977.9,27647.84,26597.76,27984.09,27166.58,25991.07,28582.25,27555.31,27002.46,27177.54,27235.88,27165.55,26953.11,28384.83
p8,19603.06,17898.61,16601.6,16508.44,16592.28,16230.05,16956.3,16444.75,16541.94,16589.49,15825.7,16960.42,16124.15,16701.28,17112.53
p9,25491.64,23295.22,23400.27,24212.02,23591.31,23450.41,23798.53,23764.82,23558.13,23433.07,23436.61,23810.46,23472.24,23912.52,23856.51
p10,32494.64,29696.83,32072.6,29824.49,31984.83,30660.31,30795.3,30652.08,30352.72,31521.33,30533.94,30723.81,30683.33,30657.65,31273.63
p11,3155.72,1776.96,1780.06,1400.63,1434.77,1796.56,2035.79,2034.78,2073.15,2014.31,1621.24,1322.1,2135.98,1844.82,2174.65
p12,120001.61,117246.64,118487.33,117506.69,117682.31,117367.62,117881.1,117137.24,117826.82,118014.97,117926.75,117261.54,117774.23,118191.74,117794.94
p13,5835.17,4637.78,4416.08,4313.49,3731.68,4509.98,4344.42,5007.79,4493.04,4263.23,4408.15,4189.18,4640.34,4323.57,4729.21
p14,11545.92,10512.65,11609.15,10648.07,10706.56,11232.92,11309.21,10848.02,10945.51,11043.97,10686.16,11149.8,10311.38,11388.42,11400.35
p15,88232.36,87908.29,87268.21,88075.02,87165.32,87455.64,87449.82,87434.67,87539.42,87144.68,87816.34,86995.81,87605.58,87497.22,87711.98
p16,32858.55,30348.03,30391.63,30369.08,30526.82,29607.91,30529.77,30447.72,30966.38,30080.83,30540.87,29628.69,31311.48,30102.76,30669.97
p17,60433.89,58328.85,57912.99,57924,57303.47,58272.71,58033.27,58257.97,57642.48,58038.12,57401.31,58572.98,58079.99,57813.69,58140.41
p18,19912.05,18277.24,18680.65,18114.1,18580.65,18680.03,17499.57,19394.14,18456.36,17561.93,18744.79,18922.52,17863.54,18742.27,18802.61
p20,2583.8,1409.58,521.88,1789.38,1348.53,1759.45,1447.99,1876.97,1236.09,1146.94,1770.44,1310.91,1230.71,1860.52,1654.79
p21,44787.13,43006.99,43391.69,44519.89,43309.03,43953.13,43461.32,43476.6,44108.48,43068.32,43391.07,44675,43682.02,43154.01,44196.11
p22,10301.51,9473.2,9944.28,8532.43,9530.29,9372.36,9779.1,9559.24,9549.99,8658.3,9835.27,9555.77,9324.06,9548.83,9398.65
p23,444.4,684.94,0,0,1029.87,0,0,1059.3,347.28,351.68,179.66,211.81,440.43,380.69,564.19
p24,5566.02,6157.08,4921.76,5398.88,4753.41,5524.27,5541.17,5258.32,4250.93,6280.11,5199.08,5675.87,4735.04,5401.29,5714.43
p25,133076.62,131217.24,131047.06,130722.9,130651.72,130475.34,130884.19,129596.38,131291.5,130564.61,131097.19,130670.01,130054.1,131154.57,130699.01
p26,32012.74,30444.77,29773.12,30093.04,29836.79,30147.15,29339.8,30321.02,30304,30172.01,29458.03,30225.17,30226.58,29872.06,30204.53
p27,26509.64,25106.43,24728.71,25222.02,25355.19,25175.43,23959.87,25998.09,24884.78,25544.9,25183.48,25325.32,24926.76,25309.5,25168.95
p28,29240.03,25632.67,25664.5,26903.51,26089.64,26370.89,26136.23,26343.47,26119.44,26159.7,25859.72,25713.5,26816.8,26252.8,26233.97
p29,7652.27,7093.13,5759.11,6116.75,6238.31,6350.32,6699.28,6340.4,5569.41,6840.08,5837.47,6728.76,5227.39,7202.21,6437.01
p30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p31,20993.26,20846.19,21135.9,20107.15,19707.88,21684.38,19896.09,21029.46,20563.77,19680.04,21305.71,21191.31,20479.76,19976.76,21280.69
p32,181.39,0,0,0,0,0,0,0,0,0,0,0,0,0,239.46
p33,37190.52,35071.78,35134.26,36265.51,34956.54,36152.83,35894.48,35844.15,35442.9,35461.08,35644.7,34825.68,36472.44,35124.78,36341.68
p34,23776.84,24321.95,23276.71,24020.92,23449.61,23272.37,23953.76,23689.14,23398.63,23690.39,24205.16,22999.47,24448.62,23601.82,23829.28
p38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p47,519.77,0,0,0,0,0,0,0,0,0,0,0,0,0,316.14
p59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p61,11418.63,10901.77,10453.07,11443.56,11046.83,10590.45,11050.23,11091.04,10830.24,11271.15,10538.57,11010.14,11278.08,10918.36,11029.77
p85,765.7,0,0,0,0,585.44,0,0,359.15,0,0,0,0,545.48,205.87
p89,0,0,0,0,0,0,0,549.83,0,0,0,0,0,0,0
p90,364.69,0,0,0,0,0,0,0,0,0,0,0,0,0,210.67
p92,1148.13,2417.1,1663.3,1515.57,1928.55,952.31,1906.55,1967.01,1473.39,1732.25,0,3809.3,1080.91,2193.14,1825.86
p94,1475.37,1400.95,1448.61,1953.19,1037.49,1490.35,1377.41,1122.01,1394.17,1491.13,1793.4,1182.33,1153.23,1767.93,1436.72
p95,2431.17,1594.73,1358.11,1716.39,1203.18,1488.05,1381.05,1709.59,1241.65,1574.33,1283.01,1357.67,1923.21,1309.69,1692
p97,5745.47,5110.25,5776.05,5227.9,5581.98,5498.63,5569.14,5276.2,5266.09,5648.32,5027.39,5993.06,5434.78,5155.94,5922.54
p99,802.74,3624.95,2353.39,1472.02,2921.63,2122.73,2175.64,2256.58,1958.91,2352.7,1823.93,2269.89,2330.05,2093.53,2235.57
p100,0,0,0,0,0,0,0,361.27,0,0,0,0,0,0,0
p109,574.41,0,751.7,0,0,604.18,407.66,0,435.54,366.07,0,488.27,433.1,0,542.84
p110,751.05,507.46,813.19,0,770.34,484.29,0,898.6,372.36,529.91,0,771.53,341.65,459.76,736.98
p116,2438.73,0,2737.55,2603.87,2090.99,1550.59,2437.28,769.12,2532.13,2008.27,1959.59,2078.82,1820.46,1801.85,2209.36
p117,0,0,0,0,0,0,0,369.38,0,0,0,0,0,0,0
p118,6119.36,5160.33,4972.84,5561.41,5490.21,5597.94,5310.09,5362.63,5587.81,5671.02,4400.81,6402.6,5351.99,5457.72,5472.52
p119,596.75,229.69,0,0,0,902.03,0,0,721.24,0,426.61,0,290.38,291.02,318.72
p120,0,0,0,0,0,0,0,307.27,0,0,0,0,0,0,0
p121,1631.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1191.49
p122,734.81,0,2153.97,603.76,620.97,576.48,1105.09,0,851.46,885.72,1167.65,359.53,1023.49,495.25,1048.84
p127,3006.71,2393.27,2698.04,2429.72,2548.75,2489.78,2424.65,1831.94,2869.51,2221.76,2260.57,2401.98,2051.19,2513.29,3035.98
p129,758.93,0,778.09,604.42,0,583.8,519.49,0,713.53,0,575.52,676.9,0,736.17,389.74
p130,1174.28,1700.33,1571.46,1512.25,644.42,1747.98,631.55,1473.78,1483.54,1217.13,1012.37,929.56,1011.43,1234.47,1848.53
p131,0,0,0,0,0,0,0,721.4,0,0,0,0,0,0,0
p134,1262.7,863.28,937.93,631.59,1391.1,588.55,740.16,1487.57,539.13,1226.13,750.84,655.31,1519.29,768.76,1068.4
