,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5
p1,1150,,,,750
p2,700,1129,400,,750
p3,1310,,,,750
p4,2000,1040,2000,,750
p5,400,,,,750
p6,3394,3000,1750,1550,750
p7,682,364,,,750
p8,264,,,,750
p9,2396,2337,1280,1030,750
p10,1300,1000,1000,350,750
p11,1271,570,500,,750
p12,1380,970,1170,450,750
p13,450,400,400,300,750
p14,1340,,,,750
p16,1100,,,,750
p17,350,300,100,,750
p18,1032,350,,,750
p20,250,,,,750
p22,1037.2,700,60,,750
p24,700,500,400,,750
p25,1530,1800,1800,545,750
p26,100,,,,750
p27,1000,400,350,,750
p28,3250,3050,2502,1400,750
p30,150,,,,750
p31,1154,1100,900,750,750
p33,200,,,,750
p34,1000,1000,1000,832,750
p38,1200,,,,750
p43,500,,,,750
p44,1000,1000,,,750
p46,500,,,,750
p50,1590,750,750,750,750
p56,600,,,,750
p60,660,,,,750
p61,1271,,,,750
p74,500,500,,,750
p80,250,,,,750
p92,2562,1300,1321,889,750
p94,900,675,675,675,750
p109,1000,,,,750
p111,1500,,,,750
p116,350,,,,750
p122,990,1000,100,,750
p126,1000,1000,,,750
p127,2000,2000,1000,770,750
p129,160,,,,750
p130,5,,,,750
p134,1000,,,,750
p15,,,,,750
p19,,,,,750
p21,,,,,750
p23,,,,,750
p29,,,,,750
p32,,,,,750
p35,,,,,750
p36,,,,,750
p37,,,,,750
p39,,,,,750
p40,,,,,750
p41,,,,,750
p42,,,,,750
p45,,,,,750
p47,,,,,750
p48,,,,,750
p49,,,,,750
p51,,,,,750
p52,,,,,750
p53,,,,,750
p54,,,,,750
p55,,,,,750
p57,,,,,750
p58,,,,,750
p59,,,,,750
p62,,,,,750
p63,,,,,750
p64,,,,,750
p65,,,,,750
p66,,,,,750
p67,,,,,750
p68,,,,,750
p69,,,,,750
p70,,,,,750
p71,,,,,750
p72,,,,,750
p73,,,,,750
p75,,,,,750
p76,,,,,750
p77,,,,,750
p78,,,,,750
p79,,,,,750
p81,,,,,750
p82,,,,,750
p83,,,,,750
p84,,,,,750
p85,,,,,750
p86,,,,,750
p87,,,,,750
p88,,,,,750
p89,,,,,750
p90,,,,,750
p91,,,,,750
p93,,,,,750
p95,,,,,750
p96,,,,,750
p97,,,,,750
p98,,,,,750
p99,,,,,750
p100,,,,,750
p101,,,,,750
p102,,,,,750
p103,,,,,750
p104,,,,,750
p105,,,,,750
p106,,,,,750
p107,,,,,750
p108,,,,,750
p110,,,,,750
p112,,,,,750
p113,,,,,750
p114,,,,,750
p115,,,,,750
p117,,,,,750
p118,,,,,750
p119,,,,,750
p120,,,,,750
p121,,,,,750
p123,,,,,750
p124,,,,,750
p125,,,,,750
p128,,,,,750
p131,,,,,750
p132,,,,,750
p133,,,,,750
