region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km
i416,10,416,28.605,285214.677,5.76
i417,10,417,25.911,642310.64,13.957
i418,10,418,15.815,927273.977,10.658
i796,9,796,26.202,281356.973,5.76
i797,10,797,158.951,48905.4,5.76
i798,10,798,204.292,39831.886,5.76
i799,9,799,192.062,29082.353,5.76
i800,9,800,66.081,340179.759,11.062
i801,9,801,12.236,2722820.976,27.655
i1176,9,1176,39.534,234630.35,5.76
i1177,10,1177,76.84,126402.157,5.76
i1178,10,1178,171.312,64710.288,5.76
i1179,10,1179,192.548,42024.272,5.76
i1180,10,1180,55.499,355146.42,11.075
i1181,10,1181,8.079,3685139.758,24.095
i1543,6,1543,178.208,597322.632,50.203
i1544,7,1544,49.359,1536203.557,45.534
i1556,9,1556,11.464,2061273.696,18.63
i1557,9,1557,118.039,70919.693,5.76
i1558,9,1558,281.319,83853.152,5.76
i1559,10,1559,113.49,221493.136,7.893
i1560,9,1560,72.381,463664.788,21.328
i1922,8,1922,12.168,6321948.372,49.8
i1923,7,1923,255.49,466986.569,35.91
i1924,7,1924,257.947,423255.297,33.194
i1925,8,1925,11.156,6131645.541,34.967
i1936,9,1936,6.731,5867776.108,20.417
i1937,10,1937,224.256,26437.797,5.76
i1938,10,1938,190.159,45045.654,5.76
i1939,10,1939,117.252,269567.607,12.627
i1940,10,1940,9.642,4264626.765,27.302
i1941,10,1941,13.634,2104818.461,16.162
i2302,8,2302,14.326,3720410.069,46.209
i2303,8,2303,239.849,341341.68,27.697
i2304,8,2304,348.337,223108.338,18.99
i2305,8,2305,283.423,232817.832,21.048
i2306,9,2306,17.871,2830468.134,20.505
i2316,10,2316,62.128,202183.232,5.76
i2317,10,2317,213.131,53834.749,5.76
i2318,10,2318,84.525,164946.543,5.76
i2319,10,2319,126.881,220862.783,10.215
i2320,10,2320,96.358,285656.375,11.251
i2321,10,2321,95.585,107459.79,5.76
i2333,9,2333,105.403,511637.126,42.859
i2334,10,2334,161.392,250801.746,14.801
i2335,10,2335,134.148,200467.222,9.311
i2336,10,2336,54.379,414305.622,18.266
i2682,8,2682,107.325,789135.723,33.128
i2683,9,2683,227.478,273103.058,19.902
i2684,8,2684,297.123,105786.061,7.726
i2685,8,2685,353.901,110669.505,5.76
i2686,8,2686,266.977,129612.985,6.301
i2687,10,2687,80.078,425438.323,6.527
i2695,9,2695,31.927,309377.252,5.76
i2696,10,2696,185.711,33088.958,5.76
i2697,10,2697,113.486,100230.643,5.76
i2698,10,2698,75.857,165845.363,5.76
i2699,10,2699,106.277,128276.804,5.76
i2700,10,2700,167.334,62306.971,5.76
i2701,10,2701,41.712,400176.653,5.76
i2707,7,2707,13.421,3467326.781,29.186
i2712,9,2712,219.13,328089.011,43.298
i2713,10,2713,182.03,199854.238,30.668
i2714,9,2714,177.625,179747.153,26.589
i2715,10,2715,253.997,26791.618,5.76
i2716,10,2716,343.005,144492.395,37.034
i2717,10,2717,291.454,209679.563,42.291
i2718,10,2718,176.286,377981.786,54.96
i2719,10,2719,72.713,712127.125,52.773
i2720,10,2720,61.779,855428.143,51.602
i3062,9,3062,129.12,527585.563,34.599
i3063,9,3063,244.843,248082.81,21.693
i3064,9,3064,326.846,199164.759,11.795
i3065,9,3065,336.408,135081.16,7.825
i3066,8,3066,252.897,205969.354,7.645
i3067,9,3067,165.879,166287.571,6.437
i3068,10,3068,206.59,21299.354,5.76
i3069,10,3069,70.242,342585.18,7.151
i3074,8,3074,63.59,149367.526,5.76
i3075,9,3075,93.514,101358.196,5.76
i3076,10,3076,82.938,167752.961,8.592
i3077,10,3077,185.961,83446.357,5.76
i3078,10,3078,262.767,103722.643,7.3
i3079,10,3079,201.092,148332.613,18.335
i3080,10,3080,33.451,930436.073,13.201
i3081,10,3081,108.387,200383.685,6.577
i3082,10,3082,20.611,587141.034,5.76
i3088,10,3088,13.823,2124346.359,32.881
i3089,10,3089,102.005,691873.84,32.965
i3090,10,3090,85.238,440494.584,28.379
i3091,9,3091,12.74,3431272.154,36.192
i3092,8,3092,237.545,264315.582,33.501
i3093,10,3093,130.248,244705.078,22.241
i3094,10,3094,280.122,82879.96,7.188
i3095,10,3095,239.443,77148.739,5.76
i3096,10,3096,320.569,107469.86,24.997
i3097,10,3097,362.201,146651.414,37.89
i3098,10,3098,311.942,254314.586,52.367
i3099,10,3099,239.613,438494.219,64.614
i3100,10,3100,291.0,333332.958,38.477
i3101,10,3101,209.551,712138.883,46.073
i3102,10,3102,126.596,813096.276,60.655
i3103,10,3103,154.112,515546.835,48.333
i3104,10,3104,39.079,1247755.912,39.474
