,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,1156.361937,663.7123131,902.0096034,836.136452,744.8181917,594.295236,721.9257295,723.1941167,758.1085707,391.7562416,916.2003466,837.4876322,680.8691685,699.2211501,761.0753771
p2,3452.606881,3178.19026,2846.286574,3197.123895,3173.984916,3188.384752,3100.697183,3090.611242,3214.466617,3096.156842,3136.853578,3110.16043,3048.812209,3217.0377,3128.950426
p3,854.2094361,0,1338.28513,537.452958,424.5811416,783.1645613,449.9154882,564.6499291,461.8851674,657.6095445,632.393124,234.8802055,832.5449937,508.8493942,658.4367305
p4,2365.450365,1997.614475,2015.14149,1740.97393,2023.534949,1959.199048,2039.285608,1934.226758,2062.428588,1999.649313,1925.125026,1861.27379,1984.090234,1959.088207,2065.755182
p5,8433.627979,7491.309051,7963.307238,7770.117617,7855.21092,7704.052806,7715.510863,7654.423685,7818.454317,7702.320796,7700.702918,7668.419199,7695.383569,7755.31038,7835.468694
p6,6513.931738,4302.046515,4028.625081,3766.131254,4037.886392,3780.103888,4006.532637,3984.230137,3830.595478,3895.710669,3807.249908,3909.75765,3816.657365,3993.07334,3978.920223
p7,10308.98601,9071.365027,9506.469373,9498.871509,9409.250603,9514.622839,9204.160591,9505.52497,9442.538359,9280.912167,9492.216488,9288.1772,9489.813865,9417.510837,9407.147586
p8,4808.827602,4869.345508,4506.900886,4899.799783,4580.593774,4546.669748,4784.641645,4702.051553,4638.435215,4668.836778,4661.78852,4588.706862,4578.474045,4717.975392,4721.95079
p9,6460.81072,5149.184194,4117.103826,4230.048313,3651.42708,4742.486534,4293.317778,4344.345175,4208.182683,4320.070478,4163.081863,4321.909954,4207.144936,4245.093718,4262.115263
p10,5350.531594,5115.799387,5085.527564,5214.924007,5083.729325,4992.403878,5023.014162,5012.915945,5185.012165,5214.478786,4999.042239,5149.944952,5088.20406,5046.244725,5115.655316
p11,237.1944235,283.1779789,198.3759949,0,311.4181213,0,223.5501559,203.5074123,114.1360293,276.7385661,133.3932121,150.0171959,125.1187084,157.1004909,269.0416891
p12,26283.02535,23971.03095,23941.43329,23860.87891,23732.44497,23908.40295,24060.64859,23870.75673,23810.51943,23877.7832,23826.93221,23993.14484,23945.07433,23925.35409,23904.45315
p13,1709.397355,1509.342016,1652.135386,1603.802278,1452.205381,1620.502144,1470.287498,1602.251688,1558.484524,1562.819498,1400.907704,1689.760005,1470.349693,1544.175796,1637.197355
