region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,dist_to_coast
s2,14,1985,69.437,1010716.386,31.442,9739.686
s2,14,1986,19.415,2041486.162,31.442,5595.797
s2,14,2463,51.916,1141564.228,31.442,8746.844
s2,7,2465,43.005,1148813.605,31.442,5346.195
s1,13,3404,22.342,6658558.402,101.334,41560.68
s1,13,3405,27.551,5522478.258,101.334,34612.957
s1,13,3877,99.27,2762220.865,101.883,88434.36
s1,13,3878,225.143,1893499.421,101.883,78589.25
s1,13,3879,344.0,1524917.851,101.334,69426.98
s2,14,3896,17.133,6472367.164,46.774,6097.492
s1,13,4355,515.29,1627816.513,101.883,87186.66
s1,13,4356,599.407,1470858.103,101.883,77183.06
s1,13,4357,451.32,1383676.412,101.883,67925.34
s1,13,4834,554.249,1527208.018,101.883,76230.875
s1,13,4835,536.341,1335170.546,101.883,65394.04
s1,13,5312,590.625,1488099.643,101.883,74944.64
s1,13,5313,599.407,1290926.503,101.883,64409.65
s1,13,5314,116.403,2193960.318,101.883,57298.58
s2,14,5330,45.287,2768711.935,46.774,8709.15
s1,13,5790,599.407,1506956.986,101.883,73788.6
s1,13,5791,599.407,1394785.603,101.883,63201.406
s1,13,5792,535.48,1350591.848,101.883,53016.805
s1,13,5793,89.326,2496143.588,101.883,45136.53
s1,14,5806,34.396,1042526.048,8.434,13963.159
s1,14,5807,53.38,1050325.754,19.569,13614.077
s1,13,6267,599.407,1566655.468,103.109,83766.13
s1,13,6268,599.407,1491709.401,103.109,73158.875
s1,13,6269,599.407,1405576.185,103.109,62552.996
s1,13,6270,599.407,1296373.101,103.109,51948.64
s1,13,6271,537.805,1184981.446,103.109,41744.215
s1,13,6272,51.055,3356135.675,103.109,34949.742
s1,13,6746,599.407,1510595.235,103.109,73475.52
s1,13,6747,599.407,1426879.518,103.109,62928.99
s1,13,6748,599.407,1336787.401,103.109,52401.945
s1,13,6749,585.416,1198644.804,103.109,41997.414
s1,13,6750,24.796,6038563.127,103.109,35621.188
s1,13,7224,599.407,1516942.535,103.109,75127.77
s1,13,7225,599.407,1415445.585,103.109,64752.812
s1,13,7226,599.407,1326277.485,103.109,54455.55
s1,13,7227,499.319,1223435.818,103.109,45134.863
s1,13,7703,599.407,1460209.218,103.109,67847.94
s1,13,7704,599.407,1317203.885,103.109,57971.883
s1,13,7705,561.567,1201111.325,103.109,48402.645
s1,13,8181,599.407,1459543.155,92.788,68960.66
s1,13,8182,599.407,1298876.705,92.788,58520.6
s1,13,8183,434.617,1334446.135,92.788,49515.3
s1,13,8659,599.407,1419252.286,78.019,67124.28
s1,13,8661,271.291,1480543.317,78.019,49070.24
s1,13,9137,599.407,1390517.835,64.843,65481.113
s1,13,9138,599.407,1257898.035,64.843,54952.64
s1,13,9139,107.836,1839581.281,64.843,48764.086
s1,13,9615,599.407,1384605.135,64.843,65053.117
s1,13,9616,541.98,1230528.668,64.843,54919.01
s1,13,10094,523.599,1182901.669,52.624,56251.113
s1,13,10095,211.54,1196338.139,52.624,46414.84
s1,13,10096,37.581,2527787.233,52.624,38400.11
s1,13,10571,599.407,1312235.57,41.068,65377.82
s1,13,10572,599.407,1086933.82,41.068,55197.492
s1,13,10573,599.407,967560.637,41.068,44876.324
s1,13,10574,587.009,881350.622,41.068,34530.508
s1,13,10575,438.19,805735.231,41.068,24169.328
s1,6,10576,251.834,761902.695,41.068,13729.435
