,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,2383.72,2023.02,1682.95,1409.15,1462.62,1515.79,857.01,2405.37,1212.92,2170.65,913.29,2146.21,1219.93,1916.83,1914.82
p2,5303.26,5392.18,4912.2,4879.1,4720.7,4273.39,5373.97,4823.14,5376,5010.75,4739.95,4448.3,5107.32,5378.21,4947.49
p3,8225.14,8326.98,8327.59,8377.53,7780.7,8051.26,8630.1,8414.28,8166.02,7592.11,8123.71,8826.57,8026.14,8147.44,8685.71
p4,1937.81,1880.93,1665.44,1690.82,1413.41,1777.28,2172.08,1603.63,1734.18,1876.59,1603.65,1756.18,1624.16,1799.84,2071.73
p5,24344.01,18173.38,18779.34,18022.28,19309.31,18623.97,18306.88,18735.36,18723.3,18859.07,18101.4,18947.51,18401.8,18548.22,19080.72
p6,9472.86,7372.46,8134.76,8547.2,7880.18,8185.17,7946.96,7303.93,8018.86,8290.8,7944.54,8105.57,7663.61,8365.86,7993.64
p7,31699.31,25957.38,26603.83,25719.69,26563.05,25981.31,25953.59,26432.62,26486.26,26013.09,26396.54,26159.41,25895.22,26185.28,26686.78
p8,32405.91,31518.69,31605.67,31446.13,31229.68,30658.49,31734.73,31666.08,30533.55,31447.87,31677.74,31279.04,31310.87,30930.3,31717.07
p9,87520.55,86223.34,85403.03,85923.9,85215.65,85969.2,85439.11,85552.58,85651.37,85361.78,85681.23,85488.93,85864.76,85055.8,86295.45
p10,134015.44,126513.12,125894.17,125466.82,125920.65,125656.88,125615.62,125447.26,125531.33,126217.45,125739.99,125643.74,125387.97,125923.99,125870.12
p11,7638.14,7987.95,8267.62,7583.54,7000.46,8554.73,8230.47,7317.8,8256.12,7140.91,8140.08,7699.42,7677.26,7788.14,8276.04
p12,308633.51,284063.45,283358.39,284352.69,284450.28,283422.84,284295.71,283714.87,283611.62,283574.04,284155.05,283589.51,283068.54,284590.63,283984.46
p13,11754.61,10946.84,11082.29,11306.93,10992.19,11385.43,10506.34,11203.08,11400.44,10920.92,11084.92,11065.62,10922.36,11082.75,11213.08
p14,9383.67,9093.97,9690.77,9272.79,9026.47,9223.54,9236.78,9516.28,9047.07,9325.88,8802.93,9583.19,9226.07,8877.25,9735
p15,72389.64,73990.27,73140.42,72910.27,73058.72,73259.61,73039.43,73101.28,72906.06,73231.72,72979.43,72965.45,73094.29,72728.34,73606.1
p16,36284.36,37675.35,35836.15,36807.48,36564.02,36167.36,36174.9,36694.18,36102.02,36311.92,36410.42,35832.86,36217.9,36817.61,36463.77
p17,50220.42,48146.13,48272.89,48079.25,47578.67,48776.8,48238.96,48275.19,47887.39,48293.63,47806.47,48450.52,48216.43,47799.6,48543.4
p18,16479.13,14584.71,14865.54,15592.41,15064.83,15194.87,15241.83,14876.51,14967.77,15253.85,14930.55,15219.79,15076.75,15383.27,15118.12
p20,2036.94,1247.29,1187.98,1335.09,590.96,1788.54,1509.79,1017.1,829.73,1703.18,1475.38,1092.42,1224.73,884.58,1845.7
p21,42660.31,41839.33,42679.36,42418.72,42143.93,42270.15,42194.2,41665.14,42836.37,42306.27,42066.33,41871.69,42304.51,42457.69,42472.3
p22,11312.35,9130.28,10310.49,10375.75,9422.15,10123.55,9676.68,10648.27,9980.77,9675.21,9738.82,9967.51,9990.62,10126.06,10403.01
p23,1051.19,669.8,495.68,455.01,447.68,0,1109.56,644.36,558.89,499.94,652.69,487.32,176.51,854.49,700.66
p24,5641.66,6068.31,5870.65,5378.89,5395.45,5996.68,5515.61,5443.05,5724.46,5494.44,5643.44,5278.25,6034.57,5578.27,5657.07
p25,202007.45,190231.77,190295.29,190251.15,190061.2,189979.72,189873.79,190036.38,190390.97,190686.98,189908.5,190297.97,190070.66,190195.69,190395.01
p26,34883.36,31338.29,33572.68,32110.52,32926.73,32368.94,32446.17,32428.99,32372.85,32800.49,32251.86,32437.1,32588.47,32524.15,32629.8
p27,57591.25,59047.26,56492.28,58824.22,57567.11,56531.11,58309.13,57507.28,57276.83,57030.14,58276.25,57443.56,57052.04,58169.84,57653.66
p28,89023.39,86042.4,86751.49,85551.74,84555.44,87627.27,85605.27,85915.16,85787.78,86177.79,85941.83,86093.2,82404.79,88853.86,86589.93
p29,6849.66,7762.93,5307.65,7166.99,6426.99,6384.87,6315.42,6200.49,5185.63,7740.59,5590.95,6610.53,6799.88,6383.25,6446.23
p30,1055.53,0,458.05,0,410.93,0,0,491.1,0,474.09,0,377.24,0,312.12,285.09
p31,68556.25,63763.16,61818.61,65215.67,62821.97,64631.31,63841.93,63160.42,64042.32,63485.92,63579.46,63463.69,63408.71,63884.98,63674.35
p32,343.9,0,304.37,0,0,0,508.73,151.16,0,199.55,0,0,0,0,734.45
p33,40932,40046.15,40193.78,39584.77,40416.22,39751.66,40232.27,39089.93,40754.59,39926.65,39578.87,40582.81,39677.73,40403.53,40237.49
p34,32300.86,32322.19,33341.59,32368.61,32421.92,32661.86,32296.33,32867.24,32316.38,32332.51,32626.97,32221.6,32419.87,32689.76,32829.44
p38,0,0,0,0,0,0,0,152.77,0,0,0,0,0,0,0
p47,3399.44,976.52,1895.07,1730.92,851.53,2531.31,1225.06,1705.48,1465.63,1090.59,1956.89,1269.72,1424.82,1514.02,1778.53
p59,427.59,0,0,0,0,0,0,0,0,0,0,0,0,0,356.98
p61,35676.76,35446.37,35350.97,34811.45,35636.38,35343.54,34627.29,35412.9,35205.91,34626.01,35647.34,34955.33,35094.78,35412.03,35118.72
p85,638.09,0,0,0,0,487.87,0,0,299.29,0,0,0,0,454.57,171.56
p89,0,0,0,0,0,0,0,458.19,0,0,0,0,0,0,0
p90,303.9,0,0,0,0,0,0,0,0,0,0,0,0,0,175.56
p92,942.9,2014.25,1157.65,1351.22,1276.59,1251.6,1130.78,1357.96,1182.74,1139.88,1424.45,1461.99,988.9,1377.63,1525.82
p94,1229.47,1167.46,1517.92,1180.77,1000.72,1241.95,912.18,935,1548.8,993.52,1225.61,1039.17,976.1,1299.34,1197.27
p95,1375.35,1328.94,1040.19,1419.89,1002.64,1240.04,1075.29,1236.09,1187.25,1176.96,1069.17,1349.06,1205.74,1091.4,1409.99
p97,10256.03,11206.72,10109.45,9607.26,11120.59,9595.55,10992.49,10132.74,10325.1,10330.37,10166.93,10192.16,9968.63,10567.18,10294.64
p99,668.95,3020.79,1861.41,1776.33,1820.27,1889.18,1937.07,1822.48,1673.47,1527.13,1677.87,1823.16,1992.81,1807.42,1897.17
p100,0,0,0,0,0,0,0,301.06,0,0,0,0,0,0,0
p109,478.68,369.42,0,0,503.48,0,339.72,0,362.95,305.06,0,406.89,212.82,148.1,298.77
p110,625.88,422.88,348.85,328.81,380.54,403.58,477.96,270.88,310.3,441.59,188.5,454.44,284.71,383.13,614.15
p116,2032.28,0,2281.29,2169.89,1742.49,1146.59,2176.64,929.27,1821.77,1949.15,982.67,1857.27,1766.88,1501.54,1841.13
p117,0,0,0,0,0,0,0,307.82,0,0,0,0,0,0,0
p118,4536.12,4701.2,3931.1,4860.9,4318.28,4087.68,4773.64,4140.86,4555.94,4171.66,3754.44,5293.13,4296.81,4439.41,4395.6
p119,497.29,191.41,0,0,0,751.69,0,241.98,168.37,0,0,601.04,0,242.51,256.37
p120,0,0,0,0,0,0,0,256.06,0,0,0,0,0,0,0
p121,1359.9,0,0,0,0,0,0,0,0,0,0,0,0,0,992.91
p122,1115.47,0,1061.03,517.47,480.4,481.87,439.03,812.11,0,1200.78,335.68,650.37,502.14,412.71,874.03
p127,2505.58,3094.71,1993.67,2309.62,2123.96,2094.42,2439.38,1959.36,2120.54,2382.65,1931.8,2410.59,2219.42,2470.3,2264.91
p129,632.44,0,648.41,503.68,0,486.5,0,432.91,0,594.6,479.6,0,564.08,352.82,324.79
p130,634.22,1416.94,596.27,1394.43,1439.48,781.1,1201.84,643.48,972.43,1061.75,992.29,1139.04,842.86,709.78,1514.78
p131,0,0,0,0,0,0,0,601.16,0,0,0,0,0,0,0
p134,1052.25,719.4,781.61,863.08,536.25,1107.26,719.02,520.63,767.06,694.75,546.09,625.7,1311.24,595.47,890.34
