,,,wsc1,wsc2,wsc3,wsc4,wsc5
1,class12,wind-ofs,1299.6,2559.6,1990.8,2275.2,1422
1,class13,wind-ofs,1969.2,2559.6,3128.4,4266,2559.6
1,class14,wind-ofs,892.8,2538,3697.2,2844,1422
1,class15,wind-ofs,187.2,223.2,0,0,0
1,class8,wind-ofs,892.8,669.6,1116,1339.2,1785.6
2,class14,wind-ofs,187.2,187.2,0,0,0
3,class15,wind-ofs,187.2,0,0,0,0
10,class11,wind-ofs,223.2,223.2,284.4,0,0
10,class12,wind-ofs,1846.8,730.8,792,853.2,1137.6
10,class13,wind-ofs,3067.2,2559.6,1706.4,1990.8,853.2
10,class14,wind-ofs,284.4,284.4,568.8,284.4,284.4
10,class8,wind-ofs,223.2,223.2,223.2,446.4,223.2
13,class11,wind-ofs,446.4,507.6,568.8,568.8,1422
13,class12,wind-ofs,446.4,1238.4,2599.2,3697.2,3412.8
13,class13,wind-ofs,1076.4,853.2,2559.6,568.8,1137.6
13,class14,wind-ofs,284.4,284.4,284.4,284.4,0
13,class8,wind-ofs,223.2,223.2,223.2,223.2,223.2
14,class10,wind-ofs,669.6,669.6,730.8,1299.6,1360.8
14,class11,wind-ofs,1177.2,1645.2,1929.6,1422,1706.4
14,class12,wind-ofs,446.4,568.8,853.2,568.8,853.2
14,class13,wind-ofs,284.4,284.4,284.4,284.4,0
14,class4,wind-ofs,223.2,0,0,0,0
14,class8,wind-ofs,223.2,223.2,0,0,0
14,class9,wind-ofs,223.2,223.2,284.4,0,0
15,class11,wind-ofs,446.4,223.2,853.2,284.4,568.8
15,class12,wind-ofs,284.4,284.4,284.4,284.4,284.4
15,class13,wind-ofs,284.4,0,0,0,0
20,class10,wind-ofs,223.2,223.2,223.2,223.2,0
20,class11,wind-ofs,669.6,1299.6,1076.4,1422,1137.6
20,class12,wind-ofs,1400.4,1868.4,1990.8,1422,2844
20,class13,wind-ofs,446.4,1116,1015.2,2559.6,1076.4
20,class14,wind-ofs,446.4,669.6,669.6,446.4,1076.4
20,class15,wind-ofs,669.6,669.6,284.4,284.4,284.4
20,class8,wind-ofs,223.2,223.2,223.2,223.2,0
25,class11,wind-ofs,223.2,223.2,284.4,223.2,730.8
25,class12,wind-ofs,892.8,892.8,1522.8,1360.8,1137.6
25,class13,wind-ofs,669.6,223.2,1645.2,792,1422
25,class14,wind-ofs,2538,853.2,568.8,853.2,853.2
25,class15,wind-ofs,223.2,223.2,1015.2,853.2,568.8
25,class8,wind-ofs,446.4,223.2,669.6,507.6,446.4
29,class11,wind-ofs,223.2,223.2,223.2,0,0
29,class12,wind-ofs,223.2,669.6,669.6,1846.8,954
29,class13,wind-ofs,892.8,1299.6,1015.2,1807.2,853.2
29,class14,wind-ofs,2660.4,1929.6,4712.4,3981.6,2559.6
29,class15,wind-ofs,284.4,1908,1360.8,3452.4,3175.2
29,class8,wind-ofs,223.2,223.2,223.2,0,0
31,class13,wind-ofs,223.2,223.2,0,0,0
