region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,dist_to_coast
o1985,14,1985,69.437,1010716.386,31.442,9739.686
o1986,14,1986,19.415,2041486.162,31.442,5595.797
o2463,14,2463,51.916,1141564.228,31.442,8746.844
o2465,7,2465,43.005,1148813.605,31.442,5346.195
o3404,13,3404,22.342,6658558.402,101.334,41560.68
o3405,13,3405,27.551,5522478.258,101.334,34612.957
o3877,13,3877,99.27,2762220.865,101.883,88434.36
o3878,13,3878,225.143,1893499.421,101.883,78589.25
o3879,13,3879,344.0,1524917.851,101.334,69426.98
o3896,14,3896,17.133,6472367.164,46.774,6097.492
o4355,13,4355,515.29,1627816.513,101.883,87186.66
o4356,13,4356,599.407,1470858.103,101.883,77183.06
o4357,13,4357,451.32,1383676.412,101.883,67925.34
o4834,13,4834,554.249,1527208.018,101.883,76230.875
o4835,13,4835,536.341,1335170.546,101.883,65394.04
o5312,13,5312,590.625,1488099.643,101.883,74944.64
o5313,13,5313,599.407,1290926.503,101.883,64409.65
o5314,13,5314,116.403,2193960.318,101.883,57298.58
o5330,14,5330,45.287,2768711.935,46.774,8709.15
o5790,13,5790,599.407,1506956.986,101.883,73788.6
o5791,13,5791,599.407,1394785.603,101.883,63201.406
o5792,13,5792,535.48,1350591.848,101.883,53016.805
o5793,13,5793,89.326,2496143.588,101.883,45136.53
o5806,14,5806,34.396,1042526.048,8.434,13963.159
o5807,14,5807,53.38,1050325.754,19.569,13614.077
o6267,13,6267,599.407,1566655.468,103.109,83766.13
o6268,13,6268,599.407,1491709.401,103.109,73158.875
o6269,13,6269,599.407,1405576.185,103.109,62552.996
o6270,13,6270,599.407,1296373.101,103.109,51948.64
o6271,13,6271,537.805,1184981.446,103.109,41744.215
o6272,13,6272,51.055,3356135.675,103.109,34949.742
o6746,13,6746,599.407,1510595.235,103.109,73475.52
o6747,13,6747,599.407,1426879.518,103.109,62928.99
o6748,13,6748,599.407,1336787.401,103.109,52401.945
o6749,13,6749,585.416,1198644.804,103.109,41997.414
o6750,13,6750,24.796,6038563.127,103.109,35621.188
o7224,13,7224,599.407,1516942.535,103.109,75127.77
o7225,13,7225,599.407,1415445.585,103.109,64752.812
o7226,13,7226,599.407,1326277.485,103.109,54455.55
o7227,13,7227,499.319,1223435.818,103.109,45134.863
o7703,13,7703,599.407,1460209.218,103.109,67847.94
o7704,13,7704,599.407,1317203.885,103.109,57971.883
o7705,13,7705,561.567,1201111.325,103.109,48402.645
o8181,13,8181,599.407,1459543.155,92.788,68960.66
o8182,13,8182,599.407,1298876.705,92.788,58520.6
o8183,13,8183,434.617,1334446.135,92.788,49515.3
o8659,13,8659,599.407,1419252.286,78.019,67124.28
o8661,13,8661,271.291,1480543.317,78.019,49070.24
o9137,13,9137,599.407,1390517.835,64.843,65481.113
o9138,13,9138,599.407,1257898.035,64.843,54952.64
o9139,13,9139,107.836,1839581.281,64.843,48764.086
o9615,13,9615,599.407,1384605.135,64.843,65053.117
o9616,13,9616,541.98,1230528.668,64.843,54919.01
o10094,13,10094,523.599,1182901.669,52.624,56251.113
o10095,13,10095,211.54,1196338.139,52.624,46414.84
o10096,13,10096,37.581,2527787.233,52.624,38400.11
o10571,13,10571,599.407,1312235.57,41.068,65377.82
o10572,13,10572,599.407,1086933.82,41.068,55197.492
o10573,13,10573,599.407,967560.637,41.068,44876.324
o10574,13,10574,587.009,881350.622,41.068,34530.508
o10575,13,10575,438.19,805735.231,41.068,24169.328
o10576,6,10576,251.834,761902.695,41.068,13729.435
o10577,6,10577,29.23,2225207.065,41.068,6621.254
o11048,13,11048,599.407,1293590.556,28.007,72284.74
o11049,13,11049,599.407,1213152.539,28.007,62030.258
o11050,13,11050,599.407,1033855.906,28.007,51897.12
o11051,13,11051,599.407,924824.473,28.007,41865.617
o11052,13,11052,599.407,840696.753,27.244,31835.666
o11053,13,11053,599.407,728585.587,27.244,21713.512
o11054,6,11054,598.632,603493.698,27.244,11489.804
o11055,6,11055,60.483,1154056.016,27.244,6064.016
o11526,13,11526,599.407,1260997.456,28.007,70524.55
o11527,13,11527,599.407,1161919.323,28.007,59970.062
o11528,13,11528,599.407,1003920.223,28.007,49443.688
o11529,13,11529,599.407,901278.706,28.007,38968.227
o11530,13,11530,599.407,808589.689,28.007,28595.885
o11531,13,11531,599.407,692174.956,28.007,18378.486
o11532,6,11532,467.248,570967.156,13.254,9366.877
o12003,13,12003,599.407,1396326.623,28.007,80926.98
o12004,13,12004,599.407,1276616.756,28.007,70332.914
o12005,13,12005,599.407,1173406.506,28.007,59746.92
o12006,13,12006,599.407,997783.856,28.007,49174.246
o12007,13,12007,599.407,898414.456,28.007,38626.117
o12008,13,12008,599.407,804229.223,28.007,28131.617
o12009,13,12009,597.857,688468.489,28.007,17730.186
o12010,6,12010,359.455,618165.906,28.007,9363.692
o12482,13,12482,599.407,1280222.05,19.262,69969.78
o12483,13,12483,599.407,1144070.483,19.262,59471.16
o12484,13,12484,599.407,1009454.173,28.007,48952.176
o12485,13,12485,599.407,897886.489,28.007,38449.457
o12486,13,12486,599.407,802860.673,28.007,28013.72
o12487,13,12487,597.771,681510.639,28.007,17626.855
o12488,6,12488,410.553,600027.25,28.007,8922.504
o12960,13,12960,599.407,1301778.95,19.262,67934.46
o12961,13,12961,599.407,1170154.15,19.262,57629.715
o12962,13,12962,599.407,1072660.0,19.262,47294.023
o12963,13,12963,599.407,861512.583,19.262,36925.418
o12964,13,12964,599.407,757123.9,19.262,26563.906
o12965,6,12965,599.407,682801.36,37.515,16284.677
o12966,6,12966,261.519,687389.514,37.515,8978.407
o13439,13,13439,599.407,1197727.883,19.262,54825.58
o13440,13,13440,599.407,1029542.116,19.262,44646.324
o13441,13,13441,599.407,892544.65,19.262,34458.652
o13442,13,13442,599.407,735534.216,19.262,24217.402
o13443,6,13443,599.407,602429.883,19.262,13913.671
o13444,6,13444,175.724,591039.967,19.262,7270.787
o13916,13,13916,599.407,1250251.183,19.262,61467.293
o13917,13,13917,599.407,1204684.883,19.262,51619.33
o13918,13,13918,599.407,1064892.066,19.262,41573.34
o13919,13,13919,599.407,835801.883,19.262,31428.307
o13920,13,13920,599.407,703155.05,19.262,21261.31
o13921,6,13921,593.423,563599.446,19.262,11145.088
o13922,6,13922,44.125,885321.423,19.262,6085.1
o14393,13,14393,599.407,1297984.483,19.262,67685.32
o14394,13,14394,599.407,1170452.533,19.262,57560.562
o14395,13,14395,599.407,1086140.833,19.262,47585.57
o14396,13,14396,599.407,905072.116,19.262,37804.8
o14397,13,14397,599.407,777800.666,19.262,28040.834
o14398,13,14398,599.407,664409.05,19.262,18094.742
o14399,6,14399,470.649,547890.232,19.262,9141.804
o14871,13,14871,599.407,1259123.691,5.5,65526.965
o14872,13,14872,599.407,1149293.041,5.5,55021.395
o14873,13,14873,599.407,1068449.641,5.5,44570.137
o14874,13,14874,599.407,897313.475,5.5,34219.96
o14875,13,14875,599.407,769124.541,5.5,24038.82
o14876,13,14876,599.407,620113.108,5.5,14139.851
o14877,6,14877,234.614,562807.369,5.5,7561.77
o15349,13,15349,572.329,1312141.754,29.181,64895.848
o15350,13,15350,599.407,1128901.108,5.5,54453.914
o15351,13,15351,599.407,948584.125,5.5,43867.707
o15352,13,15352,599.407,828230.891,5.5,33303.223
o15353,13,15353,597.857,729030.845,5.5,22777.979
o15354,13,15354,434.316,607471.53,5.5,12251.595
o15355,6,15355,25.269,1148569.48,5.5,7024.019
o15826,13,15826,599.407,1363276.553,29.181,75100.44
o15827,13,15827,527.258,1229527.202,29.181,65213.785
o15828,13,15828,550.59,1065668.288,29.181,55071.453
o15829,13,15829,536.255,960967.697,29.181,45087.977
o15830,13,15830,538.45,878453.334,29.181,35214.56
o15831,13,15831,537.03,746534.061,5.5,25377.746
o15832,13,15832,450.201,635407.512,5.5,15213.378
o15833,6,15833,201.682,568264.961,5.5,8046.904
o16304,13,16304,583.178,1337130.206,29.181,72069.48
o16305,13,16305,599.407,1189212.186,29.181,61890.984
o16306,13,16306,584.297,1029179.553,29.181,51688.33
o16307,13,16307,599.407,927355.236,29.181,41772.547
o16308,13,16308,599.407,850193.336,29.181,32257.004
o16309,13,16309,599.407,765521.57,29.181,23494.014
o16310,13,16310,599.407,667133.32,29.181,14672.655
o16311,6,16311,254.675,550967.659,5.5,7600.113
o16783,13,16783,599.407,1168535.62,29.181,59504.1
o16784,13,16784,599.407,995357.003,29.181,49313.176
o16785,13,16785,599.407,904675.853,29.181,38959.316
o16786,13,16786,599.407,819779.003,29.181,28531.59
o16787,13,16787,599.407,717383.62,29.181,18310.434
o16788,13,16788,432.034,647155.422,29.181,10378.86
o16789,6,16789,39.734,1415625.421,29.181,6994.341
o17260,13,17260,472.629,1309176.017,25.747,66809.54
o17261,13,17261,450.158,1105415.226,25.747,56159.246
o17262,13,17262,535.566,974246.313,25.747,46145.754
o17263,13,17263,535.006,894567.311,29.181,36285.887
o17264,13,17264,561.955,805070.099,29.181,26412.105
o17265,13,17265,599.407,701284.153,29.181,16816.172
o17266,13,17266,272.669,691568.244,29.181,9519.087
o17504,13,17504,35.343,13414746.468,195.369,10911.415
o17505,5,17505,195.612,2881341.774,195.369,10475.553
o17506,13,17506,134.44,4760158.47,210.927,9932.132
o17508,12,17508,131.169,4979020.318,210.927,19271.826
o17736,13,17736,599.407,1413628.379,25.747,85053.8
o17738,13,17738,599.407,1280001.313,25.747,64810.883
o17739,13,17739,533.414,1081031.209,25.747,54504.234
o17740,13,17740,462.943,974155.966,25.747,43908.254
o17741,13,17741,492.733,871655.434,25.747,33333.645
o17742,13,17742,467.937,781966.412,25.747,23271.225
o17743,13,17743,550.934,689233.27,40.984,12535.751
o17744,13,17744,84.461,1158034.222,40.984,7910.752
o17981,13,17981,105.297,4332953.092,180.136,10867.121
o17982,13,17982,255.234,2349183.049,195.369,9747.962
o17985,12,17985,346.067,2208816.73,210.927,11851.79
o17986,12,17986,599.407,1638080.977,210.927,19912.781
o17987,12,17987,464.751,2006454.214,210.927,29846.643
o17988,12,17988,148.302,4659935.286,210.927,39348.113
o18216,13,18216,578.787,1207914.669,25.747,61502.91
o18217,13,18217,599.407,1061765.863,25.747,51633.152
o18218,13,18218,599.407,956777.429,25.747,41810.1
o18219,13,18219,560.965,853639.625,25.747,31991.285
o18220,13,18220,530.529,759019.942,25.747,21934.074
o18221,13,18221,405.344,670215.431,25.747,12207.686
o18222,6,18222,64.314,1274145.877,39.677,6412.819
o18458,13,18458,197.808,1878518.78,164.761,10207.879
o18459,13,18459,228.803,2311856.606,180.136,9852.038
o18462,13,18462,198.152,3284256.809,210.104,9860.215
o18463,12,18463,595.317,1537931.019,210.104,15010.349
o18464,12,18464,599.407,1635029.049,210.104,23701.246
o18465,12,18465,599.407,1723363.815,210.104,33196.14
o18466,12,18466,599.235,1791240.437,210.104,43056.78
