region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,dist_to_coast
s1,13,3405,17.369,8283692.747,101.334,34751.234
s1,13,3877,32.314,5620180.088,101.883,88098.24
s1,13,3878,89.64,2819557.838,101.883,78303.18
s1,13,3879,196.135,1802653.048,101.334,69072.76
s1,13,4355,293.818,1821828.687,101.883,86693.05
s1,13,4356,397.119,1587411.439,101.883,77183.06
s1,13,4357,276.535,1578033.958,101.883,68129.57
s1,13,4834,340.05,1686061.186,101.883,76507.83
s1,13,4835,335.829,1483264.585,101.883,65205.473
s1,13,5312,382.83,1615091.42,101.883,74986.33
s1,13,5313,397.119,1407479.839,101.883,64409.65
s1,13,5314,77.119,2794141.034,101.883,57298.58
s1,13,5790,397.119,1623510.322,101.883,73788.6
s1,13,5791,397.119,1511338.939,101.883,63201.406
s1,13,5792,354.766,1481059.623,101.883,53016.805
s1,13,5793,59.18,3278258.602,101.883,45136.53
s1,13,6267,397.119,1675315.399,103.109,83766.13
s1,13,6268,397.119,1600369.332,103.109,73158.875
s1,13,6269,397.119,1514236.115,103.109,62552.996
s1,13,6270,397.119,1405033.032,103.109,51948.64
s1,13,6271,356.306,1306087.735,103.109,41744.215
s1,13,6272,33.825,4631836.245,103.109,34949.742
s1,13,6746,397.119,1619255.165,103.109,73475.52
s1,13,6747,397.119,1535539.449,103.109,62928.99
s1,13,6748,397.119,1445447.332,103.109,52401.945
s1,13,6749,387.85,1309901.578,103.109,41997.414
s1,13,6750,16.428,8665266.037,103.109,35621.188
s1,13,7224,397.119,1625602.465,103.109,75127.77
s1,13,7225,397.119,1524105.515,103.109,64752.812
s1,13,7226,397.119,1434937.415,103.109,54455.55
s1,13,7227,330.809,1353876.449,103.109,45134.863
s1,13,7703,397.119,1568869.149,103.109,67847.94
s1,13,7704,397.119,1425863.815,103.109,57971.883
s1,13,7705,372.05,1317092.994,103.109,48402.645
s1,13,8181,397.119,1549467.306,92.788,68960.66
s1,13,8182,397.119,1388800.856,92.788,58520.6
s1,13,8183,287.943,1458465.931,92.788,49515.3
s1,13,8659,397.119,1494907.109,78.019,67124.28
s1,13,8661,179.736,1647699.418,78.019,49070.24
s1,13,9137,397.119,1455094.603,64.843,65481.113
s1,13,9138,397.119,1322474.803,64.843,54952.64
s1,13,9139,71.444,2198530.148,64.843,48764.086
s1,13,9615,397.119,1449181.903,64.843,65053.117
s1,13,9616,359.073,1301947.803,64.843,54919.01
s1,13,10094,346.895,1245018.805,52.624,56251.113
s1,13,10095,140.15,1350088.795,52.624,46414.84
s1,13,10096,24.898,3393229.074,52.624,38400.11
s1,13,10571,397.119,1355534.032,41.068,65377.82
s1,13,10572,397.119,1130232.282,41.068,55197.492
s1,13,10573,397.119,1010859.099,41.068,44876.324
s1,13,10574,283.522,987127.788,41.068,35971.758
s1,13,11048,397.119,1325572.613,28.007,72284.74
s1,13,11049,397.119,1245134.597,28.007,62030.258
s1,13,11050,397.119,1065837.963,28.007,51897.12
s1,13,11051,397.119,956806.53,28.007,41865.617
s1,13,11052,184.67,1019878.521,27.244,34631.32
s1,13,11526,397.119,1292979.513,28.007,70524.55
s1,13,11527,397.119,1193901.38,28.007,59970.062
s1,13,11528,397.119,1035902.28,28.007,49443.688
s1,13,11529,397.119,933260.763,28.007,38968.227
s1,13,11530,60.663,1408085.885,28.007,33093.477
s1,13,12003,397.119,1428308.68,28.007,80926.98
s1,13,12004,397.119,1308598.813,28.007,70332.914
s1,13,12005,397.119,1205388.563,28.007,59746.92
s1,13,12006,397.119,1029765.913,28.007,49174.246
s1,13,12007,397.119,930396.513,28.007,38626.117
s1,13,12008,44.777,1626144.245,28.007,32842.707
s1,13,12482,397.119,1295573.358,19.262,69969.78
s1,13,12483,397.119,1159421.791,19.262,59471.16
s1,13,12484,397.119,1041436.23,28.007,48952.176
s1,13,12485,397.119,929868.547,28.007,38449.457
s1,13,12486,39.472,1738109.026,28.007,32840.93
s1,13,12960,397.119,1317130.258,19.262,67934.46
s1,13,12961,397.119,1185505.458,19.262,57629.715
s1,13,12962,397.119,1088011.308,19.262,47294.023
s1,13,12963,375.757,882221.433,19.262,37226.336
