sc_point_gid,area_sq_km,latitude,longitude,timezone,cnty_fips,trans_gid,dist_km,trans_cap_cost_per_mw
34,13.3407,49.034,-123.101,-8,53073,52083,31.98,535006.97
414,3.2805,48.94,-123.054,-8,53073,52083,32.98,4634827.82
415,3.5397,48.967,-122.894,-8,53073,52083,18.75,3472116.98
416,63.504,48.994,-122.735,-8,53073,52083,5.5,59262.02
417,71.1747,49.022,-122.575,-8,53073,52083,14.05,103902.72
418,29.4273,49.049,-122.414,-8,53073,1004,10.75,129364.74
795,2.2842,48.873,-122.848,-8,53073,52144,7.52,5405941.89
796,117.5472,48.9,-122.688,-8,53073,52107,5.5,39817.45
797,132.7104,48.927,-122.529,-8,53073,52041,8.74,41545.56
798,132.6861,48.954,-122.369,-8,53073,52041,19.95,66060.74
799,122.4963,48.981,-122.208,-8,53073,52041,31.86,102728.86
800,85.6332,49.008,-122.048,-8,53073,52041,46.04,229032.49
801,48.6243,49.034,-121.888,-8,53073,52041,62.76,449654.74
1163,0.0891,48.44,-124.702,-8,53009,53797,61.55,362354021.1
1176,92.9475,48.806,-122.642,-8,53073,52114,5.5,48412.28
1177,132.192,48.833,-122.483,-8,53073,51951,6.38,36930.11
1178,132.7104,48.86,-122.323,-8,53073,51951,11.57,59373.5
1179,132.7104,48.887,-122.163,-8,53073,51951,24.71,115611.98
1180,132.7104,48.914,-122.003,-8,53073,971,40.85,163094.3
1181,132.7104,48.94,-121.843,-8,53073,971,53.82,227774.28
1182,132.1029,48.966,-121.683,-8,53073,52041,73.98,284864.74
1183,107.3088,48.993,-121.522,-8,53073,52041,85,350250.78
1184,70.3485,49.018,-121.362,-8,53073,52041,96.23,580468.78
1185,33.2991,49.044,-121.201,-8,53073,51835,72.61,583043.9
1543,75.7431,48.347,-124.653,-8,53009,81741,101.33,770791.17
1544,16.7508,48.376,-124.495,-8,53009,53797,45.84,1412788.5
1552,8.1405,48.603,-123.232,-8,53055,52083,96.02,3107029.04
1553,28.7064,48.63,-123.073,-8,53055,52061,59.52,1367381.46
1556,19.1808,48.712,-122.596,-8,53073,52061,18.63,368947.88
1557,122.0346,48.739,-122.437,-8,53073,51970,5.5,45280.96
1558,132.7104,48.766,-122.277,-8,53073,1044,5.5,74127.26
1559,132.7104,48.793,-122.118,-8,53073,963,16.17,92399.2
1560,132.7104,48.819,-121.958,-8,53073,51951,38.96,175450.82
1561,132.7104,48.846,-121.798,-8,53073,51951,54.93,297321.08
1562,132.7104,48.872,-121.638,-8,53073,51951,76.67,335003.57
1563,132.7104,48.898,-121.478,-8,53073,51951,87.4,394942.89
1564,132.7104,48.924,-121.318,-8,53073,51610,31.85,161968.53
1565,132.7104,48.95,-121.157,-8,53073,51587,33.39,178054.18
1566,125.0073,48.975,-120.997,-8,53073,52041,125.63,410305.34
1567,95.6529,49.001,-120.836,-8,53047,51587,60.77,483170.36
1568,62.4996,49.026,-120.675,-8,53047,51107,111.64,576074.23
1569,24.543,49.051,-120.514,-8,53047,51058,87.26,1013414.25
1922,10.4571,48.224,-124.761,-8,53009,53797,49.93,2389069
1923,127.8342,48.253,-124.604,-8,53009,81741,96.33,436509.69
1924,104.0607,48.282,-124.447,-8,53009,81741,83.8,459600.71
1925,7.5654,48.311,-124.29,-8,53009,53797,34.97,2901820.76
1932,25.6284,48.509,-123.185,-8,53055,52083,108.34,1124712.74
1933,77.193,48.536,-123.027,-8,53055,79000,46.77,595842.38
1936,4.3173,48.618,-122.55,-8,53073,52066,20.42,2940815.24
1937,122.0832,48.645,-122.391,-8,53073,51952,6.06,44771.19
1938,132.7104,48.672,-122.232,-8,53073,51952,12,83374.99
1939,132.7104,48.699,-122.073,-8,53073,1008,12.57,92941.88
1940,132.7104,48.725,-121.913,-8,53073,971,27.3,165717.51
1941,132.7104,48.752,-121.754,-8,53073,51783,31.23,192963.39
1942,132.7104,48.778,-121.594,-8,53073,51783,34.78,210728.46
1943,132.7104,48.804,-121.434,-8,53073,520,21.82,122832.52
1944,132.7104,48.83,-121.274,-8,53073,51610,19.17,101528.21
1945,132.7104,48.855,-121.114,-8,53073,51587,17.19,107303.68
1946,132.7104,48.881,-120.953,-8,53073,51587,25.33,154835.92
1947,132.7104,48.906,-120.793,-8,53073,51587,46.27,296013.75
1948,132.7104,48.931,-120.632,-8,53047,51587,55.34,335429.66
1949,132.7104,48.957,-120.471,-8,53047,51107,98.48,362527.96
1950,119.232,48.981,-120.31,-8,53047,51107,85.95,352072.13
1951,85.9572,49.006,-120.149,-8,53047,51107,72.31,418494.61
1952,52.4475,49.031,-119.988,-8,53047,51107,60.83,449688.74
1953,18.8649,49.055,-119.826,-8,53047,51058,41.82,775549.58
2302,63.3015,48.131,-124.712,-8,53009,81741,109.76,731324.14
2303,132.7104,48.16,-124.555,-8,53009,81741,90.38,382152.38
2304,132.7104,48.189,-124.398,-8,53009,81741,76.56,345066.54
2305,115.8057,48.218,-124.241,-8,53009,81741,65.12,317423.32
2306,10.4085,48.246,-124.084,-8,53009,468,20.51,1500124.05
2313,21.7971,48.442,-122.98,-8,53055,52227,30.17,1167015.57
2314,43.8048,48.47,-122.822,-8,53055,79000,19.11,484903.39
2315,44.1693,48.497,-122.663,-8,53057,79000,5.5,84163.57
2316,50.6412,48.524,-122.505,-8,53057,1043,5.5,69922.55
2317,131.5116,48.551,-122.346,-8,53057,1043,5.5,43792.31
2318,132.7104,48.578,-122.187,-8,53057,1044,5.5,61318.65
2319,132.7104,48.604,-122.028,-8,53057,51851,10.18,84834.77
2320,132.7104,48.631,-121.869,-8,53057,1077,11.38,98058.52
2321,132.7104,48.657,-121.709,-8,53073,51783,16.85,100311.38
2322,132.7104,48.683,-121.55,-8,53073,51783,24.37,172071.41
2323,132.7104,48.709,-121.39,-8,53073,520,10.12,94546.67
2324,132.7104,48.735,-121.23,-8,53073,520,5.5,54548.03
2325,132.7104,48.761,-121.07,-8,53073,51587,5.5,64570.62
2326,132.7104,48.786,-120.91,-8,53073,51587,20.8,130010.69
2327,132.7104,48.812,-120.75,-8,53073,51587,37.12,232920.18
2328,132.7104,48.837,-120.589,-8,53047,51587,47.85,269127.73
2329,132.7104,48.862,-120.429,-8,53047,51107,88.38,428609.58
2330,132.7104,48.887,-120.268,-8,53047,51107,89.45,427347.88
2331,132.7104,48.911,-120.107,-8,53047,51107,60.84,301830.86
2332,132.7104,48.936,-119.946,-8,53047,51107,55.73,267860.91
2333,132.7104,48.96,-119.785,-8,53047,51107,42.9,169004.12
2334,117.5634,48.985,-119.624,-8,53047,51107,39.21,170951.57
2335,79.3152,49.009,-119.462,-8,53047,51107,40.81,231765.91
2336,49.7259,49.033,-119.301,-8,53047,51107,47.74,306633.71
2337,20.3148,49.056,-119.139,-8,53047,51058,32.02,490158.26
2682,81.3645,48.038,-124.663,-8,53009,81741,101.88,758134.41
2683,132.7104,48.067,-124.506,-8,53009,81741,88.05,386022.37
2684,132.7104,48.096,-124.35,-8,53009,81741,74.98,335100.19
2685,132.7104,48.124,-124.193,-8,53009,81741,59.94,275852.01
2686,101.4039,48.153,-124.036,-8,53009,81741,47.6,279789.92
2687,30.5694,48.181,-123.879,-8,53009,468,6.53,304815.84
2688,3.0618,48.21,-123.722,-8,53009,468,11.37,5467873.46
2695,62.4915,48.403,-122.618,-8,53057,52162,12,132345.92
2696,123.12,48.43,-122.459,-8,53057,52067,5.5,34299.06
2697,132.7104,48.457,-122.301,-8,53057,79002,5.5,35707.56
2698,132.7104,48.484,-122.142,-8,53057,51924,5.5,34106.03
2699,132.7104,48.51,-121.983,-8,53057,51851,5.5,40950.87
2700,132.7104,48.537,-121.824,-8,53057,51783,6.73,49811.47
2701,132.7104,48.563,-121.665,-8,53057,51783,7.16,64139.82
2702,132.7104,48.589,-121.506,-8,53057,520,10.88,122636.15
2703,132.7104,48.615,-121.346,-8,53057,520,5.5,78647.19
2704,132.7104,48.641,-121.187,-8,53073,51610,10.52,79886.59
