region,class,bin,capacity,supply_curve_cost_per_mw,dist_km
i1544,7,1,6.1965,11677945.7117,45.8411
i1923,8,1,5.9049,7229870.4224,35.9847
i1924,7,1,10.5219,3834886.9949,33.2682
i1939,10,1,6.0264,3694511.3882,12.574
i2303,9,1,13.2678,2383466.4419,27.7718
i2304,8,1,10.8777,2263487.6267,19.0268
i2305,9,1,40.824,737939.6138,21.2497
i2306,9,1,5.8806,8186042.7328,20.5052
i2683,9,1,24.0925,1107455.9476,19.8496
i2684,8,1,23.2947,755809.6474,8.6784
i2685,8,1,14.0454,1308909.0533,10.243
i2686,9,1,22.5747,873266.3368,6.3911
i2699,10,1,12.636,862373.7589,5.5
i2700,10,1,7.9704,1516087.0929,6.7293
i3062,8,1,16.4268,2218068.4504,34.7263
i3063,9,1,41.4995,669131.236,21.7679
i3064,9,1,16.9614,1318620.517,11.7948
i3442,8,1,5.6133,7694614.7128,39.433
i3443,9,1,23.7168,1494568.2528,29.7017
i3474,10,1,26.5356,473333.2263,5.5
i3475,10,1,13.5351,1004301.6995,8.6874
i3865,10,1,7.7274,1499646.3143,7.0829
i4234,9,1,5.6862,2348098.92,7.2037
i4252,10,1,20.1933,1785120.3676,37.1179
i4253,10,1,7.3143,4770059.4428,36.93
i4613,10,1,15.6492,626572.2136,5.5
i4614,10,1,33.1695,508676.8621,9.2684
i4615,8,1,6.3909,4105063.9539,21.3104
i4616,10,1,24.1785,1819187.8047,37.2538
i4633,10,1,6.1965,3688259.4939,22.9251
i4640,10,1,11.5911,4502905.6437,50.6521
i4963,9,1,98.2935,803328.8201,78.0191
i4964,10,1,16.6212,4773140.5578,78.2955
i4992,10,1,26.2926,582654.6823,5.5
i4993,9,1,14.4828,869732.6529,5.5
i4994,10,1,24.6888,971322.9093,18.8351
i4995,10,1,19.3185,1479699.973,27.4054
i4996,10,1,13.1463,2727760.8605,32.6307
i4997,10,1,28.7226,1366018.3127,36.2137
i4998,10,1,28.8927,1393520.4198,34.1554
i4999,9,1,13.7295,2729458.9131,22.8979
i5012,9,1,18.711,1267163.8726,16.8077
i5342,8,1,6.4395,10368231.0167,67.7336
i5343,9,1,45.3924,1502494.2563,64.8434
i5344,10,1,23.3863,2786246.722,64.1351
i5345,10,1,7.5816,9527189.9491,65.6097
i5370,10,1,8.0919,2398505.2881,11.5968
i5371,10,1,10.3761,1035610.8784,5.5
i5372,10,1,69.7653,224523.4427,5.5
i5373,9,1,90.639,163008.3886,5.5
i5374,10,1,24.0327,623408.1573,8.3993
i5375,10,1,19.926,1224376.3533,18.0395
i5377,10,1,26.1711,1111715.5204,24.9728
i5378,10,1,11.664,3119287.1186,33.2117
i5379,9,1,15.9651,3382095.6827,43.7029
i5380,10,1,8.4078,5403088.5548,29.6788
i5409,1,1,16.7427,4238417.4097,71.1057
i5410,1,1,116.64,483570.5249,62.7335
i5411,6,1,81.9882,609550.3121,55.7064
i5722,8,1,9.7443,6933118.6518,59.3097
i5723,9,1,44.7606,1297923.841,52.6241
i5724,10,1,5.6536,8863019.5903,51.1458
i5750,10,1,19.7559,985063.5745,12.0393
i5751,10,1,24.4215,638518.7395,5.5
i5752,10,1,95.5719,162871.1512,5.5
i5753,10,1,31.7115,549463.3508,8.9793
i5754,10,1,8.3349,1268142.131,5.5
i5755,10,1,11.1051,1323240.3413,9.9704
i5756,10,1,34.3602,408926.7741,6.6057
i5757,10,1,26.9001,794692.1234,18.1487
i5758,10,1,13.9968,2196897.0749,26.2551
i5760,10,1,7.4115,7195576.1641,41.9263
i5769,10,1,17.739,2234982.4751,36.1791
i5772,8,1,6.2451,2205640.7876,5.5
i5790,1,1,109.3986,429461.4261,50.0089
i5791,1,1,172.6272,205044.7076,44.1119
i5792,1,1,158.0715,214350.1841,40.965
i5793,2,1,258.8436,114978.9815,43.5617
i5794,4,1,158.7762,198304.6654,44.6188
i5795,5,1,203.9013,129815.1507,31.7568
i5796,3,1,120.4794,154589.7167,19.5657
i6102,8,1,9.7686,5378555.0359,43.3685
