,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,1004.834248,1092.869644,1191.041358,1278.88019,1404.925852,1444.657225,1487.835914,1545.311514,1597.291479,1698.431987,1736.328443,1886.726058,2001.127037,2086.705457,2254.412563
p2,1001.275896,1228.081199,1339.132869,1405.8629,1464.99487,1525.637645,1605.950659,1690.753271,1759.175295,1809.079356,1884.487231,1985.251356,2067.644342,2186.806807,2385.9806
p3,969.0031454,0,1284.821776,1326.921726,1502.758244,1590.599969,1677.252061,1735.57471,1774.767308,1839.037832,1949.140141,2001.337252,2132.369934,2355.312991,2737.428149
p4,800.5550548,1030.737526,1111.043933,1202.713823,1279.157665,1384.850184,1470.569363,1535.483048,1591.484934,1672.487309,1733.815059,1850.598389,1993.879416,2239.81697,2569.285285
p5,979.385309,1161.267023,1265.484026,1357.50882,1424.36231,1502.889185,1576.602399,1643.746459,1711.942946,1793.087656,1879.923616,1992.581201,2100.52609,2222.499926,2489.742784
p6,958.7506094,1154.61014,1282.53787,1399.302397,1444.273891,1546.328732,1617.295814,1679.481592,1746.833298,1806.026536,1926.376519,2000.309906,2103.031359,2236.927279,2477.624206
p7,963.2156319,1163.977379,1307.342895,1400.866282,1498.392858,1582.836774,1653.201302,1711.372683,1768.116004,1855.293642,1935.452885,2029.120232,2132.161153,2255.258045,2530.829578
p8,934.431753,1089.336028,1153.366228,1253.357357,1315.022539,1373.856546,1435.889624,1534.988393,1637.852599,1718.747806,1838.87194,1943.47272,2043.254361,2167.665714,2431.669082
p9,832.0917909,1015.495135,1150.736833,1226.482195,1341.89554,1460.588295,1514.848259,1558.012272,1660.014167,1796.319314,1884.377611,1977.009218,2093.465679,2208.171851,2510.002541
p10,885.8816166,1075.40415,1211.772508,1303.170632,1394.048201,1519.495965,1614.140323,1697.980775,1786.533689,1874.022422,1962.623266,2067.156583,2168.879037,2299.142677,2546.984689
p11,1186.554638,1344.805768,1454.378958,0,1693.963785,0,1780.139832,1864.602632,1873.576289,1887.588007,1927.570184,1973.231363,2052.728097,2589.315899,2656.436133
p12,918.7361997,1082.564894,1207.998568,1315.245088,1414.23305,1504.644486,1591.402839,1671.944649,1747.470795,1822.584913,1901.724159,1987.544909,2091.803937,2225.846386,2486.59107
p13,1382.239004,1517.700433,1604.155951,1690.593487,1798.863428,1853.298746,1883.380806,1934.501105,1987.359723,2042.051258,2096.160603,2161.196053,2236.977703,2345.016313,2510.082556
p14,955.4113395,1185.859938,1298.834014,1444.322178,1478.29829,1495.038736,1632.988648,1703.295016,1714.185171,1730.622668,1740.280173,1838.092764,1908.689122,2123.125195,2263.986383
p15,1001.097705,1189.347182,1326.606364,1419.883221,1484.075108,1542.863136,1607.23294,1694.4313,1757.194572,1832.424848,1914.630518,1996.077654,2085.442763,2228.017133,2568.260938
p16,926.1032519,1110.585853,1216.39666,1345.585346,1436.347564,1490.491972,1555.387184,1660.956424,1729.958414,1812.137823,1896.227584,2002.694176,2139.087528,2279.228559,2543.714366
p17,936.9778272,1121.101496,1228.824663,1311.383482,1417.481362,1502.283586,1567.343926,1627.926006,1715.950918,1788.235206,1872.808166,1943.518988,2027.116236,2122.847979,2349.10031
p18,1036.237007,1142.665396,1246.418374,1333.255564,1442.991892,1532.372534,1596.537855,1656.131585,1722.595985,1822.094192,1913.208435,2014.123356,2107.632675,2274.710227,2493.926021
p20,1566.537773,0,1659.502526,1664.867195,1696.785147,1824.172808,0,0,1968.002336,2137.269854,2186.700605,0,2339.753519,2383.085219,2853.591296
p21,1088.342556,1297.545739,1398.685512,1482.443978,1540.96953,1602.721247,1691.89461,1784.068264,1849.93335,1924.099808,2026.002306,2116.497495,2218.293263,2355.060378,2678.611267
p22,1009.137393,1035.901771,1103.774149,1114.503607,1183.404089,1250.068122,1289.690686,1394.422056,1533.810605,1651.943656,1825.911335,1909.012385,2039.388465,2177.051713,2307.330307
p23,1397.346855,1567.513149,1594.704391,1636.309831,1723.827636,1735.867203,1762.754794,1802.777675,1813.854827,1826.46818,1856.057764,1937.163325,2021.780542,2247.684965,2696.184397
p24,1157.369403,1283.985431,1348.345736,1413.393942,1544.396674,1624.896548,1711.195408,1779.009823,1848.564616,1935.623465,2016.97583,2079.880348,2190.250178,2309.083813,2621.393212
p25,848.4513834,1028.622504,1133.207661,1222.201343,1298.030446,1390.880616,1484.596112,1564.733972,1650.563146,1735.211871,1824.161457,1910.750276,2006.677799,2162.102929,2457.599829
p26,985.7797995,1118.769886,1189.820676,1272.853153,1344.623788,1412.882326,1481.563274,1541.078504,1616.043422,1702.566833,1785.561208,1874.065092,1987.831636,2144.081343,2405.849478
p27,995.907646,1131.130785,1216.660922,1296.741798,1405.29728,1482.588406,1553.322141,1649.166702,1726.451848,1800.199681,1864.496165,1959.990093,2089.495592,2218.94483,2490.094262
p28,955.2031626,1107.906988,1207.53091,1277.700113,1351.072229,1414.165493,1482.803945,1573.266386,1656.567795,1739.526835,1839.103988,1948.915425,2069.74533,2230.212514,2542.621545
p29,899.2406278,1013.793211,1126.496931,1181.105309,1218.885042,1275.325368,1372.746334,1445.610247,1509.197979,1609.965653,1707.930111,1807.425387,1906.034122,2095.740372,2508.449087
p30,1527.534879,0,0,0,0,0,0,0,0,0,0,0,0,0,1929.88716
p31,1066.22055,1254.284368,1375.673499,1469.977028,1545.935622,1628.278153,1705.776444,1791.249584,1870.759159,1947.357904,2023.761837,2139.800009,2264.87843,2411.502846,2742.415564
p32,1884.640315,0,0,0,0,0,0,2358.968344,0,0,0,0,0,0,2535.374298
p33,894.3418297,1064.067108,1151.310561,1238.690603,1337.051403,1412.374223,1524.630443,1597.98692,1661.610082,1749.432505,1847.926424,1938.488105,2061.194939,2173.495938,2387.491284
p34,1115.899207,1305.701554,1408.276745,1474.029227,1542.452155,1641.850285,1712.407227,1787.015538,1849.456665,1932.920702,2013.956959,2118.745416,2223.503245,2339.310456,2606.401755
p47,1318.868622,0,0,0,2302.052473,0,2690.453394,2708.952704,0,2971.660796,0,0,3012.518206,3078.609293,3246.782689
p50,1666.218175,2106.01699,0,2211.534077,2229.092428,0,0,2337.481005,0,0,2439.221196,0,2660.821808,0,3033.632302
p56,1457.490898,1493.632595,1662.786254,1725.035543,1725.482701,1817.376219,0,1958.545437,2086.01192,2137.137782,2147.307113,2164.531725,2176.435919,2261.875025,2271.580506
p59,1510.242892,0,0,0,0,0,0,1752.815376,0,0,0,0,0,0,2506.689289
p61,1264.707163,1402.888083,1481.994323,1595.241332,1678.492411,1756.330834,1856.620982,1957.183805,2016.20947,2105.207794,2199.408611,2305.160582,2418.819071,2582.844958,2993.365992
p85,1199.467806,1487.97271,1579.313246,0,1651.654626,0,1713.856078,1822.40041,1903.923325,1943.559365,0,1969.683403,2126.605072,0,2448.657688
p89,1659.486101,1717.740019,0,1977.380128,0,2133.748065,0,2254.583665,0,2325.271967,2334.146614,0,2372.794184,2432.272774,2609.120171
p90,0,0,0,0,0,0,0,1640.620267,0,0,0,0,0,0,0
p92,1348.659485,1479.630441,1561.147018,1636.098307,1735.39479,1809.511735,1870.604928,1952.607822,2022.378088,2084.704966,2163.783608,2283.230926,2451.890806,2587.48525,2797.185641
p94,1209.40775,1435.648892,1505.297689,1571.051558,1654.064889,1713.315704,1774.700263,1835.292684,1939.464974,2010.329521,2067.023796,2156.905477,2273.167046,2399.950496,2642.392568
p95,985.6636614,1013.182853,1184.459727,1208.964943,1244.085142,0,1304.619684,1339.448506,1347.059425,1512.764909,1642.87325,1861.893457,1965.747637,1997.915824,2307.836671
p97,1129.712267,1241.188302,1282.74717,1325.523504,1422.993741,1459.156034,1490.028049,1562.146111,1624.371681,1715.496701,1769.642777,1854.865531,1959.438681,2080.576413,2269.361837
p99,1010.409468,1152.543866,1192.318717,1225.879727,1320.238591,1367.844655,1429.411211,1572.320883,1648.627908,1754.365867,1787.737614,1935.731982,2009.566393,2091.865614,2186.033704
p100,1356.085426,0,0,1720.723941,0,2065.768371,0,0,2148.960429,0,0,2201.681665,0,2271.795044,2455.60046
