,,dupvsc1,dupvsc2,dupvsc3,dupvsc4,dupvsc5
p157,class6,208.3968,165.1104,115.6032,405.1296,294.192
p157,class7,696.4704,406.6848,1906.6752,806.8896,1038.8736
p158,class6,14.5152,265.1616,129.8592,678.8448,154.224
p159,class6,355.8816,216.6912,2.0736,30.0672,215.9136
p159,class7,1027.728,1424.8224,1082.9376,557.28,1789.5168
p160,class6,1239.7536,2448.144,1051.056,390.6144,142.56
p160,class7,221.0976,805.3344,314.928,34.2144,388.2816
p161,class6,269.568,1177.2864,2030.3136,1101.8592,406.944
p162,class6,297.3024,501.0336,518.6592,224.7264,351.9936
p163,class7,75.168,1043.5392,420.4224,972.7776,1270.3392
p164,class6,1.8144,450.2304,368.8416,303.5232,285.8976
p164,class7,164.8512,149.2992,150.8544,91.4976,313.8912
p165,class6,249.3504,605.7504,41.2128,226.8,281.4912
p165,class7,1101.0816,2778.624,1528.7616,515.2896,864.1728
p166,class6,0.5184,0.7776,1.8144,60.6528,0
p166,class7,1870.6464,268.7904,496.6272,679.6224,157.3344
p167,class7,2684.016,3793.1328,1282.5216,940.1184,399.9456
p168,class5,55.2096,680.9184,649.0368,995.5872,795.2256
p168,class6,88.9056,571.0176,898.3872,320.3712,150.8544
p169,class5,11.664,32.1408,444.7872,1028.7648,962.4096
p170,class5,308.448,470.448,427.1616,1283.04,329.184
p170,class6,19.9584,175.2192,0,0,0
p171,class5,27.216,1341.1008,1084.752,265.1616,529.0272
p172,class5,3046.6368,3518.1216,2067.6384,623.1168,1989.6192
p172,class6,1300.6656,614.5632,756.0864,442.4544,495.072
p172,class7,87.8688,28.512,44.8416,75.4272,0
p173,class6,53.136,9.072,572.3136,171.3312,437.0112
p173,class7,7.2576,360.0288,27.216,521.5104,60.6528
p174,class5,333.5904,253.7568,205.5456,470.7072,55.728
p175,class4,4.1472,6.7392,237.168,38.3616,5.4432
p175,class5,519.696,509.8464,1404.0864,672.3648,895.0176
p175,class6,1.296,27.216,65.8368,0,0
p176,class4,1.296,40.4352,0.7776,20.736,2.0736
p176,class5,33.696,9.3312,13.2192,164.8512,23.0688
p177,class5,23.8464,82.944,61.4304,32.9184,0
p177,class6,15.2928,953.0784,160.9632,270.3456,223.4304
p177,class7,18.6624,0,0,0,0
p178,class5,41.7312,0,0,0,0
p178,class6,484.1856,565.8336,1247.0112,1105.7472,644.112
p178,class7,67.392,16.0704,28.512,21.2544,47.952
p179,class5,7.2576,0,0,0,0
p179,class6,310.0032,27.9936,33.696,256.608,1295.2224
p179,class7,7376.3136,3016.8288,2298.0672,2726.784,282.0096
p180,class6,12.96,0,0,0,0
p180,class7,4633.4592,5331.4848,6573.0528,2587.3344,2227.824
p181,class6,13.2192,14.256,198.288,80.0928,820.6272
p181,class7,35.7696,1226.5344,1889.3088,972.7776,1164.5856
p182,class6,2.3328,16.3296,9.072,15.8112,0
p182,class7,2386.7136,4799.088,6132.4128,1321.4016,753.7536
p183,class6,161.4816,258.9408,789.264,510.624,136.8576
p184,class5,1.5552,1.296,5.9616,29.2896,149.5584
p184,class6,734.832,1760.2272,1830.2112,1417.0464,1771.3728
p184,class7,244.6848,389.5776,1487.2896,602.8992,2427.1488
p185,class6,665.3664,832.8096,442.4544,26.6976,158.6304
p185,class7,37.8432,11.4048,0,0,0
p186,class5,3.888,33.696,11.9232,0,0
p186,class6,3.6288,41.7312,52.0992,97.9776,90.4608
p186,class7,1292.6304,2773.6992,3151.6128,3047.1552,1399.68
p187,class4,0.7776,1.8144,74.3904,1.8144,16.5888
