sc_point_gid,latitude,longitude,state,county,cnty_fips,rb
1985,49.028,-123.286,Washington,Whatcom,53073,p1
1986,49.054,-123.138,Washington,Whatcom,53073,p1
2463,48.942,-123.242,Washington,Whatcom,53073,p1
2465,48.993,-122.948,Washington,Whatcom,53073,p1
2941,48.855,-123.199,Washington,Whatcom,53073,p1
2942,48.881,-123.052,Washington,Whatcom,53073,p1
3403,48.344,-125.485,Washington,Clallam,53009,p2
3404,48.371,-125.34,Washington,Clallam,53009,p2
3405,48.399,-125.196,Washington,Clallam,53009,p2
3420,48.794,-123.009,Washington,Whatcom,53073,p1
3876,48.119,-126.158,Washington,Clallam,53009,p2
3877,48.147,-126.014,Washington,Clallam,53009,p2
3878,48.175,-125.871,Washington,Clallam,53009,p2
3879,48.203,-125.727,Washington,Clallam,53009,p2
3896,48.657,-123.259,Washington,San Juan,53055,p1
3897,48.682,-123.113,Washington,San Juan,53055,p1
3898,48.707,-122.966,Washington,San Juan,53055,p1
4350,47.919,-126.683,Washington,Clallam,53009,p2
4351,47.948,-126.54,Washington,Clallam,53009,p2
4352,47.976,-126.397,Washington,Clallam,53009,p2
4353,48.005,-126.254,Washington,Clallam,53009,p2
4354,48.033,-126.111,Washington,Clallam,53009,p2
4355,48.061,-125.967,Washington,Clallam,53009,p2
4356,48.089,-125.824,Washington,Clallam,53009,p2
4357,48.117,-125.68,Washington,Clallam,53009,p2
4825,47.748,-127.062,Washington,Clallam,53009,p2
4826,47.777,-126.92,Washington,Clallam,53009,p2
4827,47.805,-126.778,Washington,Clallam,53009,p2
4828,47.834,-126.635,Washington,Clallam,53009,p2
4829,47.863,-126.493,Washington,Clallam,53009,p2
4830,47.891,-126.35,Washington,Clallam,53009,p2
4831,47.919,-126.207,Washington,Clallam,53009,p2
4832,47.947,-126.064,Washington,Clallam,53009,p2
4833,47.975,-125.921,Washington,Clallam,53009,p2
4834,48.003,-125.777,Washington,Clallam,53009,p2
4835,48.031,-125.634,Washington,Clallam,53009,p2
4836,48.059,-125.49,Washington,Clallam,53009,p2
4852,48.484,-123.173,Washington,San Juan,53055,p1
4854,48.534,-122.881,Washington,San Juan,53055,p1
4855,48.559,-122.734,Washington,Skagit,53057,p1
5299,47.545,-127.581,Washington,Clallam,53009,p2
5300,47.575,-127.44,Washington,Clallam,53009,p2
5301,47.604,-127.298,Washington,Clallam,53009,p2
5302,47.633,-127.156,Washington,Clallam,53009,p2
5303,47.662,-127.014,Washington,Clallam,53009,p2
5304,47.691,-126.872,Washington,Clallam,53009,p2
5305,47.72,-126.73,Washington,Clallam,53009,p2
5306,47.749,-126.588,Washington,Clallam,53009,p2
5307,47.777,-126.445,Washington,Clallam,53009,p2
5308,47.805,-126.303,Washington,Clallam,53009,p2
5309,47.834,-126.16,Washington,Clallam,53009,p2
5310,47.862,-126.017,Washington,Clallam,53009,p2
5311,47.89,-125.874,Washington,Clallam,53009,p2
5312,47.918,-125.731,Washington,Clallam,53009,p2
5313,47.945,-125.587,Washington,Clallam,53009,p2
5314,47.973,-125.444,Washington,Clallam,53009,p2
5329,48.372,-123.275,Washington,San Juan,53055,p1
5330,48.397,-123.13,Washington,San Juan,53055,p1
5775,47.401,-127.814,Washington,Clallam,53009,p2
5776,47.431,-127.673,Washington,Clallam,53009,p2
5777,47.46,-127.532,Washington,Clallam,53009,p2
5778,47.49,-127.391,Washington,Clallam,53009,p2
5779,47.519,-127.249,Washington,Clallam,53009,p2
5780,47.548,-127.108,Washington,Clallam,53009,p2
5781,47.577,-126.966,Washington,Clallam,53009,p2
5782,47.606,-126.824,Washington,Clallam,53009,p2
5783,47.635,-126.682,Washington,Clallam,53009,p2
5784,47.663,-126.54,Washington,Clallam,53009,p2
5785,47.692,-126.398,Washington,Clallam,53009,p2
5786,47.72,-126.255,Washington,Clallam,53009,p2
5787,47.748,-126.113,Washington,Clallam,53009,p2
5788,47.776,-125.97,Washington,Clallam,53009,p2
5789,47.804,-125.827,Washington,Clallam,53009,p2
5790,47.832,-125.684,Washington,Clallam,53009,p2
5791,47.86,-125.541,Washington,Clallam,53009,p2
5792,47.887,-125.398,Washington,Clallam,53009,p2
5793,47.915,-125.254,Washington,Clallam,53009,p2
5805,48.234,-123.523,Washington,Clallam,53009,p2
5806,48.259,-123.378,Washington,Clallam,53009,p2
5807,48.285,-123.232,Washington,Clallam,53009,p2
6250,47.227,-128.187,Washington,Clallam,53009,p2
6251,47.257,-128.046,Washington,Clallam,53009,p2
6252,47.287,-127.906,Washington,Clallam,53009,p2
6253,47.316,-127.765,Washington,Clallam,53009,p2
6254,47.346,-127.624,Washington,Clallam,53009,p2
6255,47.375,-127.483,Washington,Clallam,53009,p2
6256,47.405,-127.342,Washington,Clallam,53009,p2
6257,47.434,-127.201,Washington,Clallam,53009,p2
6258,47.463,-127.06,Washington,Clallam,53009,p2
6259,47.492,-126.918,Washington,Clallam,53009,p2
6260,47.52,-126.776,Washington,Clallam,53009,p2
6261,47.549,-126.635,Washington,Clallam,53009,p2
6262,47.578,-126.493,Washington,Clallam,53009,p2
6263,47.606,-126.351,Washington,Clallam,53009,p2
6264,47.634,-126.208,Washington,Clallam,53009,p2
6265,47.663,-126.066,Washington,Clallam,53009,p2
6266,47.691,-125.923,Washington,Clallam,53009,p2
6267,47.718,-125.781,Washington,Clallam,53009,p2
6268,47.746,-125.638,Washington,Clallam,53009,p2
6269,47.774,-125.495,Washington,Clallam,53009,p2
6270,47.801,-125.352,Washington,Clallam,53009,p2
6271,47.829,-125.209,Washington,Clallam,53009,p2
6272,47.856,-125.065,Washington,Clallam,53009,p2
6726,47.082,-128.417,Washington,Clallam,53009,p2
6727,47.112,-128.277,Washington,Clallam,53009,p2
6728,47.142,-128.137,Washington,Clallam,53009,p2
6729,47.172,-127.997,Washington,Clallam,53009,p2
6730,47.202,-127.857,Washington,Clallam,53009,p2
6731,47.231,-127.716,Washington,Clallam,53009,p2
6732,47.261,-127.576,Washington,Clallam,53009,p2
6733,47.29,-127.435,Washington,Clallam,53009,p2
6734,47.319,-127.294,Washington,Clallam,53009,p2
6735,47.349,-127.153,Washington,Clallam,53009,p2
6736,47.378,-127.012,Washington,Clallam,53009,p2
6737,47.406,-126.87,Washington,Clallam,53009,p2
6738,47.435,-126.729,Washington,Clallam,53009,p2
6739,47.464,-126.587,Washington,Clallam,53009,p2
6740,47.492,-126.445,Washington,Clallam,53009,p2
6741,47.521,-126.304,Washington,Clallam,53009,p2
6742,47.549,-126.161,Washington,Clallam,53009,p2
6743,47.577,-126.019,Washington,Clallam,53009,p2
6744,47.605,-125.877,Washington,Clallam,53009,p2
6745,47.633,-125.735,Washington,Clallam,53009,p2
6746,47.661,-125.592,Washington,Clallam,53009,p2
6747,47.688,-125.449,Washington,Clallam,53009,p2
