,,,wsc1,wsc2,wsc3,wsc4,wsc5
1,class12,wind-ofs,295203.4311,441429.8013,551832.8629,659173.9504,804796.5984
1,class13,wind-ofs,535001.0974,702931.8877,823584.2636,917424.9097,1014532.574
1,class14,wind-ofs,364297.51,829041.8503,984746.7386,1161845.97,1224796.673
1,class15,wind-ofs,182588.3936,528939.9056,0,0,0
1,class5,wind-ofs,194505.8406,416809.9801,549600.7098,667016.4631,881311.0512
2,class14,wind-ofs,174362.4095,182749.6043,0,0,0
3,class15,wind-ofs,157493.8542,0,0,0,0
10,class11,wind-ofs,196643.7265,238626.967,334651.4383,0,0
10,class12,wind-ofs,283109.1863,357804.2002,441616.6043,514140.8352,629151.1009
10,class13,wind-ofs,518060.4943,650862.2097,728721.586,772819.0099,818945.6537
10,class14,wind-ofs,798776.5293,828665.8881,844304.865,861747.7022,863567.1174
10,class5,wind-ofs,176034.3452,189405.858,283209.2473,294128.8822,519600.8759
13,class11,wind-ofs,218858.5128,373706.4606,463295.9284,559515.6461,645676.7006
13,class12,wind-ofs,380689.7374,507193.5795,596963.5751,668941.1806,751356.277
13,class13,wind-ofs,640523.4332,753577.0417,821099.942,867988.7193,909628.5737
13,class14,wind-ofs,896455.8172,919804.8907,927832.5055,967174.4132,0
13,class5,wind-ofs,202675.9259,258006.0537,311828.9912,382851.3879,458260.4423
14,class10,wind-ofs,165588.8678,189033.9754,247467.1503,336249.2217,507866.0959
14,class11,wind-ofs,309895.5399,429559.4796,472807.7186,564214.8186,680643.2529
14,class12,wind-ofs,237707.7142,334915.2829,554036.2113,641088.7258,768748.0988
14,class13,wind-ofs,682558.6749,698371.0649,713526.4456,765021.3639,0
14,class4,wind-ofs,283340.8663,0,0,0,0
14,class5,wind-ofs,145109.0319,192572.8079,0,0,0
14,class9,wind-ofs,303637.0498,341074.3172,373448.9676,0,0
15,class11,wind-ofs,240486.5085,404488.0505,535148.8715,537559.8473,568758.7878
15,class12,wind-ofs,628248.5971,644116.8219,675143.2493,754388.6112,791344.4734
15,class13,wind-ofs,735307.0337,0,0,0,0
20,class10,wind-ofs,305426.7224,390550.3066,410970.5618,529654.6739,0
20,class11,wind-ofs,377932.9679,493555.4378,552487.3367,622134.0917,713224.5888
20,class12,wind-ofs,222487.6462,456984.0121,583946.2861,723681.3813,829678.8989
20,class13,wind-ofs,197029.2378,272505.091,375729.7905,436155.5632,541626.1159
20,class14,wind-ofs,208614.5349,257779.5868,299804.0472,372335.0684,534339.1361
20,class15,wind-ofs,163963.1979,349015.0098,636332.1906,655806.7396,690512.8209
20,class5,wind-ofs,270580.9334,278364.9875,341810.4406,365289.9659,0
25,class11,wind-ofs,182440.4508,268748.648,388575.805,400347.6562,497397.4561
25,class12,wind-ofs,222973.0858,325843.7917,474812.3087,564169.8268,647137.7439
25,class13,wind-ofs,444600.8642,541100.7594,614535.8257,700214.3891,780710.1426
25,class14,wind-ofs,277438.2307,461193.2859,652150.1725,729812.4713,817681.1945
25,class15,wind-ofs,206555.6481,526055.8903,708879.4636,828931.5072,914962.2137
25,class5,wind-ofs,186072.4553,203704.0924,262339.925,301242.1781,336813.1819
29,class11,wind-ofs,673972.0399,853053.0994,870216.9981,0,0
29,class12,wind-ofs,549822.8706,632589.0673,721943.757,787419.1055,881156.0184
29,class13,wind-ofs,492231.8999,581773.807,699271.5476,838942.0796,946866.1113
29,class14,wind-ofs,479539.447,678115.41,762567.1054,846480.1844,969734.5655
29,class15,wind-ofs,361216.3023,493028.5613,589475.2101,734336.8817,910591.3487
29,class5,wind-ofs,680633.4448,771109.1962,810376.5197,0,0
31,class13,wind-ofs,914001.6587,953679.2792,0,0,0
31,class14,wind-ofs,401590.8996,908857.2662,984192.152,1037347.818,1084510.061
31,class15,wind-ofs,267046.368,968212.0318,1126530.345,1243949.665,1337188.353
125,class5,wind-ofs,158944.7904,0,0,0,0
129,class4,wind-ofs,174003.139,0,0,0,0
129,class5,wind-ofs,189292.5617,306111.5064,437336.1717,600366.3229,702985.6908
162,class12,wind-ofs,1401048.547,1479043.636,1554846.557,1611546.878,1658474.972
162,class13,wind-ofs,1460686.09,1585110.612,1656979.353,1705028.811,1753431.187
162,class14,wind-ofs,1737710.832,1765154.867,1786235.355,1791037.439,1805069.533
162,class2,wind-ofs,419931.0161,0,0,0,0
162,class3,wind-ofs,249647.8279,281814.2354,363760.4563,394307.6417,549400.0814
162,class4,wind-ofs,479985.4794,616085.0798,740672.8049,842600.8806,941878.6499
162,class5,wind-ofs,1028304.137,1124876.058,1214153.318,1300352.034,1385090.625
174,class1,wind-ofs,640782.8529,0,0,0,0
174,class10,wind-ofs,1021973.897,1081848.317,1124331.205,1171867.771,1237736.546
174,class11,wind-ofs,1137849.891,1207590.425,1256774.65,1313018.908,1403702.372
174,class12,wind-ofs,1287366.325,1326475.037,1359570.342,1393601.9,1453764.866
174,class2,wind-ofs,544660.4095,587119.5789,626843.0193,646954.7124,667271.7365
174,class3,wind-ofs,489077.5038,584016.8883,635827.2206,696332.25,740899.6312
174,class4,wind-ofs,576604.2618,674026.3689,761854.829,838767.9117,906131.7923
174,class5,wind-ofs,869071.934,920825.4028,949333.768,985247.4606,1017566.64
174,class9,wind-ofs,899980.9071,946290.0738,968583.3622,1005936.061,1038595.293
175,class11,wind-ofs,1120832.809,1188723.968,1253913.053,1311578.22,1368984.537
175,class12,wind-ofs,1298827.226,1367126.107,1410825.527,1457149.19,1521355.11
175,class13,wind-ofs,1457645.976,1530560.264,1588429.609,1645614.753,1746583.516
175,class14,wind-ofs,1736249.233,0,0,0,0
175,class3,wind-ofs,434097.3214,451991.0601,567694.7386,621701.6737,0
175,class4,wind-ofs,499834.06,606680.7346,718021.0645,828723.0261,950357.5929
175,class5,wind-ofs,894217.3659,972733.008,1045714.488,1130047.002,1228367.724
191,class2,wind-ofs,363156.9374,0,0,0,0
191,class3,wind-ofs,464160.885,480209.2658,482247.3217,511301.2695,533804.0041
