region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km
s2,10,800,8.311,2185552.138,11.062
s1,6,1543,5.565,9768323.095,50.203
s1,7,1544,6.196,11559149.159,45.534
s1,8,1923,10.959,3979292.551,35.91
s1,7,1924,10.619,3785299.786,33.194
s2,10,1939,7.8,2917402.968,12.627
s1,8,2302,6.901,7497820.213,46.209
s1,9,2303,18.662,1743202.756,27.697
s1,8,2304,13.429,1862902.189,18.99
s1,9,2305,43.91,675464.346,21.048
s1,9,2306,5.881,8174834.749,20.505
s6,9,2333,7.266,4628098.84,29.999
s6,10,2335,5.783,2306231.269,9.311
s1,8,2682,23.984,1879580.602,33.128
s1,9,2683,35.173,781134.155,19.902
s1,8,2684,25.871,680289.955,7.726
s1,8,2685,16.014,1100639.056,5.76
s1,9,2686,31.274,641084.433,6.301
s2,10,2699,13.681,658410.901,5.76
s2,10,2700,8.529,908911.595,5.76
s6,9,2712,8.505,5052316.036,35.794
s6,10,2715,10.546,616630.866,5.76
s6,10,2716,20.436,1033643.507,13.507
s6,10,2717,18.735,1589746.241,25.326
s1,8,3062,29.889,1266353.692,34.599
s1,9,3063,41.597,657664.93,21.693
s1,9,3064,20.315,1128900.544,11.795
s6,8,3092,10.959,3678467.545,33.501
s6,10,3094,21.19,728797.361,7.188
s6,10,3096,18.055,1275135.066,17.17
s6,10,3097,6.44,5189537.342,30.116
s1,9,3442,7.144,6066452.657,39.268
s1,9,3443,32.611,1101156.17,29.664
s6,10,3474,41.674,276342.297,5.76
s6,10,3475,14.434,954769.412,8.815
s6,10,3477,6.002,6063675.136,32.489
s3,10,3840,5.811,1508678.154,5.76
s6,10,3853,16.84,894388.991,6.202
s6,10,3854,18.857,574434.114,5.76
s6,10,3855,14.045,1418669.33,14.806
s6,10,3856,13.0,1918148.271,25.204
s8,10,3858,7.752,2257394.978,11.436
s8,10,3863,8.772,4734618.597,35.298
s8,10,3865,7.8,1464531.678,7.083
s41,10,3872,11.056,3479440.573,47.261
s1,10,4204,27.216,2430641.155,58.031
s1,10,4205,8.359,8586527.874,64.235
s6,10,4229,5.905,2460681.81,8.492
s6,10,4230,8.991,1078536.253,5.76
s6,10,4232,5.735,3616579.776,19.555
s6,10,4233,20.266,652575.46,5.76
s6,10,4234,24.519,687434.293,7.204
s6,10,4235,17.229,1499352.539,19.476
s41,10,4250,16.354,4638912.518,52.013
s41,10,4252,20.193,1767904.061,37.081
s41,10,4253,7.314,4746235.275,36.592
s1,10,4583,20.315,3880211.867,70.642
s1,10,4584,27.119,3194977.22,71.094
s6,10,4611,6.585,2516714.512,5.761
s6,10,4612,9.088,754658.595,5.76
s6,10,4613,15.649,539147.558,5.76
s6,10,4614,33.17,502611.387,9.358
s6,8,4615,6.391,4109494.649,21.475
s6,10,4616,24.178,1810239.004,37.307
s41,10,4630,18.784,3724584.667,42.227
s41,10,4633,6.196,3675448.222,22.925
s60,10,4640,21.044,2593921.284,50.832
s1,9,4963,101.331,773464.69,77.929
