,,dupvsc1,dupvsc2,dupvsc3,dupvsc4,dupvsc5
p157,class6,10504.4187,48404.52887,110764.8775,255774.8428,329290.361
p157,class7,16187.67428,124133.3465,225388.9327,324226.538,437426.2157
p158,class6,8393.130571,17840.1802,46103.66032,128714.4331,137391.4723
p159,class6,8994.522811,22950.61802,25449.03276,92714.75165,280217.8347
p159,class7,15442.28458,39642.27373,61735.75067,86912.5689,169583.6426
p160,class6,26658.65327,87848.42407,153653.8812,186867.0636,212324.7644
p160,class7,22758.97058,104953.4531,157107.6527,170001.3992,198120.2293
p161,class6,17701.3757,37449.21611,53565.90282,99217.55988,226062.4066
p162,class6,10019.04698,36876.3075,55523.00102,125877.3134,170046.3167
p163,class7,8438.439739,19707.47557,34880.05354,36418.25565,48533.72585
p164,class6,13087.57032,24823.39825,40603.86617,129456.121,292553.6505
p164,class7,22587.76217,26438.91874,41827.20833,139028.5477,265679.0886
p165,class6,32761.1294,167308.7669,207939.368,331486.6494,418941.2434
p165,class7,27108.95258,154180.2282,195611.3944,287333.4561,441001.8279
p166,class6,11568.14722,41732.4543,65449.1044,195457.9812,0
p166,class7,53974.86004,128808.8955,182133.4159,227805.3071,313554.8836
p167,class7,19636.23349,39823.81544,74199.56351,130747.5155,308604.4494
p168,class5,14522.31533,24639.18669,67692.66585,128961.3962,232194.9589
p168,class6,47467.89961,190828.0136,207533.1799,230030.05,266497.9794
p169,class5,17890.15155,99017.64031,230518.6199,456113.5073,477445.7463
p170,class5,16429.51595,26118.70643,31158.38467,47026.40503,88108.46651
p170,class6,2458.483398,15871.97097,0,0,0
p171,class5,17850.68585,49267.3993,66616.44811,88608.36076,287867.0514
p172,class5,28358.51906,53525.62991,84193.81856,145859.2903,268419.2669
p172,class6,14049.39173,37747.66234,120356.9135,242522.4825,426586.4634
p172,class7,131324.6103,133989.9966,240901.2775,254182.5574,0
p173,class6,5573.669809,19274.5539,24257.6049,26364.51002,38898.38344
p173,class7,13353.36415,18503.90076,24551.85576,30604.29705,33855.83448
p174,class5,10777.49028,46905.10514,87426.52195,110621.6079,177452.357
p175,class4,55691.45067,152018.8361,178268.5798,179330.1207,181564.9681
p175,class5,18120.75952,35927.10825,66767.40748,167652.93,224228.3994
p175,class6,8048.129206,213664.6995,239201.3549,0,0
p176,class4,30479.2874,43216.26504,48142.62689,55867.86284,75793.63045
p176,class5,15832.21276,21967.94605,29437.83124,58257.56176,77157.29883
p177,class5,95485.17298,201955.5116,207738.1201,211545.1902,0
p177,class6,18030.27433,36210.04287,60023.33234,114046.0552,236131.8665
p177,class7,238108.2264,0,0,0,0
p178,class5,290738.9507,0,0,0,0
p178,class6,28891.49031,58020.20542,160657.0596,196213.4132,310564.9551
p178,class7,16399.41586,20739.42718,24206.9327,33221.6911,166140.1788
p179,class5,193307.7718,0,0,0,0
p179,class6,16283.59889,46090.46083,92374.75222,171541.5315,214059.8017
p179,class7,27217.30758,66128.96457,155580.6887,230011.7409,333996.42
p180,class6,180787.6471,0,0,0,0
p180,class7,64873.99232,154703.8537,226577.9047,316916.6295,440877.2516
p181,class6,21732.25461,91848.2485,155137.4502,179974.3651,244529.7755
p181,class7,13459.51959,57243.12812,79941.8774,196530.1675,357016.8976
p182,class6,67356.48615,127931.4075,136880.7626,138365.8948,0
p182,class7,26328.64586,76685.68617,108276.1026,164105.4338,227601.8736
p183,class6,13655.1699,33225.38037,63520.26076,77656.13987,114796.057
p184,class5,23632.58429,30495.54711,54283.61188,86462.34699,186405.0537
p184,class6,30390.66822,81008.25732,134573.9574,209100.2395,288121.7383
p184,class7,20894.24646,53115.74832,136572.127,205104.1082,252808.0425
p185,class6,34893.77662,110447.7456,272826.9018,303688.7834,320437.8113
p185,class7,281612.7116,288298.2067,0,0,0
p186,class5,160626.8433,172680.3496,177080.2948,0,0
p186,class6,83010.66299,127238.1107,140239.7153,202295.6079,216198.5184
p186,class7,27322.41679,62599.96141,107343.6622,144156.4154,200734.2105
p187,class4,19329.65148,47826.01368,172829.0568,209498.4653,211421.7103
p187,class5,33922.86754,102585.4911,156360.7788,199272.5416,241734.4785
p187,class6,21223.93417,73710.76235,119160.0096,173045.0295,245893.6596
p187,class7,33688.98981,110893.5061,201960.1612,237543.3945,274798.5112
p188,class4,45125.58963,89037.71324,146822.0164,171662.5188,189503.6892
p188,class5,65997.01584,108512.6671,153876.8669,178247.5725,225036.7044
p189,class3,14864.118,140673.9855,146447.1564,154437.0472,239468.2703
p189,class4,28458.41158,94670.03092,113626.3218,146357.2632,257572.5478
p189,class5,47424.24966,93930.40732,133352.3217,188645.7091,270630.4982
p189,class6,25906.52878,97522.53753,116546.3712,128925.4414,203118.0011
p190,class3,5107.657383,86474.51483,215963.7007,250361.3927,255576.9824
p190,class4,32889.05148,88051.76879,141983.5494,188635.9226,247485.9646
p190,class5,52429.23878,121055.1297,166133.3196,195768.8476,230490.0595
p190,class6,46235.27248,76831.02053,109096.5318,156907.1253,211779.9659
p190,class7,25361.3562,68869.11001,113877.6465,168005.7689,242378.5334
p191,class5,100947.8543,0,0,0,0
p191,class6,18508.98185,53114.48772,113808.0074,195580.9824,317047.5148
p191,class7,31313.61489,100249.5556,189462.1346,270769.8762,324382.5803
p192,class4,85802.06696,139585.3344,167200.0171,197081.852,226745.2168
p192,class5,31272.103,65844.97482,123692.9395,184218.67,249272.1633
p192,class6,37182.06737,94726.05458,124648.5088,165037.7314,354986.714
p192,class7,29759.73607,110523.358,155777.3816,189275.8679,319927.7939
p193,class4,66390.24853,117045.1242,159236.4214,192844.2692,240518.7132
p193,class5,39039.06236,62552.66874,91983.76091,155169.594,264369.5268
p194,class4,81138.77995,160503.5292,174820.4631,0,0
p194,class5,32955.08499,60723.90067,95233.62823,139715.7099,196968.2662
p194,class6,23235.80215,91135.32109,134460.3097,168235.4423,216643.8031
p195,class3,91353.9283,386102.6238,0,0,0
p195,class4,90291.67507,188831.3378,264886.9549,281132.6083,396911.4071
p195,class5,68368.89154,138926.0191,259955.0506,371755.8217,560922.8066
p195,class6,36178.76437,148743.7395,227159.9272,329615.4795,431942.6738
p196,class5,113266.8378,314762.8154,327457.5511,333579.8308,342762.234
p196,class6,39616.6269,56530.36838,188489.898,313651.3152,448918.183
p196,class7,17107.71347,42587.38715,136284.2072,294392.0762,443960.9002
p197,class6,22245.35515,46964.63159,126735.6123,259129.2511,389414.5717
p198,class5,11205.33528,22971.567,86751.77484,244943.183,304491.7167
p198,class6,9314.255685,35745.387,74347.18399,113023.0645,175654.998
p199,class5,8531.645094,64703.24626,78814.35996,95979.40556,255835.0265
p199,class6,10190.93298,21481.98007,54334.1655,91703.97156,225210.4269
p200,class5,11484.71018,26843.99774,32073.28828,299035.0879,0
p200,class6,66400.65118,70815.53986,76726.35574,77452.98637,86237.30531
p201,class5,5166.87716,7269.225101,8821.475883,12001.73635,16725.28002
p201,class6,3617.377179,8240.692727,15984.96712,32215.81671,62732.14882
p202,class5,29598.27675,55318.85604,92350.05877,141877.8235,349776.4018
p202,class6,13426.23737,45415.78462,65994.25897,107342.3517,288390.961
p202,class7,374239.8645,382540.0921,0,0,0
p203,class6,16130.07994,25055.60767,34154.92664,47252.322,51541.41274
p203,class7,16830.25499,23721.867,36755.10471,44251.89655,89839.22743
p204,class7,15985.89005,26336.0805,41349.56504,80239.06764,98338.63895
p205,class6,845462.3778,0,0,0,0
p205,class7,78995.2109,232786.755,384455.6417,522857.892,791298.5129
p1,class1,6432.252585,15342.15847,27490.2041,56091.33295,101863.8022
p1,class2,1850.494249,3913.017455,4356.61784,6121.667905,13949.68913
p1,class3,12552.88422,13554.91301,18762.2056,29252.27102,36373.75303
p2,class1,3803.588066,9566.728192,15788.89909,41619.82991,126158.1358
p2,class2,7185.597821,11082.16767,17358.84854,21355.92906,129502.0984
p2,class3,14056.62361,35119.07996,56723.84218,98169.36565,140224.9173
p3,class2,16479.58033,47213.97301,72138.59923,85564.30526,97896.91263
p3,class3,17550.70523,48372.24123,50094.46004,61092.60332,90754.18622
p4,class3,18678.25018,32850.04092,45097.86389,65621.22057,82157.88061
p5,class1,7393.265515,16450.66377,26066.88723,52846.36268,150811.6847
p5,class2,12196.54902,25520.46189,49440.06226,103016.9672,302638.0608
p5,class3,4433.74485,11098.80308,31900.60398,88237.45124,328181.0757
p5,class4,15809.36602,65767.07359,79815.8112,82023.1093,372487.3193
p6,class2,4407.884254,12066.79071,16420.44863,24681.17792,58781.19335
p6,class3,8256.844123,19693.90504,33268.98262,93306.08323,126710.8848
p6,class4,2851.412633,15921.20606,16395.24719,21935.14831,287425.1618
p7,class3,11777.31604,11844.8185,155379.2798,170979.5428,184371.6234
p8,class4,7729.391704,86995.51254,150335.4762,250559.2929,0
p8,class5,6330.192704,53046.69195,77988.70838,0,0
p9,class2,19501.84693,567686.4883,679252.7348,831192.1934,1077562.486
p9,class3,5761.787365,17500.31689,67771.05665,146127.0115,968637.4548
p9,class4,15539.20249,40005.00252,94041.01541,216666.9226,595143.8873
p9,class5,29723.152,131717.8536,287600.9977,524475.1558,935336.5552
p9,class6,22040.77148,44096.30983,48185.23223,65711.72689,92836.60307
p10,class4,14213.08003,31469.54965,0,0,0
p10,class5,20254.45601,62689.92101,160798.9851,403098.7276,857691.9628
p10,class6,26752.53094,79490.96133,199877.7449,343080.3389,736001.8741
p10,class7,11195.2456,30116.74642,78244.2499,131185.1923,762493.4152
p11,class5,7540.250507,14678.56497,28315.82142,47441.72522,89648.0573
