region,class,bin,capacity,supply_curve_cost_per_mw,sc_point_gid,dist_mi
p1,1,1,15334.1889,13275.7011,"416,417,796,1556,2695,3835,4596,4975,4976,5354,5355,5356,5733,5734,5735,5736,5740,6115,6116,6120,6121,6495,6496,6872,6874,6875,7251,7254,7629,7630,7632,7633",2.877
p1,1,2,14044.4073,32416.075,"1176,1177,3080,3455,4980,6493,6871,7249,8012,8019,8770",7.5929
p1,1,3,16388.2647,45736.664,"3460,4216,4595,4599,4974,5739,6113,6499,6878,7250,7631,8011,8013,8390,8775",10.9417
p1,1,4,14787.1137,63864.3341,"2316,3462,4214,4215,4594,4600,5353,6492,7634,8010,8771",15.478
p1,1,5,12770.0115,81803.9082,"1560,4973,5737,6117,6119,7637,7638",18.4657
p1,1,6,16529.9093,89961.9872,"2321,3842,5357,5732,6112,6491,8017,8395",19.8179
p1,1,7,16151.029,102953.6628,"800,1180,3834,4977,5352,5738,6497,6876",22.6633
p1,1,8,12401.8876,113945.8482,"3074,3456,5358,6118,6877,8018",25.1468
p1,1,9,16437.318,122706.2143,"3082,3454,4597,5351,5731,6498,7255,7256",27.4488
p1,1,10,14247.667,138695.0916,"3075,3076,4598,4978,5359,7257",31.5931
p1,1,11,15597.5853,151918.6231,"2320,3841,4217,4979,7635,7636,9154",34.76
p1,1,12,16352.2904,173441.9735,"3836,3837,4218,8014,8015",40.0357
p1,1,13,15547.4671,184600.9895,"3838,4219,8016,8773,8774",42.8572
p1,1,14,12505.1508,202311.1199,"3457,3839,8394,8772",47.335
p1,1,15,18187.5565,220702.8541,"3458,3459,3840,8391,8392,8393",51.9852
p1,1,16,13185.0504,239783.3293,"3077,3078,7628,8009",56.8096
p1,1,17,16875.5942,260885.7866,"2696,2697,2698,2701,3079,3461,8008,8389",62.2907
p1,1,18,14142.4469,286230.7095,"2317,2318,2699,2700,3081,8388",68.5535
p1,1,19,16307.9282,330507.8213,"1557,1558,1559,1937,1938,1939,2319",79.7486
p1,1,20,15150.7921,391865.7875,"797,798,799,1178,1179",95.2625
p1,2,1,20.4898,5677.0293,7252,1.4354
p1,2,2,48.5585,6149.2007,6873,1.5548
p1,2,3,11.3581,23607.8809,7640,2.1512
p1,2,4,17.1072,35568.8789,8400,5.1755
p1,2,5,21.2492,40838.957,7641,6.508
p1,2,6,349.6245,64271.2695,8397,12.4327
p1,2,7,19.4244,73727.8906,7262,18.6415
p1,2,8,393.3516,77206.3828,6884,19.5211
p1,2,9,2867.4415,140002.7656,8020,35.3987
p1,2,10,2709.568,159567.0156,8021,40.3453
p1,2,11,1542.4525,169487.5469,8401,42.8537
p1,3,1,8454.6916,11856.7768,"7266,8784,8785",1.1723
p1,3,2,8630.4944,25838.8299,"6886,8404,8405,8786,10306",3.2043
p1,3,3,7650.1918,36093.5967,"5747,5749,8781,9165,9925",7.8933
p1,3,4,6826.8611,61313.522,"5748,6127,6129,6504,7642,7643,8023,8024",15.0974
p1,3,5,7034.924,76530.7704,"5368,9161,9545,10304",16.5077
p1,3,6,6789.0547,88791.1167,"6126,6128,8787",20.3005
p1,3,7,8158.1722,116315.8444,"8406,9166",25.5918
p1,3,8,4176.9199,126450.6016,9546,28.1543
p1,3,9,9442.9409,138276.7687,"7646,8026,9926",31.1444
p1,3,10,4718.3214,161356.7324,"7645,8025",36.98
p1,3,11,10261.8419,174560.4322,"6887,9164,9544",40.3185
p1,3,12,4101.9904,181198.875,8022,45.8148
p1,3,13,7087.4428,185491.083,"6509,7265",43.0822
p1,3,14,9368.6776,190440.3683,"6508,7644,9924",44.3336
p1,3,15,7784.486,195531.2022,"8402,8783",47.4492
p1,3,16,4984.6154,199193.9804,"6507,9163",46.5469
p1,3,17,6586.964,202536.0474,"6885,8403",47.3919
p1,3,18,9221.6466,207074.9517,"7264,8782,9543",50.1736
p1,3,19,6785.5399,213708.3198,"6506,9923",50.2167
p1,3,20,8061.1587,225791.2737,"6125,6505,9162",53.7859
p10,5,1,17431.9409,11356.033,"44110,53984,57782,58159,58160,58162,58540,58541,58922,58924,58925,58927,59305,59306,59308,59309,59688,59690,59691,59692,59693,59694,60068,60069,60070,60071,60072,60074,60449,60829,61207,61209,61969",2.0923
p10,5,2,17569.8977,27598.7135,"46011,49808,50564,57401,57779,58542,58923,59310,60450,60451,60830,61210,61211,61589,61590,61591,61971",6.1596
p10,5,3,17349.2255,117632.7031,"41830,42208,42210,42591,42968,43729,49428,50568,51328,51708,52088,52848,53607,53987,58161,60075,61583,61584,61963,61964,61970,62344",29.3887
p10,5,4,17971.8211,226023.0098,"41828,41829,42209,42590,44490,44491,50188,52468,55506,57400,57780,57781",55.4785
p10,5,5,16991.3452,324413.5856,"42588,42589,42970,42971,50948,55505,57399",79.0903
p10,5,6,16490.2184,363629.3799,"42969,43350,43351,43352,44112,54746,54747",88.1232
p10,5,7,16250.5025,386376.8455,"43349,43730,54367,54744,54745",93.8747
p10,5,8,19800.2439,420266.7719,"53606,53985,53986,54364,54365,54366",102.4435
p10,5,9,17871.6121,491793.2102,"44874,52846,52847,53226,53227",120.5284
p10,5,10,16431.0821,524325.6701,"52467,52843,52844,52845",128.754
p10,5,11,16004.61,541081.0328,"52465,52466,52841,52842",132.9905
p10,5,12,18996.5526,559317.4779,"52086,52087,52462,52463,52464",137.6014
