region,class,bin,capacity,supply_curve_cost_per_mw,sc_point_gid,dist_mi
p1,1,1,3020.3796,4554.2243,"416,1557,2321,4596,4976,4978,5733,6495,6497,6874,6875,7254,7629,7633,8769",1.1515
p1,1,2,3016.0164,10304.6674,"796,3455,3834,5356,5732,5734,5735,5736,6116,6496,6877,7256,7632",2.6055
p1,1,3,2917.5138,12581.8642,"2698,2701,5352,5357,5737,7631,8772",3.1812
p1,1,4,2124.7318,14364.9985,"1937,4214,4597,4977,5353,6872,7630",3.6321
p1,1,5,3434.3588,15790.159,"1177,1938,3454,3461,3835,3838,5358,6492,6878,7637,8394",0.8513
p1,1,6,2816.2001,17860.9896,"797,1180,5354,6493,6876,8016",4.4155
p1,1,7,3654.5946,19941.0553,"2318,2319,2695,3082,3840,4217,4595,6118,6498,7257,8013,8773",3.4682
p1,1,8,2776.5576,21956.168,"4974,7255,8389",5.5515
p1,1,9,3057.6682,22680.2327,"3841,6117,8009,8390",3.4591
p1,1,10,2753.7709,24962.7784,"417,1558,3078,4216,4979,7249,7628,7634,7638,8018,8391",4.3207
p1,1,11,2823.0981,27191.2879,"1176,3077,3081,3839,6113,8011,8015",4.6671
p1,1,12,3371.8613,29554.1498,"800,4594,5731,5738,8008,8012,8019,8388,8770,9153",5.2364
p1,1,13,2897.3345,33582.4248,"1179,3076,3458,3837,4598,8010,8387",7.0236
p1,1,14,2765.1041,37931.7762,"1178,2699,5359,7250,7636,8017",9.5908
p1,1,15,2999.7894,44841.8693,"798,3075,4215,8014",11.3379
p1,1,16,3358.1328,49313.5653,"1559,2316,7635,8393",12.4686
p1,1,17,2675.8263,55743.8218,"3074,3457,3459,3836,4218,4973",12.217
p1,1,18,3303.7074,60536.9911,"2696,8392",12.8499
p1,1,19,3030.6877,72292.9893,"799,3456,6112,6491",17.2474
p1,1,20,3102.1495,110282.4536,"2317,2697,2700",26.3441
p1,2,1,6.5727,6149.2007,6873,1.5548
p1,2,2,239.2505,20661.3242,8020,1.4062
p1,2,3,520.5093,23769.2773,8021,2.1921
p1,3,1,1257.7006,4352.1416,"7646,8784,9925",0.7844
p1,3,2,1364.1002,18202.9451,"8403,9545",1.9171
p1,3,3,511.0678,18917.5156,8401,0.9653
p1,3,4,785.1981,20062.3555,8402,1.2548
p1,3,5,930.7518,20091.1934,9165,1.2621
p1,3,6,444.1839,20814.36,"8785,9924",1.4449
p1,3,7,2531.2122,21527.1368,"6887,8022,8406,8783,8786",1.6535
p1,3,8,3087.2966,25856.187,"6506,8405,8782,9164,10304",6.3921
p1,3,9,1070.6195,37239.8047,9546,5.598
