,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,602.2813014,244.8821184,0,257.8877211,213.2354117,0,155.7361976,215.7840603,185.4656702,158.1208849,0,185.7197589,242.9480724,89.85026974,209.5886212
p2,4671.215553,3252.132093,3181.212346,3474.286274,3600.751549,3502.361203,3268.760081,3499.482812,3420.071696,3235.372517,3555.604771,3358.793742,3364.358351,3489.527708,3454.108999
p3,1129.086215,608.5988056,758.6447694,421.3820496,659.8954179,509.5570245,741.8456302,783.421219,666.1117544,761.1708663,568.8786782,647.2696187,625.6552299,621.8823415,779.4484233
p4,1556.454744,600.8828418,524.2291693,566.3735581,813.1926815,315.9732241,719.8814631,656.6407731,771.9265809,633.1579725,626.5595946,785.7307131,520.2663415,737.9107068,653.7665153
p5,9249.628485,8485.853652,8676.847909,8668.239427,8595.169843,8478.42762,8694.002736,8533.307378,8606.667153,8555.915222,8576.778529,8747.221449,8505.752556,8706.077742,8616.134704
p6,5470.400982,4572.579484,4356.856721,4256.631164,4226.464133,4362.531582,4293.268853,4364.173633,4231.537051,4178.074873,4468.49048,4236.596822,4246.90548,4343.948654,4406.711541
p7,12583.96342,9983.948627,10975.93854,10486.17015,10208.88275,10713.20152,10532.53245,10419.69134,10446.12734,10480.27399,10458.80547,10452.75573,10600.87217,10475.0043,10498.63037
p8,6324.443783,5336.045675,5240.962113,5713.833771,5554.041018,5440.664382,5310.272685,5658.577247,5358.140427,5312.455264,5533.786089,5573.892011,5410.866175,5463.674482,5471.060322
p9,7228.729707,4834.756815,4863.10917,4201.445186,4601.0653,5020.168133,4599.892939,4536.184038,4565.3743,4559.571332,4731.2834,4554.995069,4546.363626,4654.134887,4688.10946
p10,5876.850792,5149.571723,5392.827034,5431.473665,5427.599364,5347.314347,5431.677267,5345.062839,5507.500184,5307.001608,5391.218957,5389.722834,5391.289421,5396.720804,5388.304439
p11,274.7733793,237.1284618,260.6233571,212.5555114,212.0006989,204.6997598,212.2405083,223.185477,369.0587759,190.2137244,144.4093228,305.6608998,169.0978446,277.8670577,240.863726
p12,27946.83784,25988.65563,25864.61984,25780.203,25870.86509,25712.07412,25840.76666,25833.49511,25887.9931,25818.9429,25738.20952,25768.186,25922.65633,25724.76076,25943.46013
p13,1847.464304,1516.144515,1724.3137,1586.475061,1446.736689,1545.595425,1713.591551,1448.002627,1601.402352,1595.655776,1577.990558,1462.393856,1658.822736,1476.710184,1659.585568
p14,881.6318237,362.1338372,390.2147952,605.1049344,657.3525616,273.9180087,584.1846366,413.8024333,643.7986537,390.7058635,583.4677763,415.5704999,582.7438282,429.2883982,577.7814047
p15,7516.989627,7510.518506,7534.704921,7482.337403,7375.086575,7354.587228,7414.516486,7441.605109,7373.611788,7383.403628,7547.073613,7307.05775,7458.594826,7461.948327,7483.969001
p16,7332.270386,6001.185184,5776.268999,6001.911177,5688.842973,6011.009488,5897.161363,6068.063979,5757.702066,6002.753136,5742.778834,5988.048017,5924.612849,5938.844878,5999.58796
p17,7480.512319,6357.643995,6148.88295,6243.510228,6164.322046,6127.242603,6191.025048,6124.841106,6225.71439,6079.971686,6212.274624,6172.843496,6207.34007,6145.266644,6262.093923
p18,2936.092151,2826.856465,2870.601037,2963.922443,2773.884837,2890.500648,2896.819736,2921.849466,2814.783039,2785.905747,2812.93906,2827.808723,2915.110827,2806.617235,2940.963075
p20,328.4854421,0,456.8095717,222.7236125,153.5945975,148.1944061,170.5647774,154.7784699,166.9847239,166.3546711,167.3759451,149.5792061,182.4541098,251.3138847,228.8078193
p21,6794.605995,6912.503438,6506.4313,6470.573809,6451.420345,6599.68745,6613.019567,6367.196921,6615.14306,6652.678928,6451.099193,6514.375736,6589.841346,6534.847134,6545.414198
p22,914.0858101,456.3143679,546.8334206,932.0226103,663.6552628,591.363697,777.5053811,631.8627493,623.0433778,722.8152316,532.452782,699.3864409,652.9892654,749.2408086,660.4949556
p23,495.920606,461.1768238,202.549652,483.4721246,447.4677817,222.2899678,476.4634105,396.0588427,296.1104114,478.9139509,388.7076751,400.9557698,319.4606978,369.8131408,461.2562214
p24,2829.112629,2520.085704,2243.371798,2531.091253,2301.290179,2603.793829,2490.417148,2333.01184,2530.911505,2342.23399,2524.093694,2383.067257,2537.330203,2489.868766,2466.096333
p25,29232.86677,28643.26688,28722.67529,29104.61417,28500.73746,29005.26136,28655.12663,28698.07173,28866.21144,28663.76409,28704.32228,28875.53395,28763.57702,28723.78926,28844.18169
p26,4858.601526,3721.655939,4253.12021,3902.978098,4202.215879,3797.367973,4019.335685,4095.873509,3884.079633,3885.4516,4074.96857,3930.945762,4001.904476,3948.307768,4063.958667
p27,7483.749356,6275.49594,6529.375598,6667.702189,6613.510286,6557.691965,6636.975524,6372.347848,6521.182703,6539.455224,6607.82358,6682.193567,6538.536388,6542.412777,6575.883287
p28,15146.5064,12993.00676,12642.97661,13021.55436,12686.03493,12727.16029,12737.74106,13048.6973,12586.11198,12813.10342,12776.07437,12926.65746,12841.7878,12866.13281,12801.17942
p29,2845.85957,2046.558319,2549.061635,2306.342756,2290.776074,2243.161015,2213.252759,2372.920162,2112.328135,2416.809736,2136.886301,2417.811857,2242.853082,2195.902048,2365.842415
p30,270.0706624,0,0,0,0,0,0,0,0,0,0,0,0,0,208.7436192
p31,16021.0422,15451.22157,15687.25669,15350.6087,15317.48334,15698.64363,15356.42454,15556.42424,15195.32734,15743.29596,15372.07081,15363.96981,15550.40497,15372.81193,15632.87665
p32,135.352329,0,0,0,0,0,0,137.1147218,0,0,0,0,0,0,137.593203
p33,4379.779975,4324.652759,3865.134136,3945.595493,3957.935097,4081.504775,3867.547395,4170.419314,4033.265725,3943.23037,3962.665644,3936.840531,4046.421594,3982.561804,4064.883279
p34,5337.708116,4767.718753,4643.02388,4863.790717,4712.678748,4746.888597,4852.501071,4672.121973,4739.157499,4712.07843,4797.258166,4793.328218,4630.222428,4783.677261,4823.148231
p38,0,0,0,0,0,0,0,348.6478765,0,0,0,0,0,0,0
p47,573.899656,0,0,0,0,652.8016483,0,352.4499358,0,0,290.9603154,0,295.15964,0,352.0019872
p50,338.1194692,0,225.7380185,0,246.6899084,0,208.3170829,0,214.6205542,126.9782594,142.8433849,0,158.0030716,164.0046356,122.2874554
p56,416.3219607,355.1460254,243.4632714,293.7801646,0,328.7236517,393.2379403,175.8563502,268.7531397,222.4379691,237.7590798,227.4687364,133.725888,317.9460492,323.2274601
p59,175.8272401,0,0,0,0,0,0,0,0,0,0,0,0,0,208.1263533
p61,3056.601684,2281.824317,2656.746091,2662.84807,2451.56895,2702.666961,2529.593878,2727.557862,2460.433452,2502.618695,2696.293176,2612.875971,2411.319872,2724.331909,2564.936067
p85,330.6048774,384.0451989,0,0,574.2152144,0,368.6293018,245.5684112,265.7427672,262.5276962,214.3520341,216.889528,145.5469492,167.3320389,355.891313
p89,490.2038712,0,462.6410929,0,465.9757,0,286.9937091,238.480096,182.42741,216.1644257,0,280.0369059,248.6010432,0,404.6007962
p90,0,0,0,0,0,0,0,329.3468892,0,0,0,0,0,0,0
p92,2507.266459,2478.276317,2294.801474,2252.819044,2076.881448,2429.401269,2107.230815,2234.407126,2340.141982,2202.658656,2286.785637,2221.235108,2286.376172,2251.111788,2397.565771
p94,1686.26488,1916.745824,1745.586148,1822.60237,1479.254353,1974.5776,1599.421587,1765.557419,1623.612739,1731.144764,1634.778713,1625.673684,1657.360514,1670.22002,1832.774224
p95,413.1148453,699.1789047,329.3118604,250.8019044,480.9588971,357.2546953,395.6506305,365.0140504,347.4820665,373.0739025,365.8435995,323.5603675,325.3216455,436.7158612,383.3211087
p97,1451.892804,1463.956111,1221.314999,1037.063651,1213.711474,1165.922241,1314.219396,1169.20003,1097.793542,1137.16466,1341.885171,1093.121715,1246.812195,1187.76232,1220.134143
p99,634.5887821,670.3608793,341.8584278,251.0179882,506.6128205,240.7465201,301.6405656,401.0707691,378.3256649,374.7843408,324.2342805,340.9539654,466.6871754,381.64935,356.2728007
p100,239.1527678,0,0,0,298.6534464,0,0,0,258.9043671,0,0,140.3142596,0,134.8871472,106.1115167
p109,372.6280859,0,0,0,0,0,0,0,207.7102363,0,0,0,0,0,144.1283338
p110,250.1654993,0,0,168.8983168,0,0,0,189.2904879,0,0,121.1688573,0,98.72205501,0,107.9023226
p115,335.5992285,233.9072387,256.3487804,0,245.9292049,259.9360797,184.6956561,156.8483001,143.2544999,165.1145737,330.9372929,136.9575173,167.7931605,211.6510696,231.0553583
p116,1538.210203,1500.27418,1292.078274,1425.204009,1314.341398,1367.600803,1258.740251,1320.779907,1255.852734,1322.529514,1421.827695,1178.828648,1327.519319,1444.385198,1317.42278
p117,214.4197257,0,0,0,0,224.7677432,0,0,139.8016538,0,0,122.6744534,0,0,143.016705
p118,1323.589344,1035.45379,1254.610937,1133.791531,1109.395074,1072.702135,1158.957135,1247.527549,1043.773227,1149.293485,1185.574064,1138.681963,1057.718712,1173.501037,1134.819442
p119,279.7032073,0,286.2558095,176.6936247,0,220.9796497,158.2881065,172.5908218,0,183.0795008,136.8827931,161.9765101,148.2238856,129.045584,157.0497779
p120,451.4321079,220.7827978,0,0,294.5844834,0,220.4665921,215.1494826,0,131.1951609,114.2022808,163.7226685,144.3288867,162.1314514,121.6593889
p121,308.8882809,378.6153679,339.9739906,269.5838945,339.4095225,283.7194131,503.7992228,275.9487539,286.1050524,248.1986916,253.4068278,452.6455013,318.1535765,289.2323762,389.3427758
p122,1917.915805,1221.569204,1386.722784,1476.285234,1449.435956,1295.475035,1273.970672,1419.912521,1452.220225,1372.463601,1478.073296,1197.726294,1481.831114,1445.905306,1393.211779
p127,542.4493982,557.3387783,452.0498019,240.1919742,662.7665445,269.701588,591.0110477,361.3186724,554.8794705,379.2267138,499.4159562,358.3679056,408.6375027,448.9721369,556.4557729
p129,164.1581455,152.6830518,0,0,192.6610745,157.1542752,0,0,193.6612359,0,188.133131,0,137.6715781,145.8670086,94.75977574
p130,412.1172197,340.2631281,528.8807599,196.5596972,289.9360154,174.0783008,430.1837531,289.4798274,349.4623747,316.6877934,246.873442,242.0966935,346.4929922,315.7100201,313.9504221
p134,285.7841772,283.2506921,219.4867069,222.6497316,214.0187652,215.2066699,202.6429839,197.3570506,136.5772534,129.1116102,193.0150007,179.3636661,313.2687903,233.1342523,237.9060244
