,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5,phsclass6,phsclass7,phsclass8,phsclass9,phsclass10,phsclass11,phsclass12,phsclass13,phsclass14,phsclass15
p1,602.2813014,244.8821184,0,257.8877211,213.2354117,0,155.7361976,215.7840603,185.4656702,158.1208849,0,185.7197589,242.9480724,89.85026974,209.5886212
p2,4671.215553,3252.132093,3181.212346,3474.286274,3507.88552,3595.227231,3268.760081,3499.482812,3420.071696,3235.372517,3555.604771,3358.793742,3364.358351,3489.527708,3454.108999
p3,1167.402574,570.282447,758.6447694,421.3820496,659.8954179,509.5570245,741.8456302,783.421219,666.1117544,761.1708663,568.8786782,647.2696187,625.6552299,621.8823415,779.4484233
p4,1556.454744,600.8828418,524.2291693,566.3735581,813.1926815,315.9732241,719.8814631,656.6407731,771.9265809,633.1579725,626.5595946,785.7307131,520.2663415,737.9107068,653.7665153
p5,9249.628485,8643.308034,8431.909503,8755.723451,8598.362127,8475.235336,8745.901182,8485.239382,8567.173438,8637.882862,8530.474153,8747.221449,8539.766221,8566.931718,8721.267063
p6,5470.400982,4572.579484,4356.856721,4256.631164,4226.464133,4362.531582,4293.268853,4395.382574,4200.32811,4178.074873,4468.49048,4236.596822,4246.90548,4343.948654,4406.711541
p7,12583.96342,9883.319635,10850.42577,10712.31192,10341.50428,10327.89183,10652.08792,10559.49547,10439.45591,10520.22009,10418.85936,10482.82603,10477.67439,10568.13177,10498.63037
p8,6324.443783,5336.045675,5240.962113,5713.833771,5554.041018,5440.664382,5476.373456,5492.476476,5268.691683,5472.684515,5463.005583,5579.848166,5404.910021,5463.674482,5471.060322
p9,7228.729707,4834.756815,4863.10917,4201.445186,4601.0653,5020.168133,4599.892939,4452.085689,4649.472649,4559.571332,4731.2834,4546.322919,4555.035776,4654.134887,4688.10946
p10,5876.850792,5149.571723,5314.346397,5607.634221,5330.098822,5347.13497,5465.793556,5267.576062,5550.870672,5161.335625,5533.81488,5392.792895,5362.511313,5300.209284,5513.594066
p11,274.7733793,237.1284618,260.6233571,212.5555114,212.0006989,204.6997598,212.2405083,223.185477,369.0587759,190.2137244,144.4093228,305.6608998,169.0978446,277.8670577,240.863726
p12,28122.07231,25828.32832,25912.99242,25778.21947,25752.46003,25763.44162,25752.54579,25882.38158,25872.00971,25783.3312,25908.05434,25843.38253,25673.10383,25949.1476,25820.25526
p13,1847.464304,1516.144515,1724.3137,1586.475061,1584.008479,1482.718415,1639.196771,1563.84036,1531.430971,1549.789424,1577.990558,1483.609191,1637.6074,1478.337785,1657.957967
p14,881.6318237,362.1338372,390.2147952,605.1049344,657.3525616,273.9180087,584.1846366,413.8024333,643.7986537,390.7058635,583.4677763,415.5704999,582.7438282,429.2883982,577.7814047
p15,7516.989627,7510.518506,7534.704921,7482.337403,7375.086575,7469.626468,7426.868474,7314.213882,7359.825571,7397.189845,7555.512731,7454.97936,7304.159098,7460.023326,7483.969001
p16,7332.270386,6001.185184,5776.268999,6001.911177,5688.842973,6011.009488,5897.161363,6063.178341,5820.337299,5945.003542,5742.778834,6024.739412,5887.921454,5938.844878,5999.58796
p17,7480.512319,6357.643995,6148.88295,6101.822138,6354.243713,6079.009025,6223.531241,6092.334913,6225.71439,6079.971686,6219.102325,6166.015795,6207.34007,6145.266644,6262.093923
p18,2936.092151,2826.856465,2870.601037,2963.922443,2773.884837,2906.995869,2880.324516,2921.849466,2814.783039,2785.905747,2812.93906,2811.33427,2931.58528,2832.32811,2915.252199
p20,328.4854421,0,456.8095717,222.7236125,153.5945975,148.1944061,154.7784699,170.5647774,166.9847239,166.3546711,167.3759451,149.5792061,182.4541098,251.3138847,228.8078193
p21,6794.605995,6912.503438,6506.4313,6470.573809,6313.342075,6737.76572,6613.019567,6367.196921,6615.14306,6603.707853,6500.070268,6514.375736,6589.841346,6534.847134,6545.414198
p22,914.0858101,456.3143679,546.8334206,932.0226103,663.6552628,591.363697,777.5053811,647.8196304,607.0864967,722.8152316,532.452782,685.6355491,666.7401572,749.2408086,660.4949556
p23,495.920606,461.1768238,202.549652,483.4721246,447.4677817,222.2899678,476.4634105,396.0588427,296.1104114,478.9139509,388.7076751,400.9557698,319.4606978,369.8131408,461.2562214
p24,2829.112629,2520.085704,2243.371798,2531.091253,2301.290179,2603.793829,2490.417148,2333.01184,2530.911505,2342.23399,2524.093694,2521.691268,2398.706193,2489.868766,2466.096333
p25,29315.8317,28535.85675,28992.66765,28653.38778,28880.36715,28693.22577,28706.36452,28784.78319,28888.78167,28551.67859,28961.58328,28603.06075,28907.59747,28678.20016,28850.61361
p26,4858.601526,3721.655939,4253.12021,3880.843353,4224.350624,3787.837496,4028.866162,4070.708131,3909.245012,3885.4516,4074.96857,3930.945762,4001.904476,3948.307768,4063.958667
p27,7483.749356,6275.49594,6439.918095,6757.159693,6559.383577,6611.818675,6479.823372,6609.560999,6578.685524,6401.891404,6607.82358,6682.941219,6537.788736,6542.412777,6575.883287
p28,15030.88954,12945.27895,12570.7076,12967.256,12696.30761,13006.79966,12796.56942,12745.59673,12998.32552,12749.57253,12768.39187,12829.92951,12841.7878,12866.13281,12801.17942
