,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0,10.3,24,58.5,94.2,128.1,226,431.6,709.1,950.1,1398.7,1811.4,1846.4,1871.4,1894.5,1916,1936.7,1964.3,1987.9,1996.5,2017.7
p10,534.6,865.9,1695.1,3198.3,4759.4,5427.2,5959.6,6935.5,8034.3,9215.6,10413.8,11428.2,12076.4,12411.5,12732.4,13042.6,13362,13655.7,13929.1,14168.5,14356.4
p100,0,0,0.4,1,2.5,5,10.4,20,35.1,59.9,96.1,125.8,144.4,145.2,145.7,146.5,147.3,149.1,151.5,153.3,158.8
p101,8.4,26.9,57.3,101.9,216.6,398.3,758.9,1415,2436.4,3972.9,6151.2,7352.8,8048.7,8139.8,8231.9,8334.1,8445.4,8579.6,8746.3,8980,9296.7
p102,5.1,14.2,29.1,48.4,100.5,138.6,252,494.8,914.5,1580.5,2644,3327.1,3711.1,3731.5,3754.4,3778.7,3803.8,3838.9,3906.3,4036.4,4233.6
p103,0,0,13.1,25.7,46,65.9,114.2,216.4,420.2,836.4,1538,2377,3194.3,3452,3636.5,3787.3,3989.8,4211.7,4365.9,4615.5,4887.9
p104,0,0,1.2,3,4.5,6.4,10.2,17.6,30.8,55.1,94.2,139.8,182.4,196.5,207.7,218.5,232.5,248.5,262.8,277.6,295.7
p105,0,0,4.1,11,49.1,66.7,101,146.8,226.2,371.8,627.6,918.6,1199.7,1322.8,1423.8,1513.6,1598.6,1692.7,1778.5,1877.8,2002.1
p106,0,0,0.8,2.2,10.8,19.7,35.3,51.8,77,122.6,206.4,310.2,416.2,469.2,508.5,540,567.7,595.1,623.7,654.2,692.9
p107,0,0,1.4,3.9,17.9,27,49.7,77.9,128.1,221.9,392.3,597.1,805.9,893.4,960.6,1016.2,1066.1,1117,1168,1227,1304.3
p108,0,0,0.1,0.4,3.7,5.3,7.9,12.1,18.3,27.9,41.8,59.7,81.4,104.7,130.5,158.2,186.9,216.3,245.2,274.1,303.2
p109,0,0,0.2,1.1,6.6,8.6,14.6,25.2,42.2,70.4,120,183.5,264.9,342.9,436.8,547.3,669.9,803,938.4,1070.2,1200.8
p11,107.4,132.9,229.1,491.1,748.6,875.9,931,1055.4,1222.3,1425.3,1640,1831.1,1951.6,2018,2072.7,2118.7,2158.3,2193,2224.9,2263.6,2295.3
p110,0,0,0.1,0.3,2.5,3.4,4.7,6.9,10,14.9,22.4,32.2,44.6,58.7,75.2,93.9,113.9,134.5,154.8,174.6,194.6
p111,0,18.4,26.6,33,47.4,55.1,74.2,112.7,175.4,274.5,433.7,664,959.6,1225.4,1514.6,1625.6,1728.3,1832.2,1925,2016.2,2111
p112,0,16,35.5,43.8,61.8,71.5,90.6,129.6,192,288.7,440.1,658.4,943.9,1235.1,1555.9,1698.2,1830.3,1959,2078,2192.3,2309.3
p113,0,3.9,6.5,7.8,10.6,11.6,14.5,21,31.6,49.3,78.6,125.1,192,268.9,356.6,393,425.9,457.3,485.1,503.7,530.7
p114,0,5.7,9.4,11.4,15.4,16.6,20.1,28.4,43.3,68.2,109.2,171.9,259.8,360.3,474.4,534.4,589.7,643.9,693,733.9,782.5
