,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p13,0.543822861,29.67242578,64.552,192.422,270.717,276.925,280.186,281.733,282.781,283.462,283.547,283.71,283.711,283.712,283.712,283.712,283.712,283.712,283.712,283.993,284.41
p130,0,0,5.181,52.207,85.544,97.9,101.764,102.237,102.612,102.811,102.964,103.053,103.153,103.479,103.71,103.907,104.032,104.161,104.285,104.416,104.587
p131,2.936474285,178.4,681.585,1491.897,2384.945,2618.399,2769.266,2788.208,2800.16,2809.079,2815.784,2860.69,2897.686,2957.282,3002.847,3039.113,3066.993,3092.902,3116.028,3135.209,3152.167
p132,1.362208484,36.6,115.181,309.188,515.555,611.073,686.688,703.702,718.004,729.336,737.937,744.376,749.335,759.024,765.843,771.051,774.652,777.813,781.151,783.651,786.347
p133,0,0,0.082,10.291,94.754,110.409,126.099,131.17,132.933,133.724,134.073,134.312,134.754,138.003,139.124,139.771,140.3,141.097,141.665,142.099,142.496
p134,1.440997601,5.640375641,25.23,40.666,55.786,67.723,79.632,91.203,103.906,117.698,132.245,147.056,161.996,178.352,194.067,209.205,223.985,237.263,249.575,258.323,266.768
p14,0,0,0.146,0.609,2.904,6.992,9.342,9.351,9.46,10.074,10.074,10.55,11.101,11.515,12.227,13.221,13.671,15.568,17.98,18.642,19.725
p15,0,0,0.437,3.528,16.798,36.491,46.741,47.823,48.658,49.277,49.3,50.741,53.207,56.002,60.047,64.832,67.199,74.264,80.687,82.361,85.354
p16,0,0,0.211,1.971,10.402,18.016,22.146,22.931,23.664,24.2,24.202,25.582,26.846,28.458,30.721,33.42,35.037,38.722,42.505,43.082,44.05
p17,0,0,0.33,1.71,3.538,4.051,4.317,4.569,4.827,5.079,5.241,5.418,5.55,5.657,5.741,5.831,5.852,5.947,6.06,6.204,6.46
p18,0,0,0.287,1.619,3.472,3.95,4.329,4.496,4.673,4.851,4.953,5.104,5.228,5.416,5.631,5.829,5.961,6.158,6.361,6.533,6.847
p19,0,0,0.011,0.068,0.146,0.174,0.197,0.22,0.238,0.255,0.261,0.273,0.286,0.3,0.314,0.322,0.326,0.339,0.36,0.373,0.391
p2,4.25E-05,3.598774958,9.704,23.297,36.649,38.621,38.687,38.69,38.693,38.696,45.394,53.8,57.962,59.909,60.408,60.809,61.184,62.688,66.291,66.341,66.371
